system,HSESOL/def2-QZVP/ORCA5.0.1
S66x8/66-150,-342.5703776819
S66x8/66-200,-342.5694587222
NCIBLIND10/01-A,-231.144097151
NCIBLIND10/01-B,-40.2946015273
NCIBLIND10/01-1,-271.4366969948
NCIBLIND10/01-2,-271.4392431678
NCIBLIND10/01-3,-271.4390505502
NCIBLIND10/01-4,-271.4388191601
NCIBLIND10/01-5,-271.4387398718
NCIBLIND10/01-6,-271.4387148045
NCIBLIND10/01-7,-271.4387067433
NCIBLIND10/02-A,-231.1458365688
NCIBLIND10/02-B,-76.1494507983
NCIBLIND10/02-1,-307.2884396737
NCIBLIND10/02-2,-307.298972338
NCIBLIND10/02-3,-307.2989409204
NCIBLIND10/02-4,-307.2978664727
NCIBLIND10/02-5,-307.297058218
NCIBLIND10/02-6,-307.2965045296
NCIBLIND10/02-7,-307.2958823909
NCIBLIND10/02-8,-307.2956234777
NCIBLIND10/02-9,-307.295496493
NCIBLIND10/03-A,-154.3735185407
NCIBLIND10/03-B,-154.3734669792
NCIBLIND10/03-1,-308.7468792174
NCIBLIND10/03-2,-308.7489247977
NCIBLIND10/03-3,-308.7481426303
NCIBLIND10/03-4,-308.7474491742
NCIBLIND10/03-5,-308.7471911267
NCIBLIND10/03-6,-308.7470966786
NCIBLIND10/03-7,-308.747056888
NCIBLIND10/04-A,-597.2331905892
NCIBLIND10/04-B,-597.2341725295
NCIBLIND10/04-1,-1194.4725695274
NCIBLIND10/04-2,-1194.4782695124
NCIBLIND10/04-3,-1194.4762279643
NCIBLIND10/04-4,-1194.4723952108
NCIBLIND10/04-5,-1194.4702735031
NCIBLIND10/04-6,-1194.4690722787
NCIBLIND10/04-7,-1194.4683747104
NCIBLIND10/04-8,-1194.4679767415
NCIBLIND10/05-A,-596.0855491246
NCIBLIND10/05-B,-596.0857611023
NCIBLIND10/05-1,-1192.1879904743
NCIBLIND10/05-2,-1192.1896588865
NCIBLIND10/05-3,-1192.1827733012
NCIBLIND10/05-4,-1192.1780812313
NCIBLIND10/05-5,-1192.1757441387
NCIBLIND10/05-6,-1192.1744221415
NCIBLIND10/06-A,-225.2363972021
NCIBLIND10/06-B,-225.2373189605
NCIBLIND10/06-1,-450.4852007981
NCIBLIND10/06-2,-450.489955307
NCIBLIND10/06-3,-450.481682349
NCIBLIND10/06-4,-450.4774242561
NCIBLIND10/06-5,-450.4757628968
NCIBLIND10/06-6,-450.4749805467
NCIBLIND10/06-7,-450.4745611815
NCIBLIND10/07-A,-228.1574740679
NCIBLIND10/07-B,-228.1579186794
NCIBLIND10/07-1,-456.3180707803
NCIBLIND10/07-2,-456.3188478556
NCIBLIND10/07-3,-456.3171450485
NCIBLIND10/07-4,-456.3160553042
NCIBLIND10/07-5,-456.3156577749
NCIBLIND10/07-6,-456.315506721
NCIBLIND10/08-A,-434.9407740359
NCIBLIND10/08-B,-434.9407740338
NCIBLIND10/08-1,-869.8694586617
NCIBLIND10/08-2,-869.8810467328
NCIBLIND10/08-3,-869.8841281197
NCIBLIND10/08-4,-869.8830637163
NCIBLIND10/08-5,-869.8825062923
NCIBLIND10/08-6,-869.882228807
NCIBLIND10/08-7,-869.8822463074
NCIBLIND10/09-A,-244.0840025659
NCIBLIND10/09-B,-244.0838816768
NCIBLIND10/09-1,-488.1688715059
NCIBLIND10/09-2,-488.1738969136
NCIBLIND10/09-3,-488.1721354365
NCIBLIND10/09-4,-488.170084081
NCIBLIND10/09-5,-488.1691325673
NCIBLIND10/09-6,-488.1686660754
NCIBLIND10/09-7,-488.1684106482
NCIBLIND10/10-A,-76.1496109172
NCIBLIND10/10-B,-76.1496462614
NCIBLIND10/10-1,-152.2908356977
NCIBLIND10/10-2,-152.306497167
NCIBLIND10/10-3,-152.3081744482
NCIBLIND10/10-4,-152.3066060803
NCIBLIND10/10-5,-152.3047818667
NCIBLIND10/10-6,-152.3026148943
NCIBLIND10/10-7,-152.3014301988
NCIBLIND10/10-8,-152.3007136497
NCIBLIND10/10-9,-152.3002819126
NCIBLIND10/10-10,-152.3000079721
NCIBLIND10/10-11,-152.2998271455
NCIBLIND10/10-12,-152.2997052654
NCIBLIND10/10-13,-152.2996202636
NCIBLIND10/10-14,-152.2995573197
NCIBLIND10/10-15,-152.2995098647
NCIBLIND10/10-16,-152.2994732478
