system,PW86PBE/def2-QZVP/ORCA
S66x8/66-200,-344.5218963312
NCIBLIND10/01-A,-232.505982597
NCIBLIND10/01-B,-40.5613501145
NCIBLIND10/01-1,-273.06313961
NCIBLIND10/01-2,-273.0673009166
NCIBLIND10/01-3,-273.0675215326
NCIBLIND10/01-4,-273.0673805123
NCIBLIND10/01-5,-273.0673541201
NCIBLIND10/01-6,-273.067343494
NCIBLIND10/01-7,-273.0673383233
NCIBLIND10/02-A,-232.5063512301
NCIBLIND10/02-B,-76.5087128871
NCIBLIND10/02-1,-309.0025407417
NCIBLIND10/02-2,-309.017124039
NCIBLIND10/02-3,-309.0182078021
NCIBLIND10/02-4,-309.0173377223
NCIBLIND10/02-5,-309.016577009
NCIBLIND10/02-6,-309.0160866134
NCIBLIND10/02-7,-309.0155555139
NCIBLIND10/02-8,-309.0153424589
NCIBLIND10/02-9,-309.0152376979
NCIBLIND10/03-A,-155.2057277092
NCIBLIND10/03-B,-155.2057064874
NCIBLIND10/03-1,-310.4094655079
NCIBLIND10/03-2,-310.4126876991
NCIBLIND10/03-3,-310.4124499217
NCIBLIND10/03-4,-310.4118265266
NCIBLIND10/03-5,-310.4116187942
NCIBLIND10/03-6,-310.4115374303
NCIBLIND10/03-7,-310.4115014356
NCIBLIND10/04-A,-600.165412339
NCIBLIND10/04-B,-600.1657132984
NCIBLIND10/04-1,-1200.3294612851
NCIBLIND10/04-2,-1200.3385029083
NCIBLIND10/04-3,-1200.3393931157
NCIBLIND10/04-4,-1200.3357993889
NCIBLIND10/04-5,-1200.3338625901
NCIBLIND10/04-6,-1200.3327597952
NCIBLIND10/04-7,-1200.3321072463
NCIBLIND10/04-8,-1200.3317250128
NCIBLIND10/05-A,-598.9992431322
NCIBLIND10/05-B,-598.9996163335
NCIBLIND10/05-1,-1198.0123576247
NCIBLIND10/05-2,-1198.0154048664
NCIBLIND10/05-3,-1198.0099035384
NCIBLIND10/05-4,-1198.0053296863
NCIBLIND10/05-5,-1198.0031067542
NCIBLIND10/05-6,-1198.0018368317
NCIBLIND10/06-A,-226.4688282848
NCIBLIND10/06-B,-226.4694313042
NCIBLIND10/06-1,-452.9452438938
NCIBLIND10/06-2,-452.9524810627
NCIBLIND10/06-3,-452.9460146773
NCIBLIND10/06-4,-452.941805655
NCIBLIND10/06-5,-452.9402160314
NCIBLIND10/06-6,-452.9394675821
NCIBLIND10/06-7,-452.9390644758
NCIBLIND10/07-A,-229.3079814018
NCIBLIND10/07-B,-229.3080858931
NCIBLIND10/07-1,-458.6172668441
NCIBLIND10/07-2,-458.6186239772
NCIBLIND10/07-3,-458.6175410784
NCIBLIND10/07-4,-458.6166058331
NCIBLIND10/07-5,-458.6162806343
NCIBLIND10/07-6,-458.6161539933
NCIBLIND10/08-A,-437.2396133858
NCIBLIND10/08-B,-437.2396133858
NCIBLIND10/08-1,-874.4580714048
NCIBLIND10/08-2,-874.4748341399
NCIBLIND10/08-3,-874.4814627041
NCIBLIND10/08-4,-874.4805269249
NCIBLIND10/08-5,-874.4801036867
NCIBLIND10/08-6,-874.4798717394
NCIBLIND10/08-7,-874.4797471609
NCIBLIND10/09-A,-245.2880032167
NCIBLIND10/09-B,-245.2879524614
NCIBLIND10/09-1,-490.5724158767
NCIBLIND10/09-2,-490.5801640617
NCIBLIND10/09-3,-490.5797934597
NCIBLIND10/09-4,-490.5779328745
NCIBLIND10/09-5,-490.5770946728
NCIBLIND10/09-6,-490.5766696857
NCIBLIND10/09-7,-490.5764358071
NCIBLIND10/10-A,-76.5086283061
NCIBLIND10/10-B,-76.5083320287
NCIBLIND10/10-1,-153.0031031448
NCIBLIND10/10-2,-153.0219927723
NCIBLIND10/10-3,-153.0251888331
NCIBLIND10/10-4,-153.0241505772
NCIBLIND10/10-5,-153.0224349038
NCIBLIND10/10-6,-153.0202156542
NCIBLIND10/10-7,-153.0193024522
NCIBLIND10/10-8,-153.0186124836
NCIBLIND10/10-9,-153.0182030294
NCIBLIND10/10-10,-153.0179442222
NCIBLIND10/10-11,-153.0177727205
NCIBLIND10/10-12,-153.0176563826
NCIBLIND10/10-13,-153.0175759574
NCIBLIND10/10-14,-153.0175168031
NCIBLIND10/10-15,-153.0174723556
NCIBLIND10/10-16,-153.0174381359
