system,PW6B95/def2-QZVP/TM
S66x8/66-150,-344.7304456727
S66x8/66-200,-344.7292783107
NCIBLIND10/01-A,-232.6495313982
NCIBLIND10/01-B,-40.5839427382
NCIBLIND10/01-1,-273.2312279091
NCIBLIND10/01-2,-273.2345573436
NCIBLIND10/01-3,-273.2341370908
NCIBLIND10/01-4,-273.2337044922
NCIBLIND10/01-5,-273.233527328
NCIBLIND10/01-6,-273.2334890731
NCIBLIND10/01-7,-273.2334802717
NCIBLIND10/02-A,-232.6516638998
NCIBLIND10/02-B,-76.5497330938
NCIBLIND10/02-1,-309.1922187506
NCIBLIND10/02-2,-309.205138984
NCIBLIND10/02-3,-309.2056655099
NCIBLIND10/02-4,-309.2044688786
NCIBLIND10/02-5,-309.2034495456
NCIBLIND10/02-6,-309.202773181
NCIBLIND10/02-7,-309.2019839284
NCIBLIND10/02-8,-309.2017149787
NCIBLIND10/02-9,-309.2015918337
NCIBLIND10/03-A,-155.2959615368
NCIBLIND10/03-B,-155.295945741
NCIBLIND10/03-1,-310.5915137075
NCIBLIND10/03-2,-310.5945346556
NCIBLIND10/03-3,-310.5936830458
NCIBLIND10/03-4,-310.5925534429
NCIBLIND10/03-5,-310.5921564149
NCIBLIND10/03-6,-310.5920250759
NCIBLIND10/03-7,-310.5919821004
NCIBLIND10/04-A,-600.465147995
NCIBLIND10/04-B,-600.4661626449
NCIBLIND10/04-1,-1200.93634238
NCIBLIND10/04-2,-1200.943856263
NCIBLIND10/04-3,-1200.941946928
NCIBLIND10/04-4,-1200.937022917
NCIBLIND10/04-5,-1200.934478122
NCIBLIND10/04-6,-1200.933111537
NCIBLIND10/04-7,-1200.932348887
NCIBLIND10/04-8,-1200.931935059
NCIBLIND10/05-A,-599.2969395264
NCIBLIND10/05-B,-599.2969458229
NCIBLIND10/05-1,-1198.60834546
NCIBLIND10/05-2,-1198.611330324
NCIBLIND10/05-3,-1198.605777053
NCIBLIND10/05-4,-1198.60084248
NCIBLIND10/05-5,-1198.59836011
NCIBLIND10/05-6,-1198.597011312
NCIBLIND10/06-A,-226.6024691151
NCIBLIND10/06-B,-226.6036354182
NCIBLIND10/06-1,-453.2130081449
NCIBLIND10/06-2,-453.2200118982
NCIBLIND10/06-3,-453.2140224364
NCIBLIND10/06-4,-453.2098431995
NCIBLIND10/06-5,-453.2081363678
NCIBLIND10/06-6,-453.2073438504
NCIBLIND10/06-7,-453.206931216
NCIBLIND10/07-A,-229.4365353873
NCIBLIND10/07-B,-229.4369541755
NCIBLIND10/07-1,-458.8759321472
NCIBLIND10/07-2,-458.8771587245
NCIBLIND10/07-3,-458.8756051082
NCIBLIND10/07-4,-458.8742709835
NCIBLIND10/07-5,-458.8737761961
NCIBLIND10/07-6,-458.8736057352
NCIBLIND10/08-A,-437.4789700999
NCIBLIND10/08-B,-437.4789701
NCIBLIND10/08-1,-874.946874295
NCIBLIND10/08-2,-874.960244414
NCIBLIND10/08-3,-874.9623686289
NCIBLIND10/08-4,-874.9600875553
NCIBLIND10/08-5,-874.9590288095
NCIBLIND10/08-6,-874.9586545377
NCIBLIND10/08-7,-874.9585851042
NCIBLIND10/09-A,-245.4068649449
NCIBLIND10/09-B,-245.406779102
NCIBLIND10/09-1,-490.814723458
NCIBLIND10/09-2,-490.8208388094
NCIBLIND10/09-3,-490.818641886
NCIBLIND10/09-4,-490.8160550848
NCIBLIND10/09-5,-490.8149372963
NCIBLIND10/09-6,-490.8144400824
NCIBLIND10/09-7,-490.814179782
NCIBLIND10/10-A,-76.5499707688
NCIBLIND10/10-B,-76.5501391562
NCIBLIND10/10-1,-153.0865307907
NCIBLIND10/10-2,-153.1047203045
NCIBLIND10/10-3,-153.1079337842
NCIBLIND10/10-4,-153.1071342145
NCIBLIND10/10-5,-153.1056295516
NCIBLIND10/10-6,-153.1035851144
NCIBLIND10/10-7,-153.1022733917
NCIBLIND10/10-8,-153.1015082252
NCIBLIND10/10-9,-153.1010431415
NCIBLIND10/10-10,-153.1007533632
NCIBLIND10/10-11,-153.1005701743
NCIBLIND10/10-12,-153.1004488868
NCIBLIND10/10-13,-153.100364811
NCIBLIND10/10-14,-153.1003027106
NCIBLIND10/10-15,-153.1002558174
NCIBLIND10/10-16,-153.1002197043
