system,TASK/def2-QZVP/Turbomole
S66x8/66-150,-344.5279588108
S66x8/66-200,-344.528238762
NCIBLIND10/01-A,-232.512514561
NCIBLIND10/01-B,-40.6271818704
NCIBLIND10/01-1,-273.1214328172
NCIBLIND10/01-2,-273.1330857698
NCIBLIND10/01-3,-273.1389724248
NCIBLIND10/01-4,-273.139677622
NCIBLIND10/01-5,-273.1397157941
NCIBLIND10/01-6,-273.1397066298
NCIBLIND10/01-7,-273.1397015026
NCIBLIND10/02-A,-232.5122933388
NCIBLIND10/02-B,-76.5058938121
NCIBLIND10/02-1,-308.9815567908
NCIBLIND10/02-2,-309.0075553673
NCIBLIND10/02-3,-309.0158730552
NCIBLIND10/02-4,-309.0184984616
NCIBLIND10/02-5,-309.0190915208
NCIBLIND10/02-6,-309.0190368538
NCIBLIND10/02-7,-309.0186665071
NCIBLIND10/02-8,-309.0184620363
NCIBLIND10/02-9,-309.018358382
NCIBLIND10/03-A,-155.2260102281
NCIBLIND10/03-B,-155.2259077029
NCIBLIND10/03-1,-310.4269239735
NCIBLIND10/03-2,-310.4387798372
NCIBLIND10/03-3,-310.4508687887
NCIBLIND10/03-4,-310.4521240899
NCIBLIND10/03-5,-310.4520923922
NCIBLIND10/03-6,-310.4520224951
NCIBLIND10/03-7,-310.4519865239
NCIBLIND10/04-A,-599.8297358391
NCIBLIND10/04-B,-599.8309567443
NCIBLIND10/04-1,-1199.6121015965
NCIBLIND10/04-2,-1199.6347934956
NCIBLIND10/04-3,-1199.6612027952
NCIBLIND10/04-4,-1199.6642087981
NCIBLIND10/04-5,-1199.6634147903
NCIBLIND10/04-6,-1199.6624545409
NCIBLIND10/04-7,-1199.6617708251
NCIBLIND10/04-8,-1199.6613531552
NCIBLIND10/05-A,-598.6274183036
NCIBLIND10/05-B,-598.6277296927
NCIBLIND10/05-1,-1197.2444877441
NCIBLIND10/05-2,-1197.2535286199
NCIBLIND10/05-3,-1197.2639852433
NCIBLIND10/05-4,-1197.2617698594
NCIBLIND10/05-5,-1197.2596310656
NCIBLIND10/05-6,-1197.2583083054
NCIBLIND10/06-A,-226.4152687323
NCIBLIND10/06-B,-226.4160100911
NCIBLIND10/06-1,-452.8211318345
NCIBLIND10/06-2,-452.8321624299
NCIBLIND10/06-3,-452.8360018943
NCIBLIND10/06-4,-452.8345351795
NCIBLIND10/06-5,-452.8332646874
NCIBLIND10/06-6,-452.8325274995
NCIBLIND10/06-7,-452.8321163215
NCIBLIND10/07-A,-229.245822927
NCIBLIND10/07-B,-229.246060477
NCIBLIND10/07-1,-458.477005847
NCIBLIND10/07-2,-458.4828471203
NCIBLIND10/07-3,-458.4920032376
NCIBLIND10/07-4,-458.4923251331
NCIBLIND10/07-5,-458.4920896262
NCIBLIND10/07-6,-458.4919688095
NCIBLIND10/08-A,-437.0667181713
NCIBLIND10/08-B,-437.0667181713
NCIBLIND10/08-1,-874.068436226
NCIBLIND10/08-2,-874.1020690794
NCIBLIND10/08-3,-874.1324143861
NCIBLIND10/08-4,-874.1346357572
NCIBLIND10/08-5,-874.1343614998
NCIBLIND10/08-6,-874.1341106012
NCIBLIND10/08-7,-874.1338693911
NCIBLIND10/09-A,-245.176516534
NCIBLIND10/09-B,-245.1764197489
NCIBLIND10/09-1,-490.3235404142
NCIBLIND10/09-2,-490.3417982469
NCIBLIND10/09-3,-490.3551494085
NCIBLIND10/09-4,-490.3549245131
NCIBLIND10/09-5,-490.3541417554
NCIBLIND10/09-6,-490.35369629
NCIBLIND10/09-7,-490.3534477889
NCIBLIND10/10-A,-76.5061362542
NCIBLIND10/10-B,-76.5063487514
NCIBLIND10/10-1,-152.9788064324
NCIBLIND10/10-2,-153.0019880976
NCIBLIND10/10-3,-153.0098458078
NCIBLIND10/10-4,-153.0128680181
NCIBLIND10/10-5,-153.0140963865
NCIBLIND10/10-6,-153.0145042416
NCIBLIND10/10-7,-153.0140954283
NCIBLIND10/10-8,-153.0136797432
NCIBLIND10/10-9,-153.0133333385
NCIBLIND10/10-10,-153.0130825314
NCIBLIND10/10-11,-153.0129088975
NCIBLIND10/10-12,-153.0127888835
NCIBLIND10/10-13,-153.0127043979
NCIBLIND10/10-14,-153.0126415073
NCIBLIND10/10-15,-153.0125940546
NCIBLIND10/10-16,-153.0125574863
