system,RPW86PBE/def2-QZVP/ORCA
S66x8/66-150,-345.0743651437
S66x8/66-200,-345.0735157521
NCIBLIND10/01-A,-232.8888777642
NCIBLIND10/01-B,-40.63698901
NCIBLIND10/01-1,-273.5217115276
NCIBLIND10/01-2,-273.5258793723
NCIBLIND10/01-3,-273.5260698876
NCIBLIND10/01-4,-273.5259169306
NCIBLIND10/01-5,-273.5258880609
NCIBLIND10/01-6,-273.5258772347
NCIBLIND10/01-7,-273.5258722056
NCIBLIND10/02-A,-232.8893746346
NCIBLIND10/02-B,-76.6117624848
NCIBLIND10/02-1,-309.4885930701
NCIBLIND10/02-2,-309.5032568202
NCIBLIND10/02-3,-309.5043200846
NCIBLIND10/02-4,-309.503427498
NCIBLIND10/02-5,-309.5026540307
NCIBLIND10/02-6,-309.5021586541
NCIBLIND10/02-7,-309.5016258772
NCIBLIND10/02-8,-309.5014136159
NCIBLIND10/02-9,-309.5013095513
NCIBLIND10/03-A,-155.4440806982
NCIBLIND10/03-B,-155.44406777
NCIBLIND10/03-1,-310.8863252753
NCIBLIND10/03-2,-310.8895129673
NCIBLIND10/03-3,-310.8891956035
NCIBLIND10/03-4,-310.8885486627
NCIBLIND10/03-5,-310.8883356443
NCIBLIND10/03-6,-310.8882531174
NCIBLIND10/03-7,-310.8882166837
NCIBLIND10/04-A,-600.9908617281
NCIBLIND10/04-B,-600.9911300229
NCIBLIND10/04-1,-1201.9805912624
NCIBLIND10/04-2,-1201.9896208604
NCIBLIND10/04-3,-1201.9903864379
NCIBLIND10/04-4,-1201.9867184611
NCIBLIND10/04-5,-1201.9847504184
NCIBLIND10/04-6,-1201.9836357472
NCIBLIND10/04-7,-1201.9829787035
NCIBLIND10/04-8,-1201.9825944638
NCIBLIND10/05-A,-599.8178472468
NCIBLIND10/05-B,-599.8182053306
NCIBLIND10/05-1,-1199.6497866397
NCIBLIND10/05-2,-1199.6527995529
NCIBLIND10/05-3,-1199.6471605474
NCIBLIND10/05-4,-1199.6425467158
NCIBLIND10/05-5,-1199.640313147
NCIBLIND10/05-6,-1199.6390396555
NCIBLIND10/06-A,-226.8157635715
NCIBLIND10/06-B,-226.8164344952
NCIBLIND10/06-1,-453.6392590705
NCIBLIND10/06-2,-453.6465205402
NCIBLIND10/06-3,-453.6399785679
NCIBLIND10/06-4,-453.6357462837
NCIBLIND10/06-5,-453.6341535334
NCIBLIND10/06-6,-453.6334055875
NCIBLIND10/06-7,-453.6330029797
NCIBLIND10/07-A,-229.6344773817
NCIBLIND10/07-B,-229.6345842127
NCIBLIND10/07-1,-459.2704449437
NCIBLIND10/07-2,-459.2717547153
NCIBLIND10/07-3,-459.2705672375
NCIBLIND10/07-4,-459.2696082977
NCIBLIND10/07-5,-459.269277509
NCIBLIND10/07-6,-459.2691495751
NCIBLIND10/08-A,-437.884114484
NCIBLIND10/08-B,-437.884114484
NCIBLIND10/08-1,-875.747078518
NCIBLIND10/08-2,-875.7639663294
NCIBLIND10/08-3,-875.770550179
NCIBLIND10/08-4,-875.7695610156
NCIBLIND10/08-5,-875.7691203453
NCIBLIND10/08-6,-875.7688830604
NCIBLIND10/08-7,-875.7687444599
NCIBLIND10/09-A,-245.625350234
NCIBLIND10/09-B,-245.62530698
NCIBLIND10/09-1,-491.2472976643
NCIBLIND10/09-2,-491.2550395343
NCIBLIND10/09-3,-491.2545513729
NCIBLIND10/09-4,-491.2526513352
NCIBLIND10/09-5,-491.2518033868
NCIBLIND10/09-6,-491.2513756869
NCIBLIND10/09-7,-491.2511404258
NCIBLIND10/10-A,-76.6116950817
NCIBLIND10/10-B,-76.6114270473
NCIBLIND10/10-1,-153.2093891054
NCIBLIND10/10-2,-153.2282900867
NCIBLIND10/10-3,-153.2314518416
NCIBLIND10/10-4,-153.23037608
NCIBLIND10/10-5,-153.2286336691
NCIBLIND10/10-6,-153.2263927322
NCIBLIND10/10-7,-153.2254488216
NCIBLIND10/10-8,-153.2247551068
NCIBLIND10/10-9,-153.2243443379
NCIBLIND10/10-10,-153.2240853032
NCIBLIND10/10-11,-153.2239138887
NCIBLIND10/10-12,-153.2237976233
NCIBLIND10/10-13,-153.2237171805
NCIBLIND10/10-14,-153.2236579788
NCIBLIND10/10-15,-153.2236134815
NCIBLIND10/10-16,-153.2235792181
