system,PWP/def2-QZVP/ORCA
S66x8/66-200,-344.2014187255
NCIBLIND10/01-A,-232.2764364548
NCIBLIND10/01-B,-40.5159007738
NCIBLIND10/01-1,-272.7909010076
NCIBLIND10/01-2,-272.7939445034
NCIBLIND10/01-3,-272.7932289759
NCIBLIND10/01-4,-272.7926151021
NCIBLIND10/01-5,-272.7923991405
NCIBLIND10/01-6,-272.7923529241
NCIBLIND10/01-7,-272.7923444
NCIBLIND10/02-A,-232.2770053632
NCIBLIND10/02-B,-76.4552149004
NCIBLIND10/02-1,-308.7244715173
NCIBLIND10/02-2,-308.7367558084
NCIBLIND10/02-3,-308.7369621509
NCIBLIND10/02-4,-308.7355831721
NCIBLIND10/02-5,-308.7344484184
NCIBLIND10/02-6,-308.7336516905
NCIBLIND10/02-7,-308.7327892439
NCIBLIND10/02-8,-308.7325176005
NCIBLIND10/02-9,-308.7324043588
NCIBLIND10/03-A,-155.0754196434
NCIBLIND10/03-B,-155.075390084
NCIBLIND10/03-1,-310.1525271639
NCIBLIND10/03-2,-310.1547789168
NCIBLIND10/03-3,-310.1529671852
NCIBLIND10/03-4,-310.1515736462
NCIBLIND10/03-5,-310.1510548731
NCIBLIND10/03-6,-310.1509145099
NCIBLIND10/03-7,-310.1508745271
NCIBLIND10/04-A,-599.7257526048
NCIBLIND10/04-B,-599.7261691447
NCIBLIND10/04-1,-1199.4585669415
NCIBLIND10/04-2,-1199.4655769435
NCIBLIND10/04-3,0
NCIBLIND10/04-4,-1199.458076791
NCIBLIND10/04-5,-1199.4552316552
NCIBLIND10/04-6,-1199.453697178
NCIBLIND10/04-7,-1199.4529109175
NCIBLIND10/04-8,-1199.4525129758
NCIBLIND10/05-A,-598.5632567259
NCIBLIND10/05-B,-598.563690684
NCIBLIND10/05-1,-1197.1448053738
NCIBLIND10/05-2,-1197.1468147458
NCIBLIND10/05-3,-1197.1392292703
NCIBLIND10/05-4,-1197.1338125048
NCIBLIND10/05-5,-1197.1312614339
NCIBLIND10/05-6,-1197.1299346381
NCIBLIND10/06-A,-226.2706782258
NCIBLIND10/06-B,-226.2712367425
NCIBLIND10/06-1,-452.5530780153
NCIBLIND10/06-2,-452.5587324186
NCIBLIND10/06-3,-452.5505467513
NCIBLIND10/06-4,-452.5457932817
NCIBLIND10/06-5,-452.5439542739
NCIBLIND10/06-6,-452.5431365361
NCIBLIND10/06-7,-452.5427254804
NCIBLIND10/07-A,-229.1307880809
NCIBLIND10/07-B,-229.1309347238
NCIBLIND10/07-1,-458.2656158456
NCIBLIND10/07-2,-458.2664773528
NCIBLIND10/07-3,-458.2640771474
NCIBLIND10/07-4,-458.2625223702
NCIBLIND10/07-5,-458.2619761278
NCIBLIND10/07-6,-458.2618142915
NCIBLIND10/08-A,-436.8734003481
NCIBLIND10/08-B,-436.8734003481
NCIBLIND10/08-1,-873.7340018817
NCIBLIND10/08-2,-873.7480225546
NCIBLIND10/08-3,-873.7512069229
NCIBLIND10/08-4,-873.7489034203
NCIBLIND10/08-5,-873.7478297009
NCIBLIND10/08-6,-873.7474579263
NCIBLIND10/08-7,-873.7473574364
NCIBLIND10/09-A,-245.1048223984
NCIBLIND10/09-B,-245.104758649
NCIBLIND10/09-1,-490.2110893211
NCIBLIND10/09-2,-490.2171345814
NCIBLIND10/09-3,-490.2147222386
NCIBLIND10/09-4,-490.2119366335
NCIBLIND10/09-5,-490.2107655439
NCIBLIND10/09-6,-490.2102991367
NCIBLIND10/09-7,-490.2100627299
NCIBLIND10/10-A,-76.4551491204
NCIBLIND10/10-B,-76.4548112195
NCIBLIND10/10-1,-152.9012258351
NCIBLIND10/10-2,-152.9180638821
NCIBLIND10/10-3,-152.9201378682
NCIBLIND10/10-4,-152.9185027338
NCIBLIND10/10-5,-152.916427266
NCIBLIND10/10-6,-152.913821216
NCIBLIND10/10-7,-152.912662371
NCIBLIND10/10-8,-152.9117969515
NCIBLIND10/10-9,-152.911285051
NCIBLIND10/10-10,-152.9109813465
NCIBLIND10/10-11,-152.9107964927
NCIBLIND10/10-12,-152.9106768387
NCIBLIND10/10-13,-152.9105947364
NCIBLIND10/10-14,-152.9105345392
NCIBLIND10/10-15,-152.9104893018
NCIBLIND10/10-16,-152.9104544753
