system,Lh12ct-SsirPW92/def2-QZVP/TM
S66x8/66-200,-342.9005985485
NCIBLIND10/01-A,-231.3749074151
NCIBLIND10/01-B,-40.3667193072
NCIBLIND10/01-1,-271.7318268817
NCIBLIND10/01-2,-271.7383031682
NCIBLIND10/01-3,-271.7409533935
NCIBLIND10/01-4,-271.7414863889
NCIBLIND10/01-5,-271.7416098555
NCIBLIND10/01-6,-271.7416314259
NCIBLIND10/01-7,-271.7416319468
NCIBLIND10/02-A,-231.375631544
NCIBLIND10/02-B,-76.2117685677
NCIBLIND10/02-1,-307.5674670393
NCIBLIND10/02-2,-307.5844255749
NCIBLIND10/02-3,-307.587752931
NCIBLIND10/02-4,-307.5883138188
NCIBLIND10/02-5,-307.5883308721
NCIBLIND10/02-6,-307.5882112487
NCIBLIND10/02-7,-307.5879162536
NCIBLIND10/02-8,-307.5877188177
NCIBLIND10/02-9,-307.5876018605
NCIBLIND10/03-A,-154.5215707053
NCIBLIND10/03-B,-154.5215237138
NCIBLIND10/03-1,-309.0315633753
NCIBLIND10/03-2,-309.0377283564
NCIBLIND10/03-3,-309.0425436959
NCIBLIND10/03-4,-309.0431925829
NCIBLIND10/03-5,-309.0432415951
NCIBLIND10/03-6,-309.0432020756
NCIBLIND10/03-7,-309.0431697315
NCIBLIND10/04-A,-597.5784761352
NCIBLIND10/04-B,-597.5793815133
NCIBLIND10/04-1,-1195.138545279
NCIBLIND10/04-2,-1195.151653133
NCIBLIND10/04-3,-1195.161491746
NCIBLIND10/04-4,-1195.161219846
NCIBLIND10/04-5,-1195.160308271
NCIBLIND10/04-6,-1195.159507343
NCIBLIND10/04-7,-1195.158911281
NCIBLIND10/04-8,-1195.15851557
NCIBLIND10/05-A,-596.4145616573
NCIBLIND10/05-B,-596.414802181
NCIBLIND10/05-1,-1192.83445019
NCIBLIND10/05-2,-1192.839233323
NCIBLIND10/05-3,-1192.839211459
NCIBLIND10/05-4,-1192.835953591
NCIBLIND10/05-5,-1192.833880664
NCIBLIND10/05-6,-1192.832572662
NCIBLIND10/06-A,-225.420744743
NCIBLIND10/06-B,-225.4216439381
NCIBLIND10/06-1,-450.8442360739
NCIBLIND10/06-2,-450.8523398183
NCIBLIND10/06-3,-450.8489873363
NCIBLIND10/06-4,-450.8458752671
NCIBLIND10/06-5,-450.8444561832
NCIBLIND10/06-6,-450.8436991467
NCIBLIND10/06-7,-450.8432697318
NCIBLIND10/07-A,-228.3260008648
NCIBLIND10/07-B,-228.3263930179
NCIBLIND10/07-1,-456.6475449158
NCIBLIND10/07-2,-456.650260506
NCIBLIND10/07-3,-456.6529620074
NCIBLIND10/07-4,-456.6528337903
NCIBLIND10/07-5,-456.6526310234
NCIBLIND10/07-6,-456.6525100263
NCIBLIND10/08-A,-435.2520290159
NCIBLIND10/08-B,-435.2520290161
NCIBLIND10/08-1,-870.466675667
NCIBLIND10/08-2,-870.4878656506
NCIBLIND10/08-3,-870.5032298304
NCIBLIND10/08-4,-870.5048034022
NCIBLIND10/08-5,-870.5048872399
NCIBLIND10/08-6,-870.5047420195
NCIBLIND10/08-7,-870.5046102129
NCIBLIND10/09-A,-244.2393694182
NCIBLIND10/09-B,-244.239269528
NCIBLIND10/09-1,-488.4652502125
NCIBLIND10/09-2,-488.4761239283
NCIBLIND10/09-3,-488.4811730509
NCIBLIND10/09-4,-488.4805608343
NCIBLIND10/09-5,-488.4798916891
NCIBLIND10/09-6,-488.4794531848
NCIBLIND10/09-7,-488.4791905526
NCIBLIND10/10-A,-76.2120004445
NCIBLIND10/10-B,-76.2120971881
NCIBLIND10/10-1,-152.4043864741
NCIBLIND10/10-2,-152.4239408498
NCIBLIND10/10-3,-152.4283289569
NCIBLIND10/10-4,-152.4285319446
NCIBLIND10/10-5,-152.4278277449
NCIBLIND10/10-6,-152.4266730944
NCIBLIND10/10-7,-152.4259150069
NCIBLIND10/10-8,-152.4254133157
NCIBLIND10/10-9,-152.4250697616
NCIBLIND10/10-10,-152.4248269113
NCIBLIND10/10-11,-152.4246533897
NCIBLIND10/10-12,-152.424529708
NCIBLIND10/10-13,-152.4244415416
NCIBLIND10/10-14,-152.4243752471
NCIBLIND10/10-15,-152.4243250292
NCIBLIND10/10-16,-152.4242863717
