system,B97-D/def2-QZVP/Turbomole
S66x8/66-200,-344.0379914352
NCIBLIND10/01-A,-232.1581550071
NCIBLIND10/01-B,-40.5110205088
NCIBLIND10/01-1,-272.6615382999
NCIBLIND10/01-2,-272.6676076171
NCIBLIND10/01-3,-272.6693162526
NCIBLIND10/01-4,-272.6692838505
NCIBLIND10/01-5,-272.6692104441
NCIBLIND10/01-6,-272.6691876582
NCIBLIND10/01-7,-272.6691809533
NCIBLIND10/02-A,-232.1587575696
NCIBLIND10/02-B,-76.4312434805
NCIBLIND10/02-1,-308.5715857109
NCIBLIND10/02-2,-308.5886596625
NCIBLIND10/02-3,-308.5917715963
NCIBLIND10/02-4,-308.5919307846
NCIBLIND10/02-5,-308.5915451882
NCIBLIND10/02-6,-308.591104932
NCIBLIND10/02-7,-308.5905174473
NCIBLIND10/02-8,-308.5902845787
NCIBLIND10/02-9,-308.5901768553
NCIBLIND10/03-A,-155.0140425679
NCIBLIND10/03-B,-155.0139884863
NCIBLIND10/03-1,-310.0202541845
NCIBLIND10/03-2,-310.0256719492
NCIBLIND10/03-3,-310.028805459
NCIBLIND10/03-4,-310.0284982342
NCIBLIND10/03-5,-310.0282347524
NCIBLIND10/03-6,-310.0281358057
NCIBLIND10/03-7,-310.0280977001
NCIBLIND10/04-A,-599.4203733514
NCIBLIND10/04-B,-599.4206519319
NCIBLIND10/04-1,-1198.8252488292
NCIBLIND10/04-2,-1198.8379838497
NCIBLIND10/04-3,-1198.8469910688
NCIBLIND10/04-4,-1198.8456180388
NCIBLIND10/04-5,-1198.8438872385
NCIBLIND10/04-6,-1198.8427165685
NCIBLIND10/04-7,-1198.8420192568
NCIBLIND10/04-8,-1198.8416266611
NCIBLIND10/05-A,-598.2485484016
NCIBLIND10/05-B,-598.2488185813
NCIBLIND10/05-1,-1196.5049226953
NCIBLIND10/05-2,-1196.5092131095
NCIBLIND10/05-3,-1196.5079944973
NCIBLIND10/05-4,-1196.5039530169
NCIBLIND10/05-5,-1196.5016612623
NCIBLIND10/05-6,-1196.5003656463
NCIBLIND10/06-A,-226.1509250354
NCIBLIND10/06-B,-226.151654506
NCIBLIND10/06-1,-452.3068496483
NCIBLIND10/06-2,-452.3143079489
NCIBLIND10/06-3,-452.3098312241
NCIBLIND10/06-4,-452.3061465318
NCIBLIND10/06-5,-452.3045466716
NCIBLIND10/06-6,-452.3037835839
NCIBLIND10/06-7,-452.303380473
NCIBLIND10/07-A,-229.0307234049
NCIBLIND10/07-B,-229.030951874
NCIBLIND10/07-1,-458.0591880775
NCIBLIND10/07-2,-458.0615629199
NCIBLIND10/07-3,-458.063044188
NCIBLIND10/07-4,-458.0622777324
NCIBLIND10/07-5,-458.0619037611
NCIBLIND10/07-6,-458.061764881
NCIBLIND10/08-A,-436.6449776745
NCIBLIND10/08-B,-436.6449776745
NCIBLIND10/08-1,-873.2544279668
NCIBLIND10/08-2,-873.2763490227
NCIBLIND10/08-3,-873.2912960338
NCIBLIND10/08-4,-873.2914323336
NCIBLIND10/08-5,-873.2908989526
NCIBLIND10/08-6,-873.2906181487
NCIBLIND10/08-7,-873.2904920668
NCIBLIND10/09-A,-244.9924658059
NCIBLIND10/09-B,-244.9923935801
NCIBLIND10/09-1,-489.9733469395
NCIBLIND10/09-2,-489.9840315356
NCIBLIND10/09-3,-489.9883924412
NCIBLIND10/09-4,-489.9869353692
NCIBLIND10/09-5,-489.9860197397
NCIBLIND10/09-6,-489.985577748
NCIBLIND10/09-7,-489.9853418434
NCIBLIND10/10-A,-76.4312928882
NCIBLIND10/10-B,-76.431165881
NCIBLIND10/10-1,-152.8461623718
NCIBLIND10/10-2,-152.8646725919
NCIBLIND10/10-3,-152.8684295732
NCIBLIND10/10-4,-152.8681970932
NCIBLIND10/10-5,-152.867162559
NCIBLIND10/10-6,-152.8655786389
NCIBLIND10/10-7,-152.8646838136
NCIBLIND10/10-8,-152.8640028891
NCIBLIND10/10-9,-152.863572248
NCIBLIND10/10-10,-152.8632992718
NCIBLIND10/10-11,-152.8631223432
NCIBLIND10/10-12,-152.8630046992
NCIBLIND10/10-13,-152.8629238849
NCIBLIND10/10-14,-152.862864211
NCIBLIND10/10-15,-152.8628194237
NCIBLIND10/10-16,-152.8627850043
