system,Lh14t-calPBE/def2-QZVP/TM
NCIBLIND10/01-7,-272.358643062
NCIBLIND10/02-A,-231.8979594071
NCIBLIND10/02-B,-76.3458042778
NCIBLIND10/02-1,-308.232232408
NCIBLIND10/02-2,-308.2460154763
NCIBLIND10/02-3,-308.246973151
NCIBLIND10/02-4,-308.2460356709
NCIBLIND10/02-5,-308.2452025848
NCIBLIND10/02-6,-308.2446854883
NCIBLIND10/02-7,-308.2442757385
NCIBLIND10/02-8,-308.2440806264
NCIBLIND10/02-9,-308.2439635154
NCIBLIND10/03-A,-154.8431515628
NCIBLIND10/03-B,-154.8431346146
NCIBLIND10/03-1,-309.6834346216
NCIBLIND10/03-2,-309.6869744622
NCIBLIND10/03-3,-309.6870691481
NCIBLIND10/03-4,-309.6866076626
NCIBLIND10/03-5,-309.686457828
NCIBLIND10/03-6,-309.6864002025
NCIBLIND10/03-7,-309.6863623481
NCIBLIND10/04-A,-598.7400081387
NCIBLIND10/04-B,-598.7409447452
NCIBLIND10/04-1,-1197.480130609
NCIBLIND10/04-2,-1197.488975957
NCIBLIND10/04-3,-1197.489523811
NCIBLIND10/04-4,-1197.485640786
NCIBLIND10/04-5,-1197.483652245
NCIBLIND10/04-6,-1197.48265555
NCIBLIND10/04-7,-1197.481983636
NCIBLIND10/04-8,-1197.481594987
NCIBLIND10/05-A,-597.568384755
NCIBLIND10/05-B,-597.5686055135
NCIBLIND10/05-1,-1195.150704127
NCIBLIND10/05-2,-1195.153720126
NCIBLIND10/05-3,-1195.148315256
NCIBLIND10/05-4,-1195.143691026
NCIBLIND10/05-5,-1195.141486765
NCIBLIND10/05-6,-1195.140172752
NCIBLIND10/06-A,-225.8982641318
NCIBLIND10/06-B,-225.8992065651
NCIBLIND10/06-1,-451.8047277004
NCIBLIND10/06-2,-451.8116532497
NCIBLIND10/06-3,-451.8052672899
NCIBLIND10/06-4,-451.8011166132
NCIBLIND10/06-5,-451.7995398591
NCIBLIND10/06-6,-451.7987615122
NCIBLIND10/06-7,-451.7983374288
NCIBLIND10/07-A,-228.7749084087
NCIBLIND10/07-B,-228.7752696244
NCIBLIND10/07-1,-457.5513478129
NCIBLIND10/07-2,-457.5527226126
NCIBLIND10/07-3,-457.5516195004
NCIBLIND10/07-4,-457.5507422115
NCIBLIND10/07-5,-457.5504239225
NCIBLIND10/07-6,-457.5502934957
NCIBLIND10/08-A,-436.1490929563
NCIBLIND10/08-B,-436.1490929564
NCIBLIND10/08-1,-872.2798603248
NCIBLIND10/08-2,-872.295467492
NCIBLIND10/08-3,-872.300606484
NCIBLIND10/08-4,-872.2994622937
NCIBLIND10/08-5,-872.2990791468
NCIBLIND10/08-6,-872.2988891311
NCIBLIND10/08-7,-872.298774921
NCIBLIND10/09-A,-244.7083788915
NCIBLIND10/09-B,-244.7082911736
NCIBLIND10/09-1,-489.4141801553
NCIBLIND10/09-2,-489.4214716352
NCIBLIND10/09-3,-489.4206329328
NCIBLIND10/09-4,-489.4187551259
NCIBLIND10/09-5,-489.4179214729
NCIBLIND10/09-6,-489.4174723598
NCIBLIND10/09-7,-489.417212851
NCIBLIND10/10-A,-76.3459822576
NCIBLIND10/10-B,-76.345999591
NCIBLIND10/10-1,-152.6782489708
NCIBLIND10/10-2,-152.6965710038
NCIBLIND10/10-3,-152.6996940798
NCIBLIND10/10-4,-152.6987924727
NCIBLIND10/10-5,-152.6972332931
NCIBLIND10/10-6,-152.6951783148
NCIBLIND10/10-7,-152.6940739964
NCIBLIND10/10-8,-152.6934090081
NCIBLIND10/10-9,-152.6930243338
NCIBLIND10/10-10,-152.6927632875
NCIBLIND10/10-11,-152.6925883565
NCIBLIND10/10-12,-152.692465761
NCIBLIND10/10-13,-152.692378907
NCIBLIND10/10-14,-152.6923138727
NCIBLIND10/10-15,-152.6922646924
NCIBLIND10/10-16,-152.6922268375
