system,BPBE/def2-QZVP/ORCA
S66x8/66-150,-344.1215329634
S66x8/66-200,-344.121453965
NCIBLIND10/01-A,-232.221980286
NCIBLIND10/01-B,-40.509470032
NCIBLIND10/01-1,-272.7242476505
NCIBLIND10/01-2,-272.7291679326
NCIBLIND10/01-3,-272.7309831
NCIBLIND10/01-4,-272.7313661964
NCIBLIND10/01-5,-272.7314501737
NCIBLIND10/01-6,-272.731458495
NCIBLIND10/01-7,-272.7314560733
NCIBLIND10/02-A,-232.2224710215
NCIBLIND10/02-B,-76.4401479613
NCIBLIND10/02-1,-308.6474298515
NCIBLIND10/02-2,-308.6615311112
NCIBLIND10/02-3,-308.6635985766
NCIBLIND10/02-4,-308.6637362956
NCIBLIND10/02-5,-308.6636017771
NCIBLIND10/02-6,-308.6634273623
NCIBLIND10/02-7,-308.6630906929
NCIBLIND10/02-8,-308.6629033575
NCIBLIND10/02-9,-308.6627983593
NCIBLIND10/03-A,-155.0389777935
NCIBLIND10/03-B,-155.0389367739
NCIBLIND10/03-1,-310.0707095653
NCIBLIND10/03-2,-310.0749043403
NCIBLIND10/03-3,-310.0776846408
NCIBLIND10/03-4,-310.0780519113
NCIBLIND10/03-5,-310.0780516322
NCIBLIND10/03-6,-310.0780084696
NCIBLIND10/03-7,-310.0779791427
NCIBLIND10/04-A,-599.5768954137
NCIBLIND10/04-B,-599.5771077697
NCIBLIND10/04-1,-1199.142282719
NCIBLIND10/04-2,-1199.1520873841
NCIBLIND10/04-3,-1199.1579654327
NCIBLIND10/04-4,-1199.1572552634
NCIBLIND10/04-5,-1199.1563209455
NCIBLIND10/04-6,-1199.1555258451
NCIBLIND10/04-7,-1199.1549576293
NCIBLIND10/04-8,-1199.1545943199
NCIBLIND10/05-A,-598.4119539259
NCIBLIND10/05-B,-598.4123452178
NCIBLIND10/05-1,-1196.8329859729
NCIBLIND10/05-2,-1196.8363623341
NCIBLIND10/05-3,-1196.8339054477
NCIBLIND10/05-4,-1196.830504578
NCIBLIND10/05-5,-1196.8285024269
NCIBLIND10/05-6,-1196.8272667727
NCIBLIND10/06-A,-226.2174230842
NCIBLIND10/06-B,-226.2179954462
NCIBLIND10/06-1,-452.440866959
NCIBLIND10/06-2,-452.4475062436
NCIBLIND10/06-3,-452.4420981653
NCIBLIND10/06-4,-452.4387240522
NCIBLIND10/06-5,-452.4373302689
NCIBLIND10/06-6,-452.4366193763
NCIBLIND10/06-7,-452.4362223032
NCIBLIND10/07-A,-229.0771121468
NCIBLIND10/07-B,-229.0772660856
NCIBLIND10/07-1,-458.1517275616
NCIBLIND10/07-2,-458.1536441561
NCIBLIND10/07-3,-458.1549780083
NCIBLIND10/07-4,-458.1547556149
NCIBLIND10/07-5,-458.154564747
NCIBLIND10/07-6,-458.1544606623
NCIBLIND10/08-A,-436.7678361853
NCIBLIND10/08-B,-436.7678361853
NCIBLIND10/08-1,-873.5058572122
NCIBLIND10/08-2,-873.5230305174
NCIBLIND10/08-3,-873.5351381879
NCIBLIND10/08-4,-873.5364403447
NCIBLIND10/08-5,-873.536450978
NCIBLIND10/08-6,-873.5362973481
NCIBLIND10/08-7,-873.5362134568
NCIBLIND10/09-A,-245.0488155598
NCIBLIND10/09-B,-245.0487559442
NCIBLIND10/09-1,-490.0879530858
NCIBLIND10/09-2,-490.0965527098
NCIBLIND10/09-3,-490.0999599881
NCIBLIND10/09-4,-490.0992959174
NCIBLIND10/09-5,-490.0986705553
NCIBLIND10/09-6,-490.0982778839
NCIBLIND10/09-7,-490.0980488064
NCIBLIND10/10-A,-76.4400859483
NCIBLIND10/10-B,-76.4398277023
NCIBLIND10/10-1,-152.8648204974
NCIBLIND10/10-2,-152.8827722712
NCIBLIND10/10-3,-152.8859303591
NCIBLIND10/10-4,-152.8853046737
NCIBLIND10/10-5,-152.8841007146
NCIBLIND10/10-6,-152.8825546146
NCIBLIND10/10-7,-152.88196647
NCIBLIND10/10-8,-152.8814358774
NCIBLIND10/10-9,-152.8810906336
NCIBLIND10/10-10,-152.8808557667
NCIBLIND10/10-11,-152.880692261
NCIBLIND10/10-12,-152.8805780334
NCIBLIND10/10-13,-152.8804981601
NCIBLIND10/10-14,-152.8804389335
NCIBLIND10/10-15,-152.8803943217
NCIBLIND10/10-16,-152.8803599469
