system,DSDSVWN/def2-QZVP/ORCA
S66x8/66-150,-342.7787876778
S66x8/66-200,-342.7774420034
NCIBLIND10/01-A,-231.2778693496
NCIBLIND10/01-B,-40.3333074883
NCIBLIND10/01-1,-271.6101166517
NCIBLIND10/01-2,-271.6128162347
NCIBLIND10/01-3,-271.6119067701
NCIBLIND10/01-4,-271.6114058457
NCIBLIND10/01-5,-271.6112599454
NCIBLIND10/01-6,-271.6112122655
NCIBLIND10/01-7,-271.6111939453
NCIBLIND10/02-A,-231.2792532953
NCIBLIND10/02-B,-76.2017821845
NCIBLIND10/02-1,-307.4724162326
NCIBLIND10/02-2,-307.4851771076
NCIBLIND10/02-3,-307.4854066387
NCIBLIND10/02-4,-307.4840736869
NCIBLIND10/02-5,-307.4830311696
NCIBLIND10/02-6,-307.4823578235
NCIBLIND10/02-7,-307.4816649412
NCIBLIND10/02-8,-307.481384888
NCIBLIND10/02-9,-307.4812495328
NCIBLIND10/03-A,-154.477455697
NCIBLIND10/03-B,-154.4774389041
NCIBLIND10/03-1,-308.9558592935
NCIBLIND10/03-2,-308.9582692729
NCIBLIND10/03-3,-308.9566262777
NCIBLIND10/03-4,-308.9555222303
NCIBLIND10/03-5,-308.955167973
NCIBLIND10/03-6,-308.9550377849
NCIBLIND10/03-7,-308.9549822303
NCIBLIND10/04-A,-597.5431110897
NCIBLIND10/04-B,-597.5445152191
NCIBLIND10/04-1,-1195.0968305624
NCIBLIND10/04-2,-1195.1032574877
NCIBLIND10/04-3,-1195.0993070764
NCIBLIND10/04-4,-1195.0936673828
NCIBLIND10/04-5,-1195.0908879919
NCIBLIND10/04-6,-1195.0894693797
NCIBLIND10/04-7,-1195.0886977748
NCIBLIND10/04-8,-1195.0882675328
NCIBLIND10/05-A,-596.3865192285
NCIBLIND10/05-B,-596.3864853967
NCIBLIND10/05-1,-1192.7899853283
NCIBLIND10/05-2,-1192.7921969973
NCIBLIND10/05-3,-1192.7848337419
NCIBLIND10/05-4,-1192.7797269569
NCIBLIND10/05-5,-1192.7773364092
NCIBLIND10/05-6,-1192.7760175594
NCIBLIND10/06-A,-225.3587020533
NCIBLIND10/06-B,-225.3596107596
NCIBLIND10/06-1,-450.7282893154
NCIBLIND10/06-2,-450.734485349
NCIBLIND10/06-3,-450.7268286706
NCIBLIND10/06-4,-450.7222443412
NCIBLIND10/06-5,-450.7204691288
NCIBLIND10/06-6,-450.7196373814
NCIBLIND10/06-7,-450.7191935679
NCIBLIND10/07-A,-228.296188542
NCIBLIND10/07-B,-228.2965600989
NCIBLIND10/07-1,-456.5964085403
NCIBLIND10/07-2,-456.5972839899
NCIBLIND10/07-3,-456.5948873252
NCIBLIND10/07-4,-456.5935175956
NCIBLIND10/07-5,-456.5930575483
NCIBLIND10/07-6,-456.5928835417
NCIBLIND10/08-A,-435.1714096012
NCIBLIND10/08-B,-435.1714096002
NCIBLIND10/08-1,-870.3384522522
NCIBLIND10/08-2,-870.3502703186
NCIBLIND10/08-3,-870.3486024196
NCIBLIND10/08-4,-870.3452138733
NCIBLIND10/08-5,-870.3440335682
NCIBLIND10/08-6,-870.34357418
NCIBLIND10/08-7,-870.3434057421
NCIBLIND10/09-A,-244.2208944979
NCIBLIND10/09-B,-244.220833173
NCIBLIND10/09-1,-488.4446532707
NCIBLIND10/09-2,-488.4501141754
NCIBLIND10/09-3,-488.446700563
NCIBLIND10/09-4,-488.4440557042
NCIBLIND10/09-5,-488.4430026873
NCIBLIND10/09-6,-488.4425107953
NCIBLIND10/09-7,-488.4422481664
NCIBLIND10/10-A,-76.2019413395
NCIBLIND10/10-B,-76.201982522
NCIBLIND10/10-1,-152.392045715
NCIBLIND10/10-2,-152.4097265339
NCIBLIND10/10-3,-152.4124527296
NCIBLIND10/10-4,-152.4112909628
NCIBLIND10/10-5,-152.4095574814
NCIBLIND10/10-6,-152.4073379381
NCIBLIND10/10-7,-152.4061049147
NCIBLIND10/10-8,-152.4053806405
NCIBLIND10/10-9,-152.404948272
NCIBLIND10/10-10,-152.4046751957
NCIBLIND10/10-11,-152.4044947176
NCIBLIND10/10-12,-152.4043712901
NCIBLIND10/10-13,-152.4042847525
NCIBLIND10/10-14,-152.4042207003
NCIBLIND10/10-15,-152.4041724768
NCIBLIND10/10-16,-152.404135364
