system,ωB97X/def2-QZVP/ORCA
S66x8/66-200,-344.1923743055
NCIBLIND10/01-A,-232.2722678452
NCIBLIND10/01-B,-40.521059909
NCIBLIND10/01-1,-272.7928383971
NCIBLIND10/01-2,-272.7955876493
NCIBLIND10/01-3,-272.7940071354
NCIBLIND10/01-4,-272.7934463256
NCIBLIND10/01-5,-272.7933533983
NCIBLIND10/01-6,-272.7933414307
NCIBLIND10/01-7,-272.7933354073
NCIBLIND10/02-A,-232.2740073707
NCIBLIND10/02-B,-76.4483797875
NCIBLIND10/02-1,-308.7138832905
NCIBLIND10/02-2,-308.7276827532
NCIBLIND10/02-3,-308.727455211
NCIBLIND10/02-4,-308.7256124244
NCIBLIND10/02-5,-308.7243279618
NCIBLIND10/02-6,-308.7235938124
NCIBLIND10/02-7,-308.72295478
NCIBLIND10/02-8,-308.7227136725
NCIBLIND10/02-9,-308.7225917928
NCIBLIND10/03-A,-155.0736230406
NCIBLIND10/03-B,-155.0735566375
NCIBLIND10/03-1,-310.1500292424
NCIBLIND10/03-2,-310.1520145776
NCIBLIND10/03-3,-310.1489705582
NCIBLIND10/03-4,-310.1476823956
NCIBLIND10/03-5,-310.1473883924
NCIBLIND10/03-6,-310.1472983288
NCIBLIND10/03-7,-310.1472582572
NCIBLIND10/04-A,-599.6308278921
NCIBLIND10/04-B,-599.6320870521
NCIBLIND10/04-1,-1199.2725165657
NCIBLIND10/04-2,-1199.2797195829
NCIBLIND10/04-3,-1199.2746519519
NCIBLIND10/04-4,-1199.2685190631
NCIBLIND10/04-5,-1199.2658831972
NCIBLIND10/04-6,-1199.2646343698
NCIBLIND10/04-7,-1199.2639436253
NCIBLIND10/04-8,-1199.2635439426
NCIBLIND10/05-A,-598.4553260093
NCIBLIND10/05-B,-598.4554091041
NCIBLIND10/05-1,-1196.9281105243
NCIBLIND10/05-2,-1196.9305891302
NCIBLIND10/05-3,-1196.9226849347
NCIBLIND10/05-4,-1196.9175258836
NCIBLIND10/05-5,-1196.9151766613
NCIBLIND10/05-6,-1196.913865628
NCIBLIND10/06-A,-226.2531632411
NCIBLIND10/06-B,-226.2542754635
NCIBLIND10/06-1,-452.5164502922
NCIBLIND10/06-2,-452.5234157351
NCIBLIND10/06-3,-452.5158913086
NCIBLIND10/06-4,-452.5112482978
NCIBLIND10/06-5,-452.5095377579
NCIBLIND10/06-6,-452.5087436226
NCIBLIND10/06-7,-452.5083139018
NCIBLIND10/07-A,-229.1124773525
NCIBLIND10/07-B,-229.1128834167
NCIBLIND10/07-1,-458.2302215371
NCIBLIND10/07-2,-458.2308715994
NCIBLIND10/07-3,-458.2275113094
NCIBLIND10/07-4,-458.2260486347
NCIBLIND10/07-5,-458.2256373375
NCIBLIND10/07-6,-458.2254864471
NCIBLIND10/08-A,-436.8228583661
NCIBLIND10/08-B,-436.82286156
NCIBLIND10/08-1,-873.6364072748
NCIBLIND10/08-2,-873.6516743699
NCIBLIND10/08-3,-873.6507556596
NCIBLIND10/08-4,-873.6473592042
NCIBLIND10/08-5,-873.6466345975
NCIBLIND10/08-6,-873.6463768986
NCIBLIND10/08-7,-873.6463449194
NCIBLIND10/09-A,-245.0666868607
NCIBLIND10/09-B,-245.0666019391
NCIBLIND10/09-1,-490.1371852882
NCIBLIND10/09-2,-490.1429745873
NCIBLIND10/09-3,-490.1383585482
NCIBLIND10/09-4,-490.1355866158
NCIBLIND10/09-5,-490.1345856566
NCIBLIND10/09-6,-490.1341086873
NCIBLIND10/09-7,-490.133841835
NCIBLIND10/10-A,-76.4485823476
NCIBLIND10/10-B,-76.4486984494
NCIBLIND10/10-1,-152.8852758057
NCIBLIND10/10-2,-152.9036699537
NCIBLIND10/10-3,-152.9064964692
NCIBLIND10/10-4,-152.9051297828
NCIBLIND10/10-5,-152.9031685086
NCIBLIND10/10-6,-152.9007491028
NCIBLIND10/10-7,-152.8994097303
NCIBLIND10/10-8,-152.8986733211
NCIBLIND10/10-9,-152.8982460649
NCIBLIND10/10-10,-152.8979797033
NCIBLIND10/10-11,-152.8978034706
NCIBLIND10/10-12,-152.8976826602
NCIBLIND10/10-13,-152.8975964093
NCIBLIND10/10-14,-152.8975339149
NCIBLIND10/10-15,-152.8974852912
NCIBLIND10/10-16,-152.8974480021
