system,M11/def2-QZVP/Turbomole7.5.1
S66x8/66-150,-344.1093856186
S66x8/66-200,-344.1083397836
NCIBLIND10/01-A,-232.2031425872
NCIBLIND10/01-B,-40.5039942794
NCIBLIND10/01-1,-272.7070640586
NCIBLIND10/01-2,-272.7089255681
NCIBLIND10/01-3,-272.7076831725
NCIBLIND10/01-4,-272.7072996882
NCIBLIND10/01-5,-272.7071896044
NCIBLIND10/01-6,-272.7071551974
NCIBLIND10/01-7,-272.7071452476
NCIBLIND10/02-A,-232.204800496
NCIBLIND10/02-B,-76.4508589681
NCIBLIND10/02-1,-308.6497277736
NCIBLIND10/02-2,-308.6615139967
NCIBLIND10/02-3,-308.6605669925
NCIBLIND10/02-4,-308.6587926459
NCIBLIND10/02-5,-308.6576488287
NCIBLIND10/02-6,-308.6570068986
NCIBLIND10/02-7,-308.6563200551
NCIBLIND10/02-8,-308.6560258838
NCIBLIND10/02-9,-308.6558864784
NCIBLIND10/03-A,-155.0439712752
NCIBLIND10/03-B,-155.0439295212
NCIBLIND10/03-1,-310.0909696019
NCIBLIND10/03-2,-310.0922973278
NCIBLIND10/03-3,-310.0894917603
NCIBLIND10/03-4,-310.0884988267
NCIBLIND10/03-5,-310.0881552489
NCIBLIND10/03-6,-310.0880351317
NCIBLIND10/03-7,-310.0879859894
NCIBLIND10/04-A,-599.5819510214
NCIBLIND10/04-B,-599.5835025599
NCIBLIND10/04-1,-1199.1810261402
NCIBLIND10/04-2,-1199.1854010747
NCIBLIND10/04-3,-1199.1773061915
NCIBLIND10/04-4,-1199.1711435942
NCIBLIND10/04-5,-1199.168597838
NCIBLIND10/04-6,-1199.1673127488
NCIBLIND10/04-7,-1199.1665409881
NCIBLIND10/04-8,-1199.1661109261
NCIBLIND10/05-A,-598.4184560756
NCIBLIND10/05-B,-598.4186569853
NCIBLIND10/05-1,-1196.853883467
NCIBLIND10/05-2,-1196.8562585016
NCIBLIND10/05-3,-1196.8489844295
NCIBLIND10/05-4,-1196.8441976801
NCIBLIND10/05-5,-1196.8417586376
NCIBLIND10/05-6,-1196.8403574619
NCIBLIND10/06-A,-226.2126467279
NCIBLIND10/06-B,-226.2137580186
NCIBLIND10/06-1,-452.4334504408
NCIBLIND10/06-2,-452.4406821912
NCIBLIND10/06-3,-452.4342879054
NCIBLIND10/06-4,-452.4302537269
NCIBLIND10/06-5,-452.4285674472
NCIBLIND10/06-6,-452.4277363532
NCIBLIND10/06-7,-452.4272922196
NCIBLIND10/07-A,-229.0886809713
NCIBLIND10/07-B,-229.0889758895
NCIBLIND10/07-1,-458.1818280219
NCIBLIND10/07-2,-458.1823690697
NCIBLIND10/07-3,-458.1796708695
NCIBLIND10/07-4,-458.1784514626
NCIBLIND10/07-5,-458.1779747555
NCIBLIND10/07-6,-458.1777944127
NCIBLIND10/08-A,-436.7526474787
NCIBLIND10/08-B,-436.7526474787
NCIBLIND10/08-1,-873.5070166813
NCIBLIND10/08-2,-873.5163197736
NCIBLIND10/08-3,-873.5100210978
NCIBLIND10/08-4,-873.507207664
NCIBLIND10/08-5,-873.5063647925
NCIBLIND10/08-6,-873.5060241197
NCIBLIND10/08-7,-873.5059634804
NCIBLIND10/09-A,-245.0474022413
NCIBLIND10/09-B,-245.0472954665
NCIBLIND10/09-1,-490.1018363182
NCIBLIND10/09-2,-490.1053747575
NCIBLIND10/09-3,-490.0998227833
NCIBLIND10/09-4,-490.0972363553
NCIBLIND10/09-5,-490.0961093938
NCIBLIND10/09-6,-490.0955752795
NCIBLIND10/09-7,-490.0952881974
NCIBLIND10/10-A,-76.4510747822
NCIBLIND10/10-B,-76.4511227856
NCIBLIND10/10-1,-152.8881505303
NCIBLIND10/10-2,-152.9070827549
NCIBLIND10/10-3,-152.9103895301
NCIBLIND10/10-4,-152.9092344161
NCIBLIND10/10-5,-152.9075678464
NCIBLIND10/10-6,-152.9055746888
NCIBLIND10/10-7,-152.9044819459
NCIBLIND10/10-8,-152.9037628566
NCIBLIND10/10-9,-152.9033060237
NCIBLIND10/10-10,-152.9030067963
NCIBLIND10/10-11,-152.9028107727
NCIBLIND10/10-12,-152.9026789032
NCIBLIND10/10-13,-152.9025879615
NCIBLIND10/10-14,-152.9025204603
NCIBLIND10/10-15,-152.9024694707
NCIBLIND10/10-16,-152.9024302535
