system,SCAN/def2-QZVP/TM
S66x8/66-150,-344.1342181501
S66x8/66-200,-344.1330239862
NCIBLIND10/01-A,-232.2330162579
NCIBLIND10/01-B,-40.5089423615
NCIBLIND10/01-1,-272.7409029096
NCIBLIND10/01-2,-272.7434303742
NCIBLIND10/01-3,-272.7424673875
NCIBLIND10/01-4,-272.7420699467
NCIBLIND10/01-5,-272.7419963527
NCIBLIND10/01-6,-272.7419780752
NCIBLIND10/01-7,-272.7419713287
NCIBLIND10/02-A,-232.2345723227
NCIBLIND10/02-B,-76.4382199187
NCIBLIND10/02-1,-308.6663784895
NCIBLIND10/02-2,-308.678127347
NCIBLIND10/02-3,-308.677630239
NCIBLIND10/02-4,-308.6758950082
NCIBLIND10/02-5,-308.6746930231
NCIBLIND10/02-6,-308.6739885283
NCIBLIND10/02-7,-308.673339049
NCIBLIND10/02-8,-308.6730988592
NCIBLIND10/02-9,-308.6729834128
NCIBLIND10/03-A,-155.0466194863
NCIBLIND10/03-B,-155.0463788016
NCIBLIND10/03-1,-310.0948010635
NCIBLIND10/03-2,-310.0968089234
NCIBLIND10/03-3,-310.0947273738
NCIBLIND10/03-4,-310.0937030629
NCIBLIND10/03-5,-310.0934340244
NCIBLIND10/03-6,-310.0933437361
NCIBLIND10/03-7,-310.0933050633
NCIBLIND10/04-A,-599.576587542
NCIBLIND10/04-B,-599.5779056058
NCIBLIND10/04-1,-1199.165610311
NCIBLIND10/04-2,-1199.171358851
NCIBLIND10/04-3,-1199.166033256
NCIBLIND10/04-4,-1199.160164249
NCIBLIND10/04-5,-1199.15750366
NCIBLIND10/04-6,-1199.156206565
NCIBLIND10/04-7,-1199.155503227
NCIBLIND10/04-8,-1199.155106295
NCIBLIND10/05-A,-598.4135957742
NCIBLIND10/05-B,-598.4138619469
NCIBLIND10/05-1,-1196.845421295
NCIBLIND10/05-2,-1196.847292727
NCIBLIND10/05-3,-1196.83933639
NCIBLIND10/05-4,-1196.834218655
NCIBLIND10/05-5,-1196.831866127
NCIBLIND10/05-6,-1196.830552775
NCIBLIND10/06-A,-226.2202505063
NCIBLIND10/06-B,-226.2211497448
NCIBLIND10/06-1,-452.4511906234
NCIBLIND10/06-2,-452.4567569141
NCIBLIND10/06-3,-452.4492585656
NCIBLIND10/06-4,-452.445006721
NCIBLIND10/06-5,-452.4433956116
NCIBLIND10/06-6,-452.4426350717
NCIBLIND10/06-7,-452.4422247099
NCIBLIND10/07-A,-229.0860933604
NCIBLIND10/07-B,-229.0864646918
NCIBLIND10/07-1,-458.1761516785
NCIBLIND10/07-2,-458.1769490386
NCIBLIND10/07-3,-458.1744721657
NCIBLIND10/07-4,-458.1731985927
NCIBLIND10/07-5,-458.1728060531
NCIBLIND10/07-6,-458.1726624154
NCIBLIND10/08-A,-436.7764706824
NCIBLIND10/08-B,-436.77648312
NCIBLIND10/08-1,-873.5487244817
NCIBLIND10/08-2,-873.5598284473
NCIBLIND10/08-3,-873.5574029363
NCIBLIND10/08-4,-873.5544671413
NCIBLIND10/08-5,-873.5536839
NCIBLIND10/08-6,-873.5533874578
NCIBLIND10/08-7,-873.5532374731
NCIBLIND10/09-A,-245.043511093
NCIBLIND10/09-B,-245.0434344337
NCIBLIND10/09-1,-490.0918901823
NCIBLIND10/09-2,-490.0964113596
NCIBLIND10/09-3,-490.0917864421
NCIBLIND10/09-4,-490.0891309222
NCIBLIND10/09-5,-490.0881618199
NCIBLIND10/09-6,-490.0877070143
NCIBLIND10/09-7,-490.087457794
NCIBLIND10/10-A,-76.4382840005
NCIBLIND10/10-B,-76.4383971595
NCIBLIND10/10-1,-152.8668142874
NCIBLIND10/10-2,-152.8834874975
NCIBLIND10/10-3,-152.8857486227
NCIBLIND10/10-4,-152.884335506
NCIBLIND10/10-5,-152.8824612194
NCIBLIND10/10-6,-152.8801440902
NCIBLIND10/10-7,-152.8788907543
NCIBLIND10/10-8,-152.8781702458
NCIBLIND10/10-9,-152.8777464791
NCIBLIND10/10-10,-152.877480927
NCIBLIND10/10-11,-152.877306358
NCIBLIND10/10-12,-152.8771875664
NCIBLIND10/10-13,-152.8771045637
NCIBLIND10/10-14,-152.8770431874
NCIBLIND10/10-15,-152.8769969478
NCIBLIND10/10-16,-152.8769613189
