system,Lh07s-SVWN/def2-QZVP/TM
S66x8/66-125,-342.7007792943
S66x8/66-150,-342.7014552525
S66x8/66-200,-342.7015151857
NCIBLIND10/01-A,-231.2300790612
NCIBLIND10/01-B,-40.3502187992
NCIBLIND10/01-1,-271.571194294
NCIBLIND10/01-2,-271.5771718271
NCIBLIND10/01-3,-271.5797824011
NCIBLIND10/01-4,-271.5802782657
NCIBLIND10/01-5,-271.5803230976
NCIBLIND10/01-6,-271.5803110317
NCIBLIND10/01-7,-271.5803041656
NCIBLIND10/02-A,-231.2311411289
NCIBLIND10/02-B,-76.1733061482
NCIBLIND10/02-1,-307.385945603
NCIBLIND10/02-2,-307.4016531187
NCIBLIND10/02-3,-307.4047690273
NCIBLIND10/02-4,-307.405439079
NCIBLIND10/02-5,-307.405541895
NCIBLIND10/02-6,-307.4054103186
NCIBLIND10/02-7,-307.4049927923
NCIBLIND10/02-8,-307.4047592144
NCIBLIND10/02-9,-307.4046410846
NCIBLIND10/03-A,-154.4445522404
NCIBLIND10/03-B,-154.4444809405
NCIBLIND10/03-1,-308.8785258161
NCIBLIND10/03-2,-308.8839453438
NCIBLIND10/03-3,-308.8886159532
NCIBLIND10/03-4,-308.8892824705
NCIBLIND10/03-5,-308.889225427
NCIBLIND10/03-6,-308.8891436528
NCIBLIND10/03-7,-308.8891051511
NCIBLIND10/04-A,-597.2694452702
NCIBLIND10/04-B,-597.2699675851
NCIBLIND10/04-1,-1194.520747458
NCIBLIND10/04-2,-1194.53265717
NCIBLIND10/04-3,-1194.542397484
NCIBLIND10/04-4,-1194.542860413
NCIBLIND10/04-5,-1194.542044878
NCIBLIND10/04-6,-1194.54112488
NCIBLIND10/04-7,-1194.540456307
NCIBLIND10/04-8,-1194.540047975
NCIBLIND10/05-A,-596.0977858036
NCIBLIND10/05-B,-596.0980541809
NCIBLIND10/05-1,-1192.202317536
NCIBLIND10/05-2,-1192.206336589
NCIBLIND10/05-3,-1192.205649519
NCIBLIND10/05-4,-1192.202458322
NCIBLIND10/05-5,-1192.200298709
NCIBLIND10/05-6,-1192.198966963
NCIBLIND10/06-A,-225.2859468154
NCIBLIND10/06-B,-225.2867677188
NCIBLIND10/06-1,-450.5770507674
NCIBLIND10/06-2,-450.5840163453
NCIBLIND10/06-3,-450.5794155058
NCIBLIND10/06-4,-450.5762384323
NCIBLIND10/06-5,-450.5747700061
NCIBLIND10/06-6,-450.5739874631
NCIBLIND10/06-7,-450.5735614003
NCIBLIND10/07-A,-228.2050753876
NCIBLIND10/07-B,-228.205448766
NCIBLIND10/07-1,-456.4062920414
NCIBLIND10/07-2,-456.4086601323
NCIBLIND10/07-3,-456.4111872388
NCIBLIND10/07-4,-456.4110507565
NCIBLIND10/07-5,-456.410773719
NCIBLIND10/07-6,-456.4106314337
NCIBLIND10/08-A,-434.9998626499
NCIBLIND10/08-B,-434.9998626497
NCIBLIND10/08-1,-869.9620987252
NCIBLIND10/08-2,-869.9823910381
NCIBLIND10/08-3,-869.998627439
NCIBLIND10/08-4,-870.0006891699
NCIBLIND10/08-5,-870.0006353998
NCIBLIND10/08-6,-870.0004039576
NCIBLIND10/08-7,-870.0003395984
NCIBLIND10/09-A,-244.1150779632
NCIBLIND10/09-B,-244.1149874261
NCIBLIND10/09-1,-488.2168497548
NCIBLIND10/09-2,-488.2270441607
NCIBLIND10/09-3,-488.2325726404
NCIBLIND10/09-4,-488.2320929155
NCIBLIND10/09-5,-488.231312142
NCIBLIND10/09-6,-488.2308461048
NCIBLIND10/09-7,-488.2305903197
NCIBLIND10/10-A,-76.1734378882
NCIBLIND10/10-B,-76.1734017804
NCIBLIND10/10-1,-152.3302822718
NCIBLIND10/10-2,-152.3484841983
NCIBLIND10/10-3,-152.3519976928
NCIBLIND10/10-4,-152.3517351724
NCIBLIND10/10-5,-152.35082543
NCIBLIND10/10-6,-152.3495696528
NCIBLIND10/10-7,-152.3488697438
NCIBLIND10/10-8,-152.3483213035
NCIBLIND10/10-9,-152.3479321284
NCIBLIND10/10-10,-152.3476611174
NCIBLIND10/10-11,-152.3474766386
NCIBLIND10/10-12,-152.3473516496
NCIBLIND10/10-13,-152.3472656512
NCIBLIND10/10-14,-152.3472018972
NCIBLIND10/10-15,-152.3471537638
NCIBLIND10/10-16,-152.3471168084
