system,BPW/def2-QZVP/ORCA
S66x8/66-200,-344.2539802528
NCIBLIND10/01-A,-232.3144065411
NCIBLIND10/01-B,-40.5281056767
NCIBLIND10/01-1,-272.8353464371
NCIBLIND10/01-2,-272.8402784602
NCIBLIND10/01-3,-272.842049667
NCIBLIND10/01-4,-272.8424274274
NCIBLIND10/01-5,-272.8425117004
NCIBLIND10/01-6,-272.8425202316
NCIBLIND10/01-7,-272.8425179006
NCIBLIND10/02-A,-232.3149396689
NCIBLIND10/02-B,-76.4643570045
NCIBLIND10/02-1,-308.7640330745
NCIBLIND10/02-2,-308.7782692564
NCIBLIND10/02-3,-308.7803172917
NCIBLIND10/02-4,-308.7804225609
NCIBLIND10/02-5,-308.7802765728
NCIBLIND10/02-6,-308.7801010233
NCIBLIND10/02-7,-308.7797662344
NCIBLIND10/02-8,-308.7795798662
NCIBLIND10/02-9,-308.7794753331
NCIBLIND10/03-A,-155.0959568988
NCIBLIND10/03-B,-155.0959182139
NCIBLIND10/03-1,-310.1848187268
NCIBLIND10/03-2,-310.1889873195
NCIBLIND10/03-3,-310.1916607856
NCIBLIND10/03-4,-310.1920143118
NCIBLIND10/03-5,-310.1920131789
NCIBLIND10/03-6,-310.191969649
NCIBLIND10/03-7,-310.1919401185
NCIBLIND10/04-A,-599.7704805131
NCIBLIND10/04-B,-599.7706846761
NCIBLIND10/04-1,-1199.5296948876
NCIBLIND10/04-2,-1199.5395330392
NCIBLIND10/04-3,-1199.5452255754
NCIBLIND10/04-4,-1199.5444367135
NCIBLIND10/04-5,-1199.5434892498
NCIBLIND10/04-6,-1199.5426917958
NCIBLIND10/04-7,-1199.5421224517
NCIBLIND10/04-8,-1199.5417582149
NCIBLIND10/05-A,-598.6038397936
NCIBLIND10/05-B,-598.6042222478
NCIBLIND10/05-1,-1197.2168982442
NCIBLIND10/05-2,-1197.2202805722
NCIBLIND10/05-3,-1197.2177026688
NCIBLIND10/05-4,-1197.2142768636
NCIBLIND10/05-5,-1197.2122717065
NCIBLIND10/05-6,-1197.2110344979
NCIBLIND10/06-A,-226.3000411049
NCIBLIND10/06-B,-226.3006385838
NCIBLIND10/06-1,-452.6060832761
NCIBLIND10/06-2,-452.6128014852
NCIBLIND10/06-3,-452.6073807425
NCIBLIND10/06-4,-452.6039861323
NCIBLIND10/06-5,-452.602591434
NCIBLIND10/06-6,-452.6018806452
NCIBLIND10/06-7,-452.6014836081
NCIBLIND10/07-A,-229.1543304545
NCIBLIND10/07-B,-229.1544865337
NCIBLIND10/07-1,-458.3062964257
NCIBLIND10/07-2,-458.3081875946
NCIBLIND10/07-3,-458.3094287368
NCIBLIND10/07-4,-458.3091960037
NCIBLIND10/07-5,-458.3090041511
NCIBLIND10/07-6,-458.3088997524
NCIBLIND10/08-A,-436.9209036881
NCIBLIND10/08-B,-436.9209036881
NCIBLIND10/08-1,-873.8120391289
NCIBLIND10/08-2,-873.8293563993
NCIBLIND10/08-3,-873.8413156001
NCIBLIND10/08-4,-873.8425801629
NCIBLIND10/08-5,-873.8425896733
NCIBLIND10/08-6,-873.8424354054
NCIBLIND10/08-7,-873.8423476426
NCIBLIND10/09-A,-245.1281286467
NCIBLIND10/09-B,-245.1280713772
NCIBLIND10/09-1,-490.2467376273
NCIBLIND10/09-2,-490.255347317
NCIBLIND10/09-3,-490.258612469
NCIBLIND10/09-4,-490.2579288672
NCIBLIND10/09-5,-490.2573017507
NCIBLIND10/09-6,-490.2569082067
NCIBLIND10/09-7,-490.2566785558
NCIBLIND10/10-A,-76.4643014031
NCIBLIND10/10-B,-76.4640532046
NCIBLIND10/10-1,-152.9132078
NCIBLIND10/10-2,-152.9312542392
NCIBLIND10/10-3,-152.9344376996
NCIBLIND10/10-4,-152.9337981889
NCIBLIND10/10-5,-152.932572109
NCIBLIND10/10-6,-152.931003359
NCIBLIND10/10-7,-152.9304009139
NCIBLIND10/10-8,-152.929869289
NCIBLIND10/10-9,-152.9295240956
NCIBLIND10/10-10,-152.9292893728
NCIBLIND10/10-11,-152.9291259384
NCIBLIND10/10-12,-152.929011718
NCIBLIND10/10-13,-152.9289318263
NCIBLIND10/10-14,-152.928872577
NCIBLIND10/10-15,-152.9288279455
NCIBLIND10/10-16,-152.9287935543
