system,revTPSSh/def2-QZVP/ORCA
S66x8/66-200,-344.2044117676
NCIBLIND10/01-A,-232.2921679807
NCIBLIND10/01-B,-40.5262760571
NCIBLIND10/01-1,-272.8149818203
NCIBLIND10/01-2,-272.8183986013
NCIBLIND10/01-3,-272.8187259253
NCIBLIND10/01-4,-272.8185527812
NCIBLIND10/01-5,-272.8184797029
NCIBLIND10/01-6,-272.8184579784
NCIBLIND10/01-7,-272.8184506843
NCIBLIND10/02-A,-232.2933677331
NCIBLIND10/02-B,-76.4311191772
NCIBLIND10/02-1,-308.7142815758
NCIBLIND10/02-2,-308.7266635226
NCIBLIND10/02-3,-308.7274509082
NCIBLIND10/02-4,-308.7267756149
NCIBLIND10/02-5,-308.7261200901
NCIBLIND10/02-6,-308.725617211
NCIBLIND10/02-7,-308.7250261878
NCIBLIND10/02-8,-308.7247880298
NCIBLIND10/02-9,-308.7246736697
NCIBLIND10/03-A,-155.0652337842
NCIBLIND10/03-B,-155.0652310471
NCIBLIND10/03-1,-310.1280565223
NCIBLIND10/03-2,-310.1311217714
NCIBLIND10/03-3,-310.1315116935
NCIBLIND10/03-4,-310.1309203229
NCIBLIND10/03-5,-310.1306623849
NCIBLIND10/03-6,-310.1305695398
NCIBLIND10/03-7,-310.1305315126
NCIBLIND10/04-A,-599.592926065
NCIBLIND10/04-B,-599.5937550793
NCIBLIND10/04-1,-1199.1862833504
NCIBLIND10/04-2,-1199.1937584142
NCIBLIND10/04-3,-1199.1945820053
NCIBLIND10/04-4,-1199.1914997925
NCIBLIND10/04-5,-1199.1895162042
NCIBLIND10/04-6,-1199.1883427564
NCIBLIND10/04-7,-1199.1876616913
NCIBLIND10/04-8,-1199.1872746308
NCIBLIND10/05-A,-598.4149633788
NCIBLIND10/05-B,-598.415139666
NCIBLIND10/05-1,-1196.8438245038
NCIBLIND10/05-2,-1196.8464733754
NCIBLIND10/05-3,-1196.8412387429
NCIBLIND10/05-4,-1196.8367486109
NCIBLIND10/05-5,-1196.8344453789
NCIBLIND10/05-6,-1196.833145153
NCIBLIND10/06-A,-226.2588375413
NCIBLIND10/06-B,-226.2596078482
NCIBLIND10/06-1,-452.5251076215
NCIBLIND10/06-2,-452.5324509665
NCIBLIND10/06-3,-452.5260720469
NCIBLIND10/06-4,-452.5220526386
NCIBLIND10/06-5,-452.5204344973
NCIBLIND10/06-6,-452.519671622
NCIBLIND10/06-7,-452.5192638387
NCIBLIND10/07-A,-229.0994469778
NCIBLIND10/07-B,-229.0996985583
NCIBLIND10/07-1,-458.200277652
NCIBLIND10/07-2,-458.2015233844
NCIBLIND10/07-3,-458.2007689515
NCIBLIND10/07-4,-458.1997720832
NCIBLIND10/07-5,-458.1993895929
NCIBLIND10/07-6,-458.1992469799
NCIBLIND10/08-A,-436.8266409536
NCIBLIND10/08-B,-436.8266409684
NCIBLIND10/08-1,-873.6362423436
NCIBLIND10/08-2,-873.6496707868
NCIBLIND10/08-3,-873.6554947384
NCIBLIND10/08-4,-873.6547949151
NCIBLIND10/08-5,-873.6542298654
NCIBLIND10/08-6,-873.6539553406
NCIBLIND10/08-7,-873.6538437087
NCIBLIND10/09-A,-245.0542902149
NCIBLIND10/09-B,-245.0542207135
NCIBLIND10/09-1,-490.1065399213
NCIBLIND10/09-2,-490.112718844
NCIBLIND10/09-3,-490.1125150002
NCIBLIND10/09-4,-490.1106299033
NCIBLIND10/09-5,-490.1097034501
NCIBLIND10/09-6,-490.1092544046
NCIBLIND10/09-7,-490.1090108102
NCIBLIND10/10-A,-76.4311570302
NCIBLIND10/10-B,-76.4310077612
NCIBLIND10/10-1,-152.8482165121
NCIBLIND10/10-2,-152.8669477968
NCIBLIND10/10-3,-152.8699539365
NCIBLIND10/10-4,-152.8689445939
NCIBLIND10/10-5,-152.8673799546
NCIBLIND10/10-6,-152.8653937702
NCIBLIND10/10-7,-152.8644066593
NCIBLIND10/10-8,-152.8637122912
NCIBLIND10/10-9,-152.8632897706
NCIBLIND10/10-10,-152.863023622
NCIBLIND10/10-11,-152.8628496798
NCIBLIND10/10-12,-152.8627323737
NCIBLIND10/10-13,-152.8626509359
NCIBLIND10/10-14,-152.8625908952
NCIBLIND10/10-15,-152.8625457064
NCIBLIND10/10-16,-152.8625108979
