system,CAM-B3LYP/def2-QZVP/ORCA
S66x8/66-150,-344.1115333791
S66x8/66-200,-344.1107113502
NCIBLIND10/01-A,-232.2078541541
NCIBLIND10/01-B,-40.5077496905
NCIBLIND10/01-1,-272.7117287162
NCIBLIND10/01-2,-272.7156536943
NCIBLIND10/01-3,-272.7157632771
NCIBLIND10/01-4,-272.7156230871
NCIBLIND10/01-5,-272.7156174785
NCIBLIND10/01-6,-272.7156139527
NCIBLIND10/01-7,-272.7156096681
NCIBLIND10/02-A,-232.2098136658
NCIBLIND10/02-B,-76.4447135239
NCIBLIND10/02-1,-308.6429065089
NCIBLIND10/02-2,-308.6568714052
NCIBLIND10/02-3,-308.6577734029
NCIBLIND10/02-4,-308.6568438513
NCIBLIND10/02-5,-308.6560714583
NCIBLIND10/02-6,-308.6555938296
NCIBLIND10/02-7,-308.6550742511
NCIBLIND10/02-8,-308.6548456289
NCIBLIND10/02-9,-308.6547269591
NCIBLIND10/03-A,-155.044383005
NCIBLIND10/03-B,-155.0443263039
NCIBLIND10/03-1,-310.0876197616
NCIBLIND10/03-2,-310.0904701028
NCIBLIND10/03-3,-310.0897339618
NCIBLIND10/03-4,-310.0890885832
NCIBLIND10/03-5,-310.0889093531
NCIBLIND10/03-6,-310.0888285083
NCIBLIND10/03-7,-310.0887888617
NCIBLIND10/04-A,-599.5565526033
NCIBLIND10/04-B,-599.5576128965
NCIBLIND10/04-1,-1199.1161727446
NCIBLIND10/04-2,-1199.1242653324
NCIBLIND10/04-3,-1199.1233702017
NCIBLIND10/04-4,-1199.119140602
NCIBLIND10/04-5,-1199.1170457605
NCIBLIND10/04-6,-1199.1159033119
NCIBLIND10/04-7,-1199.1152216301
NCIBLIND10/04-8,-1199.1148137384
NCIBLIND10/05-A,-598.3883904433
NCIBLIND10/05-B,-598.3884975205
NCIBLIND10/05-1,-1196.7924058961
NCIBLIND10/05-2,-1196.7949962096
NCIBLIND10/05-3,-1196.7884610488
NCIBLIND10/05-4,-1196.7836656031
NCIBLIND10/05-5,-1196.781378316
NCIBLIND10/05-6,-1196.7800533627
NCIBLIND10/06-A,-226.2058263136
NCIBLIND10/06-B,-226.2069497011
NCIBLIND10/06-1,-452.4211666135
NCIBLIND10/06-2,-452.4277900568
NCIBLIND10/06-3,-452.4208058815
NCIBLIND10/06-4,-452.4164891906
NCIBLIND10/06-5,-452.414852811
NCIBLIND10/06-6,-452.41407041
NCIBLIND10/06-7,-452.4136429496
NCIBLIND10/07-A,-229.0838887364
NCIBLIND10/07-B,-229.0842918987
NCIBLIND10/07-1,-458.1709313447
NCIBLIND10/07-2,-458.1718853661
NCIBLIND10/07-3,-458.1698902136
NCIBLIND10/07-4,-458.1688060093
NCIBLIND10/07-5,-458.168450198
NCIBLIND10/07-6,-458.1683037158
NCIBLIND10/08-A,-436.7438931574
NCIBLIND10/08-B,-436.7438952666
NCIBLIND10/08-1,-873.4675271262
NCIBLIND10/08-2,-873.4841203908
NCIBLIND10/08-3,-873.4900670259
NCIBLIND10/08-4,-873.4890874514
NCIBLIND10/08-5,-873.4886995339
NCIBLIND10/08-6,-873.4884757925
NCIBLIND10/08-7,-873.4884463509
NCIBLIND10/09-A,-245.0387642387
NCIBLIND10/09-B,-245.0386888597
NCIBLIND10/09-1,-490.0774103688
NCIBLIND10/09-2,-490.0839800697
NCIBLIND10/09-3,-490.0818767815
NCIBLIND10/09-4,-490.0796792882
NCIBLIND10/09-5,-490.0787600503
NCIBLIND10/09-6,-490.078282222
NCIBLIND10/09-7,-490.0780125386
NCIBLIND10/10-A,-76.4448676506
NCIBLIND10/10-B,-76.4448920907
NCIBLIND10/10-1,-152.8784457556
NCIBLIND10/10-2,-152.8959849965
NCIBLIND10/10-3,-152.8985278324
NCIBLIND10/10-4,-152.8972242023
NCIBLIND10/10-5,-152.8954010185
NCIBLIND10/10-6,-152.8931295832
NCIBLIND10/10-7,-152.8919336969
NCIBLIND10/10-8,-152.8912291554
NCIBLIND10/10-9,-152.8908133505
NCIBLIND10/10-10,-152.890548119
NCIBLIND10/10-11,-152.890369521
NCIBLIND10/10-12,-152.8902466561
NCIBLIND10/10-13,-152.8901595587
NCIBLIND10/10-14,-152.8900959944
NCIBLIND10/10-15,-152.8900469851
NCIBLIND10/10-16,-152.8900093313
