system,revTPSS/def2-QZVP/ORCA
S66x8/66-200,-344.2253295864
NCIBLIND10/01-A,-232.3066936351
NCIBLIND10/01-B,-40.527162737
NCIBLIND10/01-1,-272.8301159908
NCIBLIND10/01-2,-272.8336517809
NCIBLIND10/01-3,-272.8341046163
NCIBLIND10/01-4,-272.8339576968
NCIBLIND10/01-5,-272.8338886855
NCIBLIND10/01-6,-272.8338680399
NCIBLIND10/01-7,-272.8338616697
NCIBLIND10/02-A,-232.3074574335
NCIBLIND10/02-B,-76.4352617037
NCIBLIND10/02-1,-308.7323463988
NCIBLIND10/02-2,-308.7447803001
NCIBLIND10/02-3,-308.7456291513
NCIBLIND10/02-4,-308.7449947777
NCIBLIND10/02-5,-308.7443375843
NCIBLIND10/02-6,-308.7438254104
NCIBLIND10/02-7,-308.7432339749
NCIBLIND10/02-8,-308.7430038237
NCIBLIND10/02-9,-308.7428955855
NCIBLIND10/03-A,-155.0728199565
NCIBLIND10/03-B,-155.0728225568
NCIBLIND10/03-1,-310.1430831753
NCIBLIND10/03-2,-310.1461720155
NCIBLIND10/03-3,-310.1466883844
NCIBLIND10/03-4,-310.1461078271
NCIBLIND10/03-5,-310.1458399294
NCIBLIND10/03-6,-310.1457455013
NCIBLIND10/03-7,-310.1457081787
NCIBLIND10/04-A,-599.6501484769
NCIBLIND10/04-B,-599.6508127017
NCIBLIND10/04-1,-1199.3000975647
NCIBLIND10/04-2,-1199.3075180225
NCIBLIND10/04-3,-1199.3086810964
NCIBLIND10/04-4,-1199.3057154647
NCIBLIND10/04-5,-1199.3037740896
NCIBLIND10/04-6,-1199.3026024225
NCIBLIND10/04-7,-1199.3019259248
NCIBLIND10/04-8,-1199.3015448397
NCIBLIND10/05-A,-598.4741941894
NCIBLIND10/05-B,-598.4744680829
NCIBLIND10/05-1,-1196.9620269932
NCIBLIND10/05-2,-1196.964747804
NCIBLIND10/05-3,-1196.9596858588
NCIBLIND10/05-4,-1196.9552246082
NCIBLIND10/05-5,-1196.9529369883
NCIBLIND10/05-6,-1196.9516505715
NCIBLIND10/06-A,-226.2761416014
NCIBLIND10/06-B,-226.2767531028
NCIBLIND10/06-1,-452.5590449675
NCIBLIND10/06-2,-452.5666306602
NCIBLIND10/06-3,-452.5604630093
NCIBLIND10/06-4,-452.5564645023
NCIBLIND10/06-5,-452.554856969
NCIBLIND10/06-6,-452.5541007971
NCIBLIND10/06-7,-452.5536985119
NCIBLIND10/07-A,-229.1171117739
NCIBLIND10/07-B,-229.1172454666
NCIBLIND10/07-1,-458.2351340497
NCIBLIND10/07-2,-458.2365210915
NCIBLIND10/07-3,-458.2359329354
NCIBLIND10/07-4,-458.2349666019
NCIBLIND10/07-5,-458.2345888596
NCIBLIND10/07-6,-458.2344500362
NCIBLIND10/08-A,-436.8649735262
NCIBLIND10/08-B,-436.8649735361
NCIBLIND10/08-1,-873.7126647113
NCIBLIND10/08-2,-873.7260084798
NCIBLIND10/08-3,-873.7322348855
NCIBLIND10/08-4,-873.7314480386
NCIBLIND10/08-5,-873.7308834514
NCIBLIND10/08-6,-873.7306087529
NCIBLIND10/08-7,-873.7304749142
NCIBLIND10/09-A,-245.0785233265
NCIBLIND10/09-B,-245.0784716825
NCIBLIND10/09-1,-490.1545378644
NCIBLIND10/09-2,-490.1607628841
NCIBLIND10/09-3,-490.1608867425
NCIBLIND10/09-4,-490.1590603324
NCIBLIND10/09-5,-490.1581481524
NCIBLIND10/09-6,-490.1577110416
NCIBLIND10/09-7,-490.1574762542
NCIBLIND10/10-A,-76.4351837481
NCIBLIND10/10-B,-76.4348999823
NCIBLIND10/10-1,-152.8556871103
NCIBLIND10/10-2,-152.8747393244
NCIBLIND10/10-3,-152.8778425991
NCIBLIND10/10-4,-152.8768565218
NCIBLIND10/10-5,-152.8753041229
NCIBLIND10/10-6,-152.8733126499
NCIBLIND10/10-7,-152.8724463083
NCIBLIND10/10-8,-152.8717463022
NCIBLIND10/10-9,-152.8713198177
NCIBLIND10/10-10,-152.8710523823
NCIBLIND10/10-11,-152.87087848
NCIBLIND10/10-12,-152.8707622008
NCIBLIND10/10-13,-152.8706820273
NCIBLIND10/10-14,-152.8706231402
NCIBLIND10/10-15,-152.8705788733
NCIBLIND10/10-16,-152.8705447964
