system,Lrc-wPBEh/def2-QZVP/Turbomole
S66x8/66-200,-343.9354626708
NCIBLIND10/01-A,-232.0961563849
NCIBLIND10/01-B,-40.4898912811
NCIBLIND10/01-1,-272.5825944238
NCIBLIND10/01-2,-272.5861305248
NCIBLIND10/01-3,-272.5863145236
NCIBLIND10/01-4,-272.5861282453
NCIBLIND10/01-5,-272.5860783885
NCIBLIND10/01-6,-272.5860618919
NCIBLIND10/01-7,-272.5860547868
NCIBLIND10/02-A,-232.0978668271
NCIBLIND10/02-B,-76.3962925912
NCIBLIND10/02-1,-308.4839698865
NCIBLIND10/02-2,-308.4966033075
NCIBLIND10/02-3,-308.4974261858
NCIBLIND10/02-4,-308.4965938709
NCIBLIND10/02-5,-308.4958270278
NCIBLIND10/02-6,-308.4953021717
NCIBLIND10/02-7,-308.4947306467
NCIBLIND10/02-8,-308.4944858583
NCIBLIND10/02-9,-308.4943628658
NCIBLIND10/03-A,-154.9602994321
NCIBLIND10/03-B,-154.9602581124
NCIBLIND10/03-1,-309.9184343865
NCIBLIND10/03-2,-309.92158712
NCIBLIND10/03-3,-309.9216348369
NCIBLIND10/03-4,-309.9209864761
NCIBLIND10/03-5,-309.9207580979
NCIBLIND10/03-6,-309.9206707692
NCIBLIND10/03-7,-309.9206311764
NCIBLIND10/04-A,-599.2119449855
NCIBLIND10/04-B,-599.2129510395
NCIBLIND10/04-1,-1198.4246898377
NCIBLIND10/04-2,-1198.4327724844
NCIBLIND10/04-3,-1198.4334726376
NCIBLIND10/04-4,-1198.4298183787
NCIBLIND10/04-5,-1198.4277523653
NCIBLIND10/04-6,-1198.4265962926
NCIBLIND10/04-7,-1198.4259143466
NCIBLIND10/04-8,-1198.4255166533
NCIBLIND10/05-A,-598.0379490369
NCIBLIND10/05-B,-598.0380769091
NCIBLIND10/05-1,-1196.0897248962
NCIBLIND10/05-2,-1196.0924968179
NCIBLIND10/05-3,-1196.0873023513
NCIBLIND10/05-4,-1196.0827336906
NCIBLIND10/05-5,-1196.0804453694
NCIBLIND10/05-6,-1196.0791326578
NCIBLIND10/06-A,-226.0888826813
NCIBLIND10/06-B,-226.089869917
NCIBLIND10/06-1,-452.1873053915
NCIBLIND10/06-2,-452.1933478889
NCIBLIND10/06-3,-452.1865497804
NCIBLIND10/06-4,-452.1824440152
NCIBLIND10/06-5,-452.1808118165
NCIBLIND10/06-6,-452.1800298797
NCIBLIND10/06-7,-452.1796066613
NCIBLIND10/07-A,-228.9466780334
NCIBLIND10/07-B,-228.9470806055
NCIBLIND10/07-1,-457.8952893393
NCIBLIND10/07-2,-457.8965387634
NCIBLIND10/07-3,-457.895432037
NCIBLIND10/07-4,-457.8943911235
NCIBLIND10/07-5,-457.8940200241
NCIBLIND10/07-6,-457.8938737047
NCIBLIND10/08-A,-436.5069258068
NCIBLIND10/08-B,-436.5069258068
NCIBLIND10/08-1,-872.9958240941
NCIBLIND10/08-2,-873.0106947189
NCIBLIND10/08-3,-873.0162915013
NCIBLIND10/08-4,-873.0152527027
NCIBLIND10/08-5,-873.0147585689
NCIBLIND10/08-6,-873.0145109484
NCIBLIND10/08-7,-873.0144906381
NCIBLIND10/09-A,-244.8953455341
NCIBLIND10/09-B,-244.8952478395
NCIBLIND10/09-1,-489.7886076693
NCIBLIND10/09-2,-489.7954611211
NCIBLIND10/09-3,-489.7948137931
NCIBLIND10/09-4,-489.792777498
NCIBLIND10/09-5,-489.7918492858
NCIBLIND10/09-6,-489.7913837629
NCIBLIND10/09-7,-489.7911259255
NCIBLIND10/10-A,-76.3964640842
NCIBLIND10/10-B,-76.3965189497
NCIBLIND10/10-1,-152.7809435786
NCIBLIND10/10-2,-152.7981503896
NCIBLIND10/10-3,-152.8008105744
NCIBLIND10/10-4,-152.7997968344
NCIBLIND10/10-5,-152.7982497284
NCIBLIND10/10-6,-152.7962438045
NCIBLIND10/10-7,-152.7950910795
NCIBLIND10/10-8,-152.7943984078
NCIBLIND10/10-9,-152.7939798024
NCIBLIND10/10-10,-152.7937126685
NCIBLIND10/10-11,-152.7935351186
NCIBLIND10/10-12,-152.7934139847
NCIBLIND10/10-13,-152.7933292129
NCIBLIND10/10-14,-152.7932665084
NCIBLIND10/10-15,-152.7932192597
NCIBLIND10/10-16,-152.7931828391
