system,SCC-DFTB2/matsci-0-3/dftb+
S66x8/66-125,-19.0822493127
S66x8/66-150,-19.0821450506
S66x8/66-200,-19.0820522818
NCIBLIND10/01-A,-12.4206634093
NCIBLIND10/01-B,-3.1723719223
NCIBLIND10/01-1,-15.5931997573
NCIBLIND10/01-2,-15.5931011606
NCIBLIND10/01-3,-15.5930585316
NCIBLIND10/01-4,-15.5930448693
NCIBLIND10/01-5,-15.5930394736
NCIBLIND10/01-6,-15.5930372826
NCIBLIND10/01-7,-15.5930363264
NCIBLIND10/02-A,-12.4214670329
NCIBLIND10/02-B,-4.0845804464
NCIBLIND10/02-1,-16.5055821025
NCIBLIND10/02-2,-16.5071230791
NCIBLIND10/02-3,-16.5067663625
NCIBLIND10/02-4,-16.5065755457
NCIBLIND10/02-5,-16.5064333374
NCIBLIND10/02-6,-16.5063303355
NCIBLIND10/02-7,-16.5062045255
NCIBLIND10/02-8,-16.5061396507
NCIBLIND10/02-9,-16.5061045743
NCIBLIND10/03-A,-8.9452499172
NCIBLIND10/03-B,-8.9451117603
NCIBLIND10/03-1,-17.8914514854
NCIBLIND10/03-2,-17.8911490384
NCIBLIND10/03-3,-17.8906444013
NCIBLIND10/03-4,-17.8905025605
NCIBLIND10/03-5,-17.8904428274
NCIBLIND10/03-6,-17.8904132068
NCIBLIND10/03-7,-17.8903966794
NCIBLIND10/04-A,-29.1753444845
NCIBLIND10/04-B,-29.1800586687
NCIBLIND10/04-1,-58.3600589294
NCIBLIND10/04-2,-58.3620934612
NCIBLIND10/04-3,-58.3609077983
NCIBLIND10/04-4,-58.3592328067
NCIBLIND10/04-5,-58.357964018
NCIBLIND10/04-6,-58.3570582103
NCIBLIND10/04-7,-58.3564479984
NCIBLIND10/04-8,-58.3560586111
NCIBLIND10/05-A,-28.5524592461
NCIBLIND10/05-B,-28.5519297592
NCIBLIND10/05-1,-57.1206681126
NCIBLIND10/05-2,-57.1208823387
NCIBLIND10/05-3,-57.1149107592
NCIBLIND10/05-4,-57.1113562802
NCIBLIND10/05-5,-57.1092153734
NCIBLIND10/05-6,-57.1078778285
NCIBLIND10/06-A,-11.8271612149
NCIBLIND10/06-B,-11.8264814862
NCIBLIND10/06-1,-23.6549521168
NCIBLIND10/06-2,-23.6601133176
NCIBLIND10/06-3,-23.6562062699
NCIBLIND10/06-4,-23.6550583135
NCIBLIND10/06-5,-23.6545112225
NCIBLIND10/06-6,-23.6542167802
NCIBLIND10/06-7,-23.6540435532
NCIBLIND10/07-A,-11.4728019724
NCIBLIND10/07-B,-11.4719139571
NCIBLIND10/07-1,-22.946243708
NCIBLIND10/07-2,-22.9461708779
NCIBLIND10/07-3,-22.9451871916
NCIBLIND10/07-4,-22.9448810403
NCIBLIND10/07-5,-22.9447706096
NCIBLIND10/07-6,-22.944728369
NCIBLIND10/08-A,-21.292946395
NCIBLIND10/08-B,-21.292946395
NCIBLIND10/08-1,-42.5856711642
NCIBLIND10/08-2,-42.5883341795
NCIBLIND10/08-3,-42.5876153269
NCIBLIND10/08-4,-42.5870669511
NCIBLIND10/08-5,-42.5867540617
NCIBLIND10/08-6,-42.5865470936
NCIBLIND10/08-7,-42.5866183687
NCIBLIND10/09-A,-12.0319853328
NCIBLIND10/09-B,-12.0321536967
NCIBLIND10/09-1,-24.0688071458
NCIBLIND10/09-2,-24.0703398003
NCIBLIND10/09-3,-24.0675483884
NCIBLIND10/09-4,-24.0659966014
NCIBLIND10/09-5,-24.0652410495
NCIBLIND10/09-6,-24.0648411802
NCIBLIND10/09-7,-24.0646122964
NCIBLIND10/10-A,-4.0845019572
NCIBLIND10/10-B,-4.08436452
NCIBLIND10/10-1,-8.1240308898
NCIBLIND10/10-2,-8.1689006938
NCIBLIND10/10-3,-8.1717719681
NCIBLIND10/10-4,-8.1711478657
NCIBLIND10/10-5,-8.1704877257
NCIBLIND10/10-6,-8.1698895305
NCIBLIND10/10-7,-8.169710638
NCIBLIND10/10-8,-8.1695069483
NCIBLIND10/10-9,-8.1693720378
NCIBLIND10/10-10,-8.1692803784
NCIBLIND10/10-11,-8.1692163
NCIBLIND10/10-12,-8.1691702499
NCIBLIND10/10-13,-8.1691366118
NCIBLIND10/10-14,-8.1691109886
NCIBLIND10/10-15,-8.169091318
NCIBLIND10/10-16,-8.1690759585
