system,mPWB1K/def2-QZVP/ORCA
S66x8/66-150,-344.0971362848
S66x8/66-200,-344.0961845937
NCIBLIND10/01-A,-232.2104435916
NCIBLIND10/01-B,-40.4997314542
NCIBLIND10/01-1,-272.7084202991
NCIBLIND10/01-2,-272.7113662578
NCIBLIND10/01-3,-272.7106922366
NCIBLIND10/01-4,-272.7103838999
NCIBLIND10/01-5,-272.7102251214
NCIBLIND10/01-6,-272.7101927786
NCIBLIND10/01-7,-272.7101833402
NCIBLIND10/02-A,-232.2132233201
NCIBLIND10/02-B,-76.4297140047
NCIBLIND10/02-1,-308.6349042039
NCIBLIND10/02-2,-308.6468465631
NCIBLIND10/02-3,-308.647057418
NCIBLIND10/02-4,-308.6458465471
NCIBLIND10/02-5,-308.644836956
NCIBLIND10/02-6,-308.6442057164
NCIBLIND10/02-7,-308.6435582232
NCIBLIND10/02-8,-308.6432801653
NCIBLIND10/02-9,-308.6431502021
NCIBLIND10/03-A,-155.0246132153
NCIBLIND10/03-B,-155.0245910721
NCIBLIND10/03-1,-310.0489348542
NCIBLIND10/03-2,-310.0515382298
NCIBLIND10/03-3,-310.0506832818
NCIBLIND10/03-4,-310.0497343571
NCIBLIND10/03-5,-310.0494338422
NCIBLIND10/03-6,-310.0493238142
NCIBLIND10/03-7,-310.049280345
NCIBLIND10/04-A,-599.4814118462
NCIBLIND10/04-B,-599.4826658588
NCIBLIND10/04-1,-1198.9705469235
NCIBLIND10/04-2,-1198.977042006
NCIBLIND10/04-3,-1198.9740795386
NCIBLIND10/04-4,-1198.9694386535
NCIBLIND10/04-5,-1198.967146862
NCIBLIND10/04-6,-1198.9658788551
NCIBLIND10/04-7,-1198.9651315336
NCIBLIND10/04-8,-1198.9647134352
NCIBLIND10/05-A,-598.3169504457
NCIBLIND10/05-B,-598.3167947209
NCIBLIND10/05-1,-1196.648819518
NCIBLIND10/05-2,-1196.6514100501
NCIBLIND10/05-3,-1196.6454690037
NCIBLIND10/05-4,-1196.6406897723
NCIBLIND10/05-5,-1196.6382954347
NCIBLIND10/05-6,-1196.6369380933
NCIBLIND10/06-A,-226.1984756334
NCIBLIND10/06-B,-226.1998600369
NCIBLIND10/06-1,-452.4059336087
NCIBLIND10/06-2,-452.4124910811
NCIBLIND10/06-3,-452.4061119676
NCIBLIND10/06-4,-452.4020493932
NCIBLIND10/06-5,-452.4003875902
NCIBLIND10/06-6,-452.399600982
NCIBLIND10/06-7,-452.3991816666
NCIBLIND10/07-A,-229.0558531102
NCIBLIND10/07-B,-229.0564447646
NCIBLIND10/07-1,-458.1150675004
NCIBLIND10/07-2,-458.115920842
NCIBLIND10/07-3,-458.114260443
NCIBLIND10/07-4,-458.1130241182
NCIBLIND10/07-5,-458.1125975197
NCIBLIND10/07-6,-458.1124278491
NCIBLIND10/08-A,-436.7200730967
NCIBLIND10/08-B,-436.7200731044
NCIBLIND10/08-1,0
NCIBLIND10/08-2,-873.442681343
NCIBLIND10/08-3,-873.443472719
NCIBLIND10/08-4,-873.4420046398
NCIBLIND10/08-5,-873.4412177149
NCIBLIND10/08-6,-873.4408833519
NCIBLIND10/08-7,-873.4408616558
NCIBLIND10/09-A,-245.0032305406
NCIBLIND10/09-B,-245.0031123001
NCIBLIND10/09-1,-490.0086719604
NCIBLIND10/09-2,-490.0139767433
NCIBLIND10/09-3,-490.0111420026
NCIBLIND10/09-4,-490.0087843545
NCIBLIND10/09-5,-490.0076888782
NCIBLIND10/09-6,-490.0071816109
NCIBLIND10/09-7,-490.0069076149
NCIBLIND10/10-A,-76.4300797196
NCIBLIND10/10-B,-76.4304581584
NCIBLIND10/10-1,-152.8478576219
NCIBLIND10/10-2,-152.8654183219
NCIBLIND10/10-3,-152.8683157275
NCIBLIND10/10-4,-152.8673793546
NCIBLIND10/10-5,-152.8658375969
NCIBLIND10/10-6,-152.8639027021
NCIBLIND10/10-7,-152.8624604905
NCIBLIND10/10-8,-152.8617500252
NCIBLIND10/10-9,-152.8613111818
NCIBLIND10/10-10,-152.8610325856
NCIBLIND10/10-11,-152.8608506769
NCIBLIND10/10-12,-152.8607276388
NCIBLIND10/10-13,-152.8606413927
NCIBLIND10/10-14,-152.8605774187
NCIBLIND10/10-15,-152.860529128
NCIBLIND10/10-16,-152.8604918926
