system,TPSS0/def2-QZVP/ORCA
S66x8/66-150,-344.2608079199
S66x8/66-200,-344.2599350654
NCIBLIND10/01-A,-232.324980149
NCIBLIND10/01-B,-40.5361745938
NCIBLIND10/01-1,-272.857173663
NCIBLIND10/01-2,-272.8609278595
NCIBLIND10/01-3,-272.8614592637
NCIBLIND10/01-4,-272.8612689352
NCIBLIND10/01-5,-272.8611926522
NCIBLIND10/01-6,-272.861170196
NCIBLIND10/01-7,-272.8611622909
NCIBLIND10/02-A,-232.3268180075
NCIBLIND10/02-B,-76.4517698919
NCIBLIND10/02-1,-308.767375922
NCIBLIND10/02-2,-308.780291558
NCIBLIND10/02-3,-308.7814756201
NCIBLIND10/02-4,-308.7809413242
NCIBLIND10/02-5,-308.7802846371
NCIBLIND10/02-6,-308.7797632871
NCIBLIND10/02-7,-308.779159454
NCIBLIND10/02-8,-308.7789109731
NCIBLIND10/02-9,-308.7787887183
NCIBLIND10/03-A,-155.0979364451
NCIBLIND10/03-B,-155.097912485
NCIBLIND10/03-1,-310.1927775315
NCIBLIND10/03-2,-310.1961455758
NCIBLIND10/03-3,-310.1969390461
NCIBLIND10/03-4,-310.1963149179
NCIBLIND10/03-5,-310.1960552583
NCIBLIND10/03-6,-310.1959615577
NCIBLIND10/03-7,-310.1959212732
NCIBLIND10/04-A,-599.6723585955
NCIBLIND10/04-B,-599.6731331664
NCIBLIND10/04-1,-1199.3430588533
NCIBLIND10/04-2,-1199.3513219531
NCIBLIND10/04-3,-1199.3536005481
NCIBLIND10/04-4,-1199.3505166578
NCIBLIND10/04-5,-1199.3484345683
NCIBLIND10/04-6,-1199.3472187661
NCIBLIND10/04-7,-1199.3465156353
NCIBLIND10/04-8,-1199.3461127498
NCIBLIND10/05-A,-598.4939253315
NCIBLIND10/05-B,-598.494013768
NCIBLIND10/05-1,-1197.0015088945
NCIBLIND10/05-2,-1197.0041715079
NCIBLIND10/05-3,-1196.9993156219
NCIBLIND10/05-4,-1196.9947378503
NCIBLIND10/05-5,-1196.9923909158
NCIBLIND10/05-6,-1196.99106522
NCIBLIND10/06-A,-226.2889517941
NCIBLIND10/06-B,-226.2900444841
NCIBLIND10/06-1,-452.58704294
NCIBLIND10/06-2,-452.5934507191
NCIBLIND10/06-3,-452.5867161558
NCIBLIND10/06-4,-452.5826661934
NCIBLIND10/06-5,-452.5810226828
NCIBLIND10/06-6,-452.5802497679
NCIBLIND10/06-7,-452.5798346912
NCIBLIND10/07-A,-229.1368802196
NCIBLIND10/07-B,-229.1373088563
NCIBLIND10/07-1,-458.2753697548
NCIBLIND10/07-2,-458.2766417384
NCIBLIND10/07-3,-458.2759364264
NCIBLIND10/07-4,-458.2748591396
NCIBLIND10/07-5,-458.2744572368
NCIBLIND10/07-6,-458.2743057293
NCIBLIND10/08-A,-436.8808342568
NCIBLIND10/08-B,-436.8808342701
NCIBLIND10/08-1,-873.741116189
NCIBLIND10/08-2,-873.7562408447
NCIBLIND10/08-3,-873.763961943
NCIBLIND10/08-4,-873.763242871
NCIBLIND10/08-5,-873.7626556009
NCIBLIND10/08-6,-873.7623736963
NCIBLIND10/08-7,-873.7622874404
NCIBLIND10/09-A,-245.0864851156
NCIBLIND10/09-B,-245.08639684
NCIBLIND10/09-1,-490.1699868711
NCIBLIND10/09-2,-490.1768435468
NCIBLIND10/09-3,-490.1771427768
NCIBLIND10/09-4,-490.1751224397
NCIBLIND10/09-5,-490.1741509941
NCIBLIND10/09-6,-490.1736772213
NCIBLIND10/09-7,-490.1734172839
NCIBLIND10/10-A,-76.4519757869
NCIBLIND10/10-B,-76.4520925797
NCIBLIND10/10-1,-152.891460137
NCIBLIND10/10-2,-152.9091443561
NCIBLIND10/10-3,-152.911800982
NCIBLIND10/10-4,-152.9107794811
NCIBLIND10/10-5,-152.9092799911
NCIBLIND10/10-6,-152.9073509759
NCIBLIND10/10-7,-152.9061464693
NCIBLIND10/10-8,-152.9054404659
NCIBLIND10/10-9,-152.9050131915
NCIBLIND10/10-10,-152.9047444252
NCIBLIND10/10-11,-152.9045678785
NCIBLIND10/10-12,-152.9044477397
NCIBLIND10/10-13,-152.904363668
NCIBLIND10/10-14,-152.9043014111
NCIBLIND10/10-15,-152.9042544692
NCIBLIND10/10-16,-152.9042182861
