system,revTPSS0/def2-QZVP/ORCA
NCIBLIND10/01-B,-40.5252719423
NCIBLIND10/01-1,-272.7943599265
NCIBLIND10/01-2,-272.7976808368
NCIBLIND10/01-3,-272.7978980541
NCIBLIND10/01-4,-272.7977192335
NCIBLIND10/01-5,-272.797649166
NCIBLIND10/01-6,-272.7976278613
NCIBLIND10/01-7,-272.7976202159
NCIBLIND10/02-A,-232.2741689819
NCIBLIND10/02-B,-76.4254838086
NCIBLIND10/02-1,-308.6896329471
NCIBLIND10/02-2,-308.7020415102
NCIBLIND10/02-3,-308.7027423149
NCIBLIND10/02-4,-308.7019967043
NCIBLIND10/02-5,-308.7013114647
NCIBLIND10/02-6,-308.7008054168
NCIBLIND10/02-7,-308.7002196182
NCIBLIND10/02-8,-308.699973525
NCIBLIND10/02-9,-308.699852098
NCIBLIND10/03-A,-155.0550789086
NCIBLIND10/03-B,-155.0550683094
NCIBLIND10/03-1,-310.1080139587
NCIBLIND10/03-2,-310.1109748018
NCIBLIND10/03-3,-310.1111845967
NCIBLIND10/03-4,-310.1105925175
NCIBLIND10/03-5,-310.1103479318
NCIBLIND10/03-6,-310.1102569731
NCIBLIND10/03-7,-310.110217704
NCIBLIND10/04-A,-599.5126281646
NCIBLIND10/04-B,-599.5137110856
NCIBLIND10/04-1,-1199.0267522539
NCIBLIND10/04-2,-1199.0341441255
NCIBLIND10/04-3,-1199.034520919
NCIBLIND10/04-4,-1199.0312328554
NCIBLIND10/04-5,-1199.0292138563
NCIBLIND10/04-6,-1199.0280355641
NCIBLIND10/04-7,-1199.0273466171
NCIBLIND10/04-8,-1199.0269501688
NCIBLIND10/05-A,-598.331690708
NCIBLIND10/05-B,-598.3317394903
NCIBLIND10/05-1,-1196.6776365751
NCIBLIND10/05-2,0
NCIBLIND10/05-3,-1196.6747259232
NCIBLIND10/05-4,-1196.6701837993
NCIBLIND10/05-5,-1196.6678633447
NCIBLIND10/05-6,-1196.666544938
NCIBLIND10/06-A,-226.234740138
NCIBLIND10/06-B,-226.2357744773
NCIBLIND10/06-1,-452.477791295
NCIBLIND10/06-2,-452.4848070555
NCIBLIND10/06-3,-452.4782077835
NCIBLIND10/06-4,-452.4741589783
NCIBLIND10/06-5,-452.4725334199
NCIBLIND10/06-6,-452.4717646277
NCIBLIND10/06-7,-452.4713509269
NCIBLIND10/07-A,-229.0749417925
NCIBLIND10/07-B,-229.0753526679
NCIBLIND10/07-1,-458.1519018182
NCIBLIND10/07-2,-458.1530348349
NCIBLIND10/07-3,-458.1519909078
NCIBLIND10/07-4,-458.1509503477
NCIBLIND10/07-5,-458.1505595162
NCIBLIND10/07-6,-458.1504100663
NCIBLIND10/08-A,-436.7728460687
NCIBLIND10/08-B,-436.7728460801
NCIBLIND10/08-1,-873.5290904525
NCIBLIND10/08-2,-873.5426799062
NCIBLIND10/08-3,-873.5480153884
NCIBLIND10/08-4,-873.5472243126
NCIBLIND10/08-5,-873.5466677821
NCIBLIND10/08-6,-873.5463909508
NCIBLIND10/08-7,-873.5463114216
NCIBLIND10/09-A,-245.0200371816
NCIBLIND10/09-B,-245.0199448462
NCIBLIND10/09-1,-490.0388457994
NCIBLIND10/09-2,-490.0448400213
NCIBLIND10/09-3,-490.0441506272
NCIBLIND10/09-4,-490.0421834754
NCIBLIND10/09-5,-490.0412353923
NCIBLIND10/09-6,-490.0407680542
NCIBLIND10/09-7,-490.0405112223
NCIBLIND10/10-A,-76.4256641959
NCIBLIND10/10-B,-76.4257467474
NCIBLIND10/10-1,-152.8380626052
NCIBLIND10/10-2,-152.8563476936
NCIBLIND10/10-3,-152.8592148452
NCIBLIND10/10-4,-152.8581761455
NCIBLIND10/10-5,-152.8566114151
NCIBLIND10/10-6,-152.8546411957
NCIBLIND10/10-7,-152.8534789023
NCIBLIND10/10-8,-152.8527895952
NCIBLIND10/10-9,-152.8523704964
NCIBLIND10/10-10,-152.8521053546
NCIBLIND10/10-11,-152.8519306556
NCIBLIND10/10-12,-152.8518116191
NCIBLIND10/10-13,-152.8517282996
NCIBLIND10/10-14,-152.8516666055
NCIBLIND10/10-15,-152.8516200944
NCIBLIND10/10-16,-152.8515842473
