system,PWRB95/def2-QZVP/Turbomole
NCIBLIND10/01-1,-273.2637967301
NCIBLIND10/01-2,-273.2665285756
NCIBLIND10/01-3,-273.2656706331
NCIBLIND10/01-4,-273.2651531342
NCIBLIND10/01-5,-273.2649754211
NCIBLIND10/01-6,-273.2649217536
NCIBLIND10/01-7,-273.2649092301
NCIBLIND10/02-A,-232.6596000985
NCIBLIND10/02-B,-76.5584862198
NCIBLIND10/02-1,-309.2101337019
NCIBLIND10/02-2,-309.2223975927
NCIBLIND10/02-3,-309.2226110383
NCIBLIND10/02-4,-309.2212154455
NCIBLIND10/02-5,-309.2201103747
NCIBLIND10/02-6,-309.2192739861
NCIBLIND10/02-7,-307.6571653218
NCIBLIND10/02-8,-309.2184085935
NCIBLIND10/02-9,-309.2182825179
NCIBLIND10/03-A,-155.3223877473
NCIBLIND10/03-B,-155.322383272
NCIBLIND10/03-1,-310.6456465562
NCIBLIND10/03-2,-310.6481999414
NCIBLIND10/03-3,-310.6467140901
NCIBLIND10/03-4,-310.645490537
NCIBLIND10/03-5,-310.6450301289
NCIBLIND10/03-6,-310.6449029913
NCIBLIND10/03-7,-310.6448522755
NCIBLIND10/04-A,-600.4593672376
NCIBLIND10/04-B,-600.4605494809
NCIBLIND10/04-1,-1200.9291530939
NCIBLIND10/04-2,-1200.9355521807
NCIBLIND10/04-3,-1200.9317010688
NCIBLIND10/04-4,-1200.9259747217
NCIBLIND10/04-5,-1200.9231701691
NCIBLIND10/04-6,-1200.9217497087
NCIBLIND10/04-7,-1200.9209679868
NCIBLIND10/04-8,-1200.9205471044
NCIBLIND10/05-A,-599.274873008
NCIBLIND10/05-B,-599.2748416197
NCIBLIND10/05-1,-1198.565739164
NCIBLIND10/05-2,-1198.5683586129
NCIBLIND10/05-3,-1198.561731724
NCIBLIND10/05-4,-1198.5565576516
NCIBLIND10/05-5,-1198.5540978965
NCIBLIND10/05-6,-1198.5527787452
NCIBLIND10/06-A,-226.6045520299
NCIBLIND10/06-B,-226.6055196335
NCIBLIND10/06-1,-453.2182412795
NCIBLIND10/06-2,-453.2248376639
NCIBLIND10/06-3,-453.2181651449
NCIBLIND10/06-4,-453.2138439913
NCIBLIND10/06-5,-453.2121205541
NCIBLIND10/06-6,-453.2113252826
NCIBLIND10/06-7,-453.2109096507
NCIBLIND10/07-A,-229.4418656196
NCIBLIND10/07-B,-229.4421914665
NCIBLIND10/07-1,-458.8873418309
NCIBLIND10/07-2,-458.8882613131
NCIBLIND10/07-3,-458.8861554858
NCIBLIND10/07-4,-458.8848419011
NCIBLIND10/07-5,-458.8843458888
NCIBLIND10/07-6,-458.8841810849
NCIBLIND10/08-A,-437.466519344
NCIBLIND10/08-B,-437.466519344
NCIBLIND10/08-1,-874.9279665267
NCIBLIND10/08-2,-874.9394979603
NCIBLIND10/08-3,-874.9386738574
NCIBLIND10/08-4,-874.9353942364
NCIBLIND10/08-5,-874.9341948285
NCIBLIND10/08-6,-874.9337723933
NCIBLIND10/08-7,-874.9336152684
NCIBLIND10/09-A,-245.4089349495
NCIBLIND10/09-B,-245.4088762483
NCIBLIND10/09-1,-490.8204650754
NCIBLIND10/09-2,-490.8260274344
NCIBLIND10/09-3,-490.8228876817
NCIBLIND10/09-4,-490.8202021767
NCIBLIND10/09-5,-490.8190702139
NCIBLIND10/09-6,-490.818585223
NCIBLIND10/09-7,-490.8183284305
NCIBLIND10/10-A,-76.5586487608
NCIBLIND10/10-B,-76.5587146329
NCIBLIND10/10-1,-153.1039011583
NCIBLIND10/10-2,-153.1219907266
NCIBLIND10/10-3,-153.1251014901
NCIBLIND10/10-4,-153.1242440368
NCIBLIND10/10-5,-153.1227191821
NCIBLIND10/10-6,-153.1206802214
NCIBLIND10/10-7,-153.119486173
NCIBLIND10/10-8,-153.1187603854
NCIBLIND10/10-9,-153.1183232829
NCIBLIND10/10-10,-153.1180562623
NCIBLIND10/10-11,-153.1178853114
NCIBLIND10/10-12,-153.1177689349
NCIBLIND10/10-13,-153.1176871635
NCIBLIND10/10-14,-153.1176260326
NCIBLIND10/10-15,-153.1175800518
NCIBLIND10/10-16,-153.1175446691
