system,DODSVWN/def2-QZVP/ORCA
S66x8/66-125,-342.6260224804
S66x8/66-150,-342.6244757231
S66x8/66-200,-342.6231842096
NCIBLIND10/01-A,-231.1698294638
NCIBLIND10/01-B,-40.3127092737
NCIBLIND10/01-1,-271.4811239982
NCIBLIND10/01-2,-271.4839980875
NCIBLIND10/01-3,-271.4832135943
NCIBLIND10/01-4,-271.4827481546
NCIBLIND10/01-5,-271.482614266
NCIBLIND10/01-6,-271.4825710367
NCIBLIND10/01-7,-271.4825545053
NCIBLIND10/02-A,-231.1711489844
NCIBLIND10/02-B,-76.1739412508
NCIBLIND10/02-1,-307.3359695442
NCIBLIND10/02-2,-307.3489882286
NCIBLIND10/02-3,-307.3493372779
NCIBLIND10/02-4,-307.3480603497
NCIBLIND10/02-5,-307.3470464262
NCIBLIND10/02-6,-307.3463889858
NCIBLIND10/02-7,-307.3457104962
NCIBLIND10/02-8,-307.3454357773
NCIBLIND10/02-9,-307.3453024206
NCIBLIND10/03-A,-154.4123592606
NCIBLIND10/03-B,-154.4123373136
NCIBLIND10/03-1,-308.8253222502
NCIBLIND10/03-2,-308.8278446129
NCIBLIND10/03-3,-308.8263565481
NCIBLIND10/03-4,-308.8252981001
NCIBLIND10/03-5,-308.8249596741
NCIBLIND10/03-6,-308.8248353446
NCIBLIND10/03-7,-308.8247821063
NCIBLIND10/04-A,-597.3162198915
NCIBLIND10/04-B,-597.3176035971
NCIBLIND10/04-1,-1194.641706733
NCIBLIND10/04-2,-1194.6484754521
NCIBLIND10/04-3,-1194.6451138443
NCIBLIND10/04-4,-1194.6396995201
NCIBLIND10/04-5,-1194.6370150797
NCIBLIND10/04-6,-1194.6356366322
NCIBLIND10/04-7,-1194.6348817632
NCIBLIND10/04-8,-1194.6344585785
NCIBLIND10/05-A,-596.1609930941
NCIBLIND10/05-B,-596.160972805
NCIBLIND10/05-1,-1192.3384520744
NCIBLIND10/05-2,-1192.340785826
NCIBLIND10/05-3,-1192.3336834545
NCIBLIND10/05-4,-1192.3286475284
NCIBLIND10/05-5,-1192.3262815759
NCIBLIND10/05-6,-1192.3249719146
NCIBLIND10/06-A,-225.2611251335
NCIBLIND10/06-B,-225.2620202752
NCIBLIND10/06-1,-450.5327077963
NCIBLIND10/06-2,-450.5390731908
NCIBLIND10/06-3,-450.5315958786
NCIBLIND10/06-4,-450.5270514063
NCIBLIND10/06-5,-450.5252905508
NCIBLIND10/06-6,-450.5244645265
NCIBLIND10/06-7,-450.5240232371
NCIBLIND10/07-A,-228.2074850085
NCIBLIND10/07-B,-228.2078541653
NCIBLIND10/07-1,-456.4188174017
NCIBLIND10/07-2,-456.4197330359
NCIBLIND10/07-3,-456.4174312714
NCIBLIND10/07-4,-456.4160912906
NCIBLIND10/07-5,-456.4156417445
NCIBLIND10/07-6,-456.4154715033
NCIBLIND10/08-A,-434.9916936488
NCIBLIND10/08-B,-434.9916936483
NCIBLIND10/08-1,-869.9766817417
NCIBLIND10/08-2,-869.9892549451
NCIBLIND10/08-3,-869.9887018812
NCIBLIND10/08-4,-869.9856251142
NCIBLIND10/08-5,-869.984543112
NCIBLIND10/08-6,-869.9841181335
NCIBLIND10/08-7,-869.983965584
NCIBLIND10/09-A,-244.1289072191
NCIBLIND10/09-B,-244.128844431
NCIBLIND10/09-1,-488.2600440535
NCIBLIND10/09-2,-488.2657440797
NCIBLIND10/09-3,-488.2626222842
NCIBLIND10/09-4,-488.2600494032
NCIBLIND10/09-5,-488.259017214
NCIBLIND10/09-6,-488.2585317089
NCIBLIND10/09-7,-488.2582711817
NCIBLIND10/10-A,-76.1740876248
NCIBLIND10/10-B,-76.174103851
NCIBLIND10/10-1,-152.3361455462
NCIBLIND10/10-2,-152.3539180022
NCIBLIND10/10-3,-152.356686623
NCIBLIND10/10-4,-152.3555420868
NCIBLIND10/10-5,-152.3538146717
NCIBLIND10/10-6,-152.35159758
NCIBLIND10/10-7,-152.3503869115
NCIBLIND10/10-8,-152.3496644955
NCIBLIND10/10-9,-152.3492334106
NCIBLIND10/10-10,-152.3489611559
NCIBLIND10/10-11,-152.3487811878
NCIBLIND10/10-12,-152.3486580912
NCIBLIND10/10-13,-152.3485717716
NCIBLIND10/10-14,-152.3485078653
NCIBLIND10/10-15,-152.3484597379
NCIBLIND10/10-16,-152.3484226891
