system,B1LYP/def2-QZVP/ORCA
S66x8/66-150,-344.1124897238
S66x8/66-200,-344.1119589628
NCIBLIND10/01-A,-232.2161468393
NCIBLIND10/01-B,-40.5041691828
NCIBLIND10/01-1,-272.7142926938
NCIBLIND10/01-2,-272.7192685189
NCIBLIND10/01-3,-272.7201948689
NCIBLIND10/01-4,-272.7202614803
NCIBLIND10/01-5,-272.7203138858
NCIBLIND10/01-6,-272.7203218582
NCIBLIND10/01-7,-272.7203202768
NCIBLIND10/02-A,-232.2176234735
NCIBLIND10/02-B,-76.4411458594
NCIBLIND10/02-1,-308.6433425895
NCIBLIND10/02-2,-308.6591240238
NCIBLIND10/02-3,-308.6609958741
NCIBLIND10/02-4,-308.6605526648
NCIBLIND10/02-5,-308.6600288049
NCIBLIND10/02-6,-308.6596919082
NCIBLIND10/02-7,-308.6592744603
NCIBLIND10/02-8,-308.6590705455
NCIBLIND10/02-9,-308.6589591069
NCIBLIND10/03-A,-155.0362509492
NCIBLIND10/03-B,-155.0361933378
NCIBLIND10/03-1,-310.0684051844
NCIBLIND10/03-2,-310.0722406472
NCIBLIND10/03-3,-310.0729734579
NCIBLIND10/03-4,-310.0727024852
NCIBLIND10/03-5,-310.0726161056
NCIBLIND10/03-6,-310.0725548556
NCIBLIND10/03-7,-310.0725194284
NCIBLIND10/04-A,-599.5470403389
NCIBLIND10/04-B,-599.5478011489
NCIBLIND10/04-1,-1199.0893060519
NCIBLIND10/04-2,-1199.099463667
NCIBLIND10/04-3,-1199.1022401687
NCIBLIND10/04-4,-1199.0992388113
NCIBLIND10/04-5,-1199.0975376104
NCIBLIND10/04-6,-1199.0965199121
NCIBLIND10/04-7,-1199.0958786088
NCIBLIND10/04-8,-1199.0954817984
NCIBLIND10/05-A,-598.3848391324
NCIBLIND10/05-B,-598.3849188037
NCIBLIND10/05-1,-1196.7822697966
NCIBLIND10/05-2,-1196.7855892361
NCIBLIND10/05-3,-1196.780802544
NCIBLIND10/05-4,-1196.7763936707
NCIBLIND10/05-5,-1196.7741991647
NCIBLIND10/05-6,-1196.7728954054
NCIBLIND10/06-A,-226.2070578798
NCIBLIND10/06-B,-226.2081159829
NCIBLIND10/06-1,-452.42126495
NCIBLIND10/06-2,-452.4285795507
NCIBLIND10/06-3,-452.4227146964
NCIBLIND10/06-4,-452.4187086934
NCIBLIND10/06-5,-452.4171717678
NCIBLIND10/06-6,-452.4164253156
NCIBLIND10/06-7,-452.4160124353
NCIBLIND10/07-A,-229.0802846563
NCIBLIND10/07-B,-229.0806520046
NCIBLIND10/07-1,-458.1616402412
NCIBLIND10/07-2,-458.1630705089
NCIBLIND10/07-3,-458.1622577176
NCIBLIND10/07-4,-458.1614655116
NCIBLIND10/07-5,-458.1611788103
NCIBLIND10/07-6,-458.1610486487
NCIBLIND10/08-A,-436.753882149
NCIBLIND10/08-B,-436.7538831827
NCIBLIND10/08-1,-873.4793305567
NCIBLIND10/08-2,-873.4986930511
NCIBLIND10/08-3,-873.5088441631
NCIBLIND10/08-4,-873.5088332862
NCIBLIND10/08-5,-873.508642574
NCIBLIND10/08-6,-873.5084559459
NCIBLIND10/08-7,-873.5083595281
NCIBLIND10/09-A,-245.0369476036
NCIBLIND10/09-B,-245.0368930476
NCIBLIND10/09-1,-490.0691948295
NCIBLIND10/09-2,-490.0774649468
NCIBLIND10/09-3,-490.0776106083
NCIBLIND10/09-4,-490.0758993979
NCIBLIND10/09-5,-490.0750920514
NCIBLIND10/09-6,-490.0746412343
NCIBLIND10/09-7,-490.0743814331
NCIBLIND10/10-A,-76.4412881675
NCIBLIND10/10-B,-76.4413377142
NCIBLIND10/10-1,-152.8684793601
NCIBLIND10/10-2,-152.8869717378
NCIBLIND10/10-3,-152.8901960395
NCIBLIND10/10-4,-152.8893293265
NCIBLIND10/10-5,-152.8877731996
NCIBLIND10/10-6,-152.8857479351
NCIBLIND10/10-7,-152.8846573416
NCIBLIND10/10-8,-152.8840119139
NCIBLIND10/10-9,-152.8836268325
NCIBLIND10/10-10,-152.883377553
NCIBLIND10/10-11,-152.8832069253
NCIBLIND10/10-12,-152.8830880578
NCIBLIND10/10-13,-152.883004016
NCIBLIND10/10-14,-152.8829420023
NCIBLIND10/10-15,-152.8828947371
NCIBLIND10/10-16,-152.8828583652
