system,DODPBEB95/def2-QZVP/ORCA
S66x8/66-150,-343.7170342104
S66x8/66-200,-343.7157672048
NCIBLIND10/01-A,-231.9380204843
NCIBLIND10/01-B,-40.4530132286
NCIBLIND10/01-1,-272.3896999751
NCIBLIND10/01-2,-272.3926668213
NCIBLIND10/01-3,-272.3917788533
NCIBLIND10/01-4,-272.3912758271
NCIBLIND10/01-5,-272.3911014929
NCIBLIND10/01-6,-272.3910624563
NCIBLIND10/01-7,-272.3910477254
NCIBLIND10/02-A,-231.9396302495
NCIBLIND10/02-B,-76.3681702752
NCIBLIND10/02-1,-308.2987635093
NCIBLIND10/02-2,-308.311783532
NCIBLIND10/02-3,-308.3122005704
NCIBLIND10/02-4,-308.3109159452
NCIBLIND10/02-5,-308.3098056977
NCIBLIND10/02-6,-308.3090899191
NCIBLIND10/02-7,-308.3084084553
NCIBLIND10/02-8,-308.308140148
NCIBLIND10/02-9,-308.3080078707
NCIBLIND10/03-A,-154.8698124928
NCIBLIND10/03-B,-154.8698034306
NCIBLIND10/03-1,-309.7398212734
NCIBLIND10/03-2,-309.7426651951
NCIBLIND10/03-3,-309.7414014942
NCIBLIND10/03-4,-309.7402252718
NCIBLIND10/03-5,-309.7398698639
NCIBLIND10/03-6,-309.739750512
NCIBLIND10/03-7,-309.7397000006
NCIBLIND10/04-A,-598.9460717891
NCIBLIND10/04-B,-598.9474084771
NCIBLIND10/04-1,-1197.9009592146
NCIBLIND10/04-2,-1197.9080166308
NCIBLIND10/04-3,-1197.9048745484
NCIBLIND10/04-4,-1197.8993221331
NCIBLIND10/04-5,-1197.8966350229
NCIBLIND10/04-6,-1197.89527293
NCIBLIND10/04-7,-1197.8945239258
NCIBLIND10/04-8,-1197.8941072981
NCIBLIND10/05-A,-597.7825617221
NCIBLIND10/05-B,-597.7824126916
NCIBLIND10/05-1,-1195.5800705073
NCIBLIND10/05-2,-1195.582868054
NCIBLIND10/05-3,-1195.5766531987
NCIBLIND10/05-4,-1195.5716434465
NCIBLIND10/05-5,-1195.5692858492
NCIBLIND10/05-6,-1195.5679829467
NCIBLIND10/06-A,-225.9575836933
NCIBLIND10/06-B,-225.9585803301
NCIBLIND10/06-1,-451.923879232
NCIBLIND10/06-2,-451.9308177363
NCIBLIND10/06-3,-451.9243370839
NCIBLIND10/06-4,-451.91998228
NCIBLIND10/06-5,-451.9182573873
NCIBLIND10/06-6,-451.9174523646
NCIBLIND10/06-7,-451.9170220166
NCIBLIND10/07-A,-228.8441030552
NCIBLIND10/07-B,-228.8444830669
NCIBLIND10/07-1,-457.6915919099
NCIBLIND10/07-2,-457.6926299249
NCIBLIND10/07-3,-457.6906942194
NCIBLIND10/07-4,-457.6893281002
NCIBLIND10/07-5,-457.6888807556
NCIBLIND10/07-6,-457.688714349
NCIBLIND10/08-A,-436.2819175368
NCIBLIND10/08-B,-436.2819175411
NCIBLIND10/08-1,-872.5581803318
NCIBLIND10/08-2,-872.5701171894
NCIBLIND10/08-3,-872.5691021788
NCIBLIND10/08-4,-872.5660883321
NCIBLIND10/08-5,-872.5649602359
NCIBLIND10/08-6,-872.564556035
NCIBLIND10/08-7,-872.5644033028
NCIBLIND10/09-A,-244.7910927744
NCIBLIND10/09-B,-244.7910302334
NCIBLIND10/09-1,-489.5842814361
NCIBLIND10/09-2,-489.5901025172
NCIBLIND10/09-3,-489.5870762246
NCIBLIND10/09-4,-489.5844429686
NCIBLIND10/09-5,-489.5833831545
NCIBLIND10/09-6,-489.5829015838
NCIBLIND10/09-7,-489.5826425502
NCIBLIND10/10-A,-76.3683744111
NCIBLIND10/10-B,-76.3685025248
NCIBLIND10/10-1,-152.7228420142
NCIBLIND10/10-2,-152.7412984442
NCIBLIND10/10-3,-152.7446183241
NCIBLIND10/10-4,-152.7438292628
NCIBLIND10/10-5,-152.742296816
NCIBLIND10/10-6,-152.740250329
NCIBLIND10/10-7,-152.738960798
NCIBLIND10/10-8,-152.7382429536
NCIBLIND10/10-9,-152.737814702
NCIBLIND10/10-10,-152.7375458263
NCIBLIND10/10-11,-152.7373687144
NCIBLIND10/10-12,-152.7372476639
NCIBLIND10/10-13,-152.7371627977
NCIBLIND10/10-14,-152.7370999701
NCIBLIND10/10-15,-152.7370526486
NCIBLIND10/10-16,-152.7370162147
