system,DFTB3/3ob-3-1/dftb+
S66x8/66-200,-18.7982282317
NCIBLIND10/01-A,-12.5117172677
NCIBLIND10/01-B,-3.2295035971
NCIBLIND10/01-1,-15.7392869703
NCIBLIND10/01-2,-15.7413797201
NCIBLIND10/01-3,-15.7412766466
NCIBLIND10/01-4,-15.7412436172
NCIBLIND10/01-5,-15.7412309354
NCIBLIND10/01-6,-15.7412256594
NCIBLIND10/01-7,-15.7412233151
NCIBLIND10/02-A,-12.5124571459
NCIBLIND10/02-B,-4.0633951908
NCIBLIND10/02-1,-16.5701700221
NCIBLIND10/02-2,-16.5778714613
NCIBLIND10/02-3,-16.577392966
NCIBLIND10/02-4,-16.576869528
NCIBLIND10/02-5,-16.5765806174
NCIBLIND10/02-6,-16.5763853028
NCIBLIND10/02-7,-16.57614814
NCIBLIND10/02-8,-16.5760259246
NCIBLIND10/02-9,-16.5759598417
NCIBLIND10/03-A,-8.9919436063
NCIBLIND10/03-B,-8.9917220618
NCIBLIND10/03-1,-17.9836167264
NCIBLIND10/03-2,-17.9849706958
NCIBLIND10/03-3,-17.9841887736
NCIBLIND10/03-4,-17.9839148083
NCIBLIND10/03-5,-17.9838078453
NCIBLIND10/03-6,-17.9837556667
NCIBLIND10/03-7,-17.9837267498
NCIBLIND10/04-A,-28.1881676268
NCIBLIND10/04-B,-28.1891247937
NCIBLIND10/04-1,-56.3807903918
NCIBLIND10/04-2,-56.3867743771
NCIBLIND10/04-3,-56.3854432863
NCIBLIND10/04-4,-56.3825709262
NCIBLIND10/04-5,-56.3806516852
NCIBLIND10/04-6,-56.379385334
NCIBLIND10/04-7,-56.378581641
NCIBLIND10/04-8,-56.3780883662
NCIBLIND10/05-A,-27.5072707398
NCIBLIND10/05-B,-27.5087022293
NCIBLIND10/05-1,-55.0300791353
NCIBLIND10/05-2,-55.0328923986
NCIBLIND10/05-3,-55.027112025
NCIBLIND10/05-4,-55.0232185725
NCIBLIND10/05-5,-55.0209682567
NCIBLIND10/05-6,-55.0195743887
NCIBLIND10/06-A,-11.4078919602
NCIBLIND10/06-B,-11.4082445616
NCIBLIND10/06-1,-22.8075287748
NCIBLIND10/06-2,-22.8218721368
NCIBLIND10/06-3,-22.8196366061
NCIBLIND10/06-4,-22.8179920742
NCIBLIND10/06-5,-22.8172688642
NCIBLIND10/06-6,-22.8168814018
NCIBLIND10/06-7,-22.8166546706
NCIBLIND10/07-A,-11.5430949085
NCIBLIND10/07-B,-11.542833748
NCIBLIND10/07-1,-23.087749759
NCIBLIND10/07-2,-23.0883797838
NCIBLIND10/07-3,-23.0868833858
NCIBLIND10/07-4,-23.0862889136
NCIBLIND10/07-5,-23.0860715317
NCIBLIND10/07-6,-23.0859840373
NCIBLIND10/08-A,-21.0337854542
NCIBLIND10/08-B,-21.0337854542
NCIBLIND10/08-1,-42.0626172606
NCIBLIND10/08-2,-42.0695686811
NCIBLIND10/08-3,-42.0698645338
NCIBLIND10/08-4,-42.0691162439
NCIBLIND10/08-5,-42.068689196
NCIBLIND10/08-6,-42.0684111813
NCIBLIND10/08-7,-42.0683328027
NCIBLIND10/09-A,-11.7378657984
NCIBLIND10/09-B,-11.7378861821
NCIBLIND10/09-1,-23.4810793673
NCIBLIND10/09-2,-23.4835914494
NCIBLIND10/09-3,-23.4801171336
NCIBLIND10/09-4,-23.4781365688
NCIBLIND10/09-5,-23.4771740552
NCIBLIND10/09-6,-23.4766622628
NCIBLIND10/09-7,-23.4763679094
NCIBLIND10/10-A,-4.0635686873
NCIBLIND10/10-B,-4.0635096294
NCIBLIND10/10-1,-8.1076511153
NCIBLIND10/10-2,-8.1286745792
NCIBLIND10/10-3,-8.132587122
NCIBLIND10/10-4,-8.1317186079
NCIBLIND10/10-5,-8.1304443378
NCIBLIND10/10-6,-8.1291486673
NCIBLIND10/10-7,-8.1286246319
NCIBLIND10/10-8,-8.128217725
NCIBLIND10/10-9,-8.1279498676
NCIBLIND10/10-10,-8.1277680528
NCIBLIND10/10-11,-8.1276409974
NCIBLIND10/10-12,-8.1275497166
NCIBLIND10/10-13,-8.1274830522
NCIBLIND10/10-14,-8.1274322719
NCIBLIND10/10-15,-8.127393294
NCIBLIND10/10-16,-8.1273628706
