system,OPBE/def2-QZVP/ORCA
S66x8/66-200,-344.1431568326
NCIBLIND10/01-A,-232.2406088365
NCIBLIND10/01-B,-40.5200954131
NCIBLIND10/01-1,-272.7499495109
NCIBLIND10/01-2,-272.7572224179
NCIBLIND10/01-3,-272.7605993246
NCIBLIND10/01-4,-272.7607972345
NCIBLIND10/01-5,-272.7607456901
NCIBLIND10/01-6,-272.760718971
NCIBLIND10/01-7,-272.7607107813
NCIBLIND10/02-A,-232.2414334323
NCIBLIND10/02-B,-76.4341338159
NCIBLIND10/02-1,-308.6545702687
NCIBLIND10/02-2,-308.6709321852
NCIBLIND10/02-3,-308.6756966234
NCIBLIND10/02-4,-308.6769512543
NCIBLIND10/02-5,-308.6769797494
NCIBLIND10/02-6,-308.6766730531
NCIBLIND10/02-7,-308.6761023687
NCIBLIND10/02-8,-308.6758616643
NCIBLIND10/02-9,-308.6757494123
NCIBLIND10/03-A,-155.0432729283
NCIBLIND10/03-B,-155.0432111919
NCIBLIND10/03-1,-310.072824788
NCIBLIND10/03-2,-310.0801277288
NCIBLIND10/03-3,-310.0867076957
NCIBLIND10/03-4,-310.0868997709
NCIBLIND10/03-5,-310.0866778179
NCIBLIND10/03-6,-310.086581065
NCIBLIND10/03-7,-310.0865447724
NCIBLIND10/04-A,-599.5379102409
NCIBLIND10/04-B,-599.5381735076
NCIBLIND10/04-1,-1199.0477052849
NCIBLIND10/04-2,-1199.0627901404
NCIBLIND10/04-3,-1199.0793487311
NCIBLIND10/04-4,-1199.0801571002
NCIBLIND10/04-5,-1199.078844829
NCIBLIND10/04-6,-1199.0777314785
NCIBLIND10/04-7,-1199.0770453053
NCIBLIND10/04-8,-1199.0766622158
NCIBLIND10/05-A,-598.3599093225
NCIBLIND10/05-B,-598.3601120019
NCIBLIND10/05-1,-1196.7218327898
NCIBLIND10/05-2,-1196.7270439102
NCIBLIND10/05-3,-1196.729848455
NCIBLIND10/05-4,-1196.7264622753
NCIBLIND10/05-5,-1196.7242382452
NCIBLIND10/05-6,-1196.7229578997
NCIBLIND10/06-A,-226.2256227667
NCIBLIND10/06-B,-226.2262518926
NCIBLIND10/06-1,-452.4546502731
NCIBLIND10/06-2,-452.4611385092
NCIBLIND10/06-3,-452.4583516215
NCIBLIND10/06-4,-452.4553224584
NCIBLIND10/06-5,-452.453802978
NCIBLIND10/06-6,-452.4530531717
NCIBLIND10/06-7,-452.4526568398
NCIBLIND10/07-A,-229.0619783643
NCIBLIND10/07-B,-229.0622841168
NCIBLIND10/07-1,-458.1176725029
NCIBLIND10/07-2,-458.1210831862
NCIBLIND10/07-3,-458.1252268766
NCIBLIND10/07-4,-458.1248215287
NCIBLIND10/07-5,-458.1244790393
NCIBLIND10/07-6,-458.1243437397
NCIBLIND10/08-A,-436.7581887731
NCIBLIND10/08-B,-436.7581887731
NCIBLIND10/08-1,-873.4707454676
NCIBLIND10/08-2,-873.4939108113
NCIBLIND10/08-3,-873.5163426254
NCIBLIND10/08-4,-873.5176997958
NCIBLIND10/08-5,-873.5172578733
NCIBLIND10/08-6,-873.5169957209
NCIBLIND10/08-7,-873.5169480604
NCIBLIND10/09-A,-245.0327692139
NCIBLIND10/09-B,-245.0326755784
NCIBLIND10/09-1,-490.0467560956
NCIBLIND10/09-2,-490.0594558681
NCIBLIND10/09-3,-490.0683274656
NCIBLIND10/09-4,-490.0674210277
NCIBLIND10/09-5,-490.0665554875
NCIBLIND10/09-6,-490.0661279816
NCIBLIND10/09-7,-490.065902989
NCIBLIND10/10-A,-76.4342110587
NCIBLIND10/10-B,-76.4342356753
NCIBLIND10/10-1,-152.8501482841
NCIBLIND10/10-2,-152.8678131673
NCIBLIND10/10-3,-152.8719588583
NCIBLIND10/10-4,-152.8725633317
NCIBLIND10/10-5,-152.8722526928
NCIBLIND10/10-6,-152.8713081356
NCIBLIND10/10-7,-152.8705059945
NCIBLIND10/10-8,-152.8698709194
NCIBLIND10/10-9,-152.8694467909
NCIBLIND10/10-10,-152.8691733484
NCIBLIND10/10-11,-152.8689956269
NCIBLIND10/10-12,-152.8688785423
NCIBLIND10/10-13,-152.8687987036
NCIBLIND10/10-14,-152.8687403224
NCIBLIND10/10-15,-152.8686965178
NCIBLIND10/10-16,-152.8686628112
