system,TPSSh/def2-QZVP/TM
S66x8/66-200,-344.3147688743
NCIBLIND10/01-A,-232.3618829766
NCIBLIND10/01-B,-40.5409706861
NCIBLIND10/01-1,-272.8985031499
NCIBLIND10/01-2,-272.9024440532
NCIBLIND10/01-3,-272.9031583352
NCIBLIND10/01-4,-272.9029665457
NCIBLIND10/01-5,-272.9028879277
NCIBLIND10/01-6,-272.9028663299
NCIBLIND10/01-7,-272.9028595026
NCIBLIND10/02-A,-232.3630880638
NCIBLIND10/02-B,-76.4643635772
NCIBLIND10/02-1,-308.8157666068
NCIBLIND10/02-2,-308.8288219411
NCIBLIND10/02-3,-308.8301919662
NCIBLIND10/02-4,-308.829756594
NCIBLIND10/02-5,-308.8291209562
NCIBLIND10/02-6,-308.8285969617
NCIBLIND10/02-7,-308.8279893094
NCIBLIND10/02-8,-308.8277514015
NCIBLIND10/02-9,-308.8276377653
NCIBLIND10/03-A,-155.120842815
NCIBLIND10/03-B,-155.1208237559
NCIBLIND10/03-1,-310.2381931773
NCIBLIND10/03-2,-310.2417277561
NCIBLIND10/03-3,-310.2427831989
NCIBLIND10/03-4,-310.2421500324
NCIBLIND10/03-5,-310.2418720029
NCIBLIND10/03-6,-310.2417759425
NCIBLIND10/03-7,-310.2417367735
NCIBLIND10/04-A,-599.7970120804
NCIBLIND10/04-B,-599.7974834503
NCIBLIND10/04-1,-1199.590794194
NCIBLIND10/04-2,-1199.599260868
NCIBLIND10/04-3,-1199.602345904
NCIBLIND10/04-4,-1199.59947456
NCIBLIND10/04-5,-1199.597414524
NCIBLIND10/04-6,-1199.596195294
NCIBLIND10/04-7,-1199.595497225
NCIBLIND10/04-8,-1199.595102719
NCIBLIND10/05-A,-598.6216466194
NCIBLIND10/05-B,-598.6218667969
NCIBLIND10/05-1,-1197.256500381
NCIBLIND10/05-2,-1197.259253847
NCIBLIND10/05-3,-1197.254746316
NCIBLIND10/05-4,-1197.250209047
NCIBLIND10/05-5,-1197.247875209
NCIBLIND10/05-6,-1197.24656745
NCIBLIND10/06-A,-226.3295237
NCIBLIND10/06-B,-226.3303704368
NCIBLIND10/06-1,-452.6674881283
NCIBLIND10/06-2,-452.6741146335
NCIBLIND10/06-3,-452.6675567361
NCIBLIND10/06-4,-452.6635282018
NCIBLIND10/06-5,-452.6618889593
NCIBLIND10/06-6,-452.6611225016
NCIBLIND10/06-7,-452.6607141184
NCIBLIND10/07-A,-229.1788706016
NCIBLIND10/07-B,-229.1791398111
NCIBLIND10/07-1,-458.3586382566
NCIBLIND10/07-2,-458.3600685963
NCIBLIND10/07-3,-458.3596935166
NCIBLIND10/07-4,-458.3586540215
NCIBLIND10/07-5,-458.3582585448
NCIBLIND10/07-6,-458.3581135176
NCIBLIND10/08-A,-436.9661285584
NCIBLIND10/08-B,-436.9661285584
NCIBLIND10/08-1,-873.9105220592
NCIBLIND10/08-2,-873.9259007109
NCIBLIND10/08-3,-873.9345131632
NCIBLIND10/08-4,-873.9338283925
NCIBLIND10/08-5,-873.9332211673
NCIBLIND10/08-6,-873.9329391764
NCIBLIND10/08-7,-873.9328186324
NCIBLIND10/09-A,-245.1390794465
NCIBLIND10/09-B,-245.1390148987
NCIBLIND10/09-1,-490.2740651106
NCIBLIND10/09-2,-490.2812652348
NCIBLIND10/09-3,-490.2822164585
NCIBLIND10/09-4,-490.2802614677
NCIBLIND10/09-5,-490.2793055532
NCIBLIND10/09-6,-490.2788491904
NCIBLIND10/09-7,-490.2786021887
NCIBLIND10/10-A,-76.46443243
NCIBLIND10/10-B,-76.464324687
NCIBLIND10/10-1,-152.9156863944
NCIBLIND10/10-2,-152.9337046952
NCIBLIND10/10-3,-152.9364480599
NCIBLIND10/10-4,-152.9354537967
NCIBLIND10/10-5,-152.9339756691
NCIBLIND10/10-6,-152.9320447339
NCIBLIND10/10-7,-152.9310150079
NCIBLIND10/10-8,-152.9302976873
NCIBLIND10/10-9,-152.9298639752
NCIBLIND10/10-10,-152.9295932429
NCIBLIND10/10-11,-152.9294169727
NCIBLIND10/10-12,-152.9292985361
NCIBLIND10/10-13,-152.9292164544
NCIBLIND10/10-14,-152.9291557063
NCIBLIND10/10-15,-152.9291100087
NCIBLIND10/10-16,-152.9290748555
