system,DSDPBEP86/def2-QZVP/ORCA
S66x8/66-150,-344.1818639359
S66x8/66-200,-344.1804962031
NCIBLIND10/01-A,-232.2608109608
NCIBLIND10/01-B,-40.5335629529
NCIBLIND10/01-1,-272.7935466526
NCIBLIND10/01-2,-272.7961541778
NCIBLIND10/01-3,-272.7951309177
NCIBLIND10/01-4,-272.7946051203
NCIBLIND10/01-5,-272.7944600263
NCIBLIND10/01-6,-272.7944113612
NCIBLIND10/01-7,-272.7943921195
NCIBLIND10/02-A,-232.262193311
NCIBLIND10/02-B,-76.4472308284
NCIBLIND10/02-1,-308.7010168047
NCIBLIND10/02-2,-308.7136961493
NCIBLIND10/02-3,-308.7138717884
NCIBLIND10/02-4,-308.7124839736
NCIBLIND10/02-5,-308.7114110652
NCIBLIND10/02-6,-308.7107326522
NCIBLIND10/02-7,-308.7100492378
NCIBLIND10/02-8,-308.7097713946
NCIBLIND10/02-9,-308.7096365864
NCIBLIND10/03-A,-155.0743004796
NCIBLIND10/03-B,-155.0742944367
NCIBLIND10/03-1,-310.1497228578
NCIBLIND10/03-2,-310.1521194317
NCIBLIND10/03-3,-310.1503500437
NCIBLIND10/03-4,-310.1492165723
NCIBLIND10/03-5,-310.1488685724
NCIBLIND10/03-6,-310.1487383956
NCIBLIND10/03-7,-310.148682291
NCIBLIND10/04-A,-599.5480197396
NCIBLIND10/04-B,-599.5493546467
NCIBLIND10/04-1,-1199.1070047799
NCIBLIND10/04-2,-1199.113416395
NCIBLIND10/04-3,-1199.1092678649
NCIBLIND10/04-4,-1199.1034564313
NCIBLIND10/04-5,-1199.1006359113
NCIBLIND10/04-6,-1199.0992155235
NCIBLIND10/04-7,-1199.098444796
NCIBLIND10/04-8,-1199.0980138615
NCIBLIND10/05-A,-598.3668229435
NCIBLIND10/05-B,-598.3667712518
NCIBLIND10/05-1,-1196.7507038517
NCIBLIND10/05-2,-1196.7529056964
NCIBLIND10/05-3,-1196.7454487951
NCIBLIND10/05-4,-1196.7402990913
NCIBLIND10/05-5,-1196.7379156902
NCIBLIND10/05-6,-1196.7365987478
NCIBLIND10/06-A,-226.2332890121
NCIBLIND10/06-B,-226.23420766
NCIBLIND10/06-1,-452.4776378548
NCIBLIND10/06-2,-452.483709129
NCIBLIND10/06-3,-452.4759864966
NCIBLIND10/06-4,-452.4713932936
NCIBLIND10/06-5,-452.4696334629
NCIBLIND10/06-6,-452.4688096934
NCIBLIND10/06-7,-452.4683693522
NCIBLIND10/07-A,-229.0896499787
NCIBLIND10/07-B,-229.0900013053
NCIBLIND10/07-1,-458.1833432974
NCIBLIND10/07-2,-458.184227573
NCIBLIND10/07-3,-458.1817812294
NCIBLIND10/07-4,-458.1804089705
NCIBLIND10/07-5,-458.1799575656
NCIBLIND10/07-6,-458.1797847958
NCIBLIND10/08-A,-436.7712022697
NCIBLIND10/08-B,-436.7712022698
NCIBLIND10/08-1,-873.5393159612
NCIBLIND10/08-2,-873.5508082237
NCIBLIND10/08-3,-873.5484844016
NCIBLIND10/08-4,-873.5448585405
NCIBLIND10/08-5,-873.5436424306
NCIBLIND10/08-6,-873.5431709895
NCIBLIND10/08-7,-873.5429711859
NCIBLIND10/09-A,-245.0377459657
NCIBLIND10/09-B,-245.0376922621
NCIBLIND10/09-1,-490.07843653
NCIBLIND10/09-2,-490.0839314155
NCIBLIND10/09-3,-490.0804183654
NCIBLIND10/09-4,-490.0777447142
NCIBLIND10/09-5,-490.0767041102
NCIBLIND10/09-6,-490.0762142554
NCIBLIND10/09-7,-490.0759530703
NCIBLIND10/10-A,-76.4474082714
NCIBLIND10/10-B,-76.4474959758
NCIBLIND10/10-1,-152.8827485306
NCIBLIND10/10-2,-152.9005033384
NCIBLIND10/10-3,-152.9033081272
NCIBLIND10/10-4,-152.9021964817
NCIBLIND10/10-5,-152.9004858492
NCIBLIND10/10-6,-152.8982781089
NCIBLIND10/10-7,-152.8970126371
NCIBLIND10/10-8,-152.8962990325
NCIBLIND10/10-9,-152.8958754661
NCIBLIND10/10-10,-152.8956073195
NCIBLIND10/10-11,-152.8954293958
NCIBLIND10/10-12,-152.8953074988
NCIBLIND10/10-13,-152.8952220616
NCIBLIND10/10-14,-152.8951588464
NCIBLIND10/10-15,-152.8951112734
NCIBLIND10/10-16,-152.8950746742
