system,B3P86/def2-QZVP/ORCA
NCIBLIND10/01-A,-232.2783074698
NCIBLIND10/01-B,-40.5302920489
NCIBLIND10/01-1,-272.8040575796
NCIBLIND10/01-2,-272.807899758
NCIBLIND10/01-3,-272.8084336099
NCIBLIND10/01-4,-272.8085595521
NCIBLIND10/01-5,-272.8086091625
NCIBLIND10/01-6,-272.8086113047
NCIBLIND10/01-7,-272.8086067848
NCIBLIND10/02-A,-232.2797497904
NCIBLIND10/02-B,-76.4504980468
NCIBLIND10/02-1,-308.7183682926
NCIBLIND10/02-2,-308.7316389795
NCIBLIND10/02-3,-308.7326404086
NCIBLIND10/02-4,-308.7319970928
NCIBLIND10/02-5,-308.73148726
NCIBLIND10/02-6,-308.7311690002
NCIBLIND10/02-7,-308.7307746977
NCIBLIND10/02-8,-308.7305633907
NCIBLIND10/02-9,-308.7304459869
NCIBLIND10/03-A,-155.0791724669
NCIBLIND10/03-B,-155.0791312832
NCIBLIND10/03-1,-310.1552358909
NCIBLIND10/03-2,-310.158267336
NCIBLIND10/03-3,-310.1586237278
NCIBLIND10/03-4,-310.1585124024
NCIBLIND10/03-5,-310.1584632741
NCIBLIND10/03-6,-310.158408187
NCIBLIND10/03-7,-310.1583736473
NCIBLIND10/04-A,-599.6160405345
NCIBLIND10/04-B,-599.6167504693
NCIBLIND10/04-1,-1199.2306300667
NCIBLIND10/04-2,-1199.2387435705
NCIBLIND10/04-3,-1199.239524564
NCIBLIND10/04-4,-1199.2367496921
NCIBLIND10/04-5,-1199.2353006344
NCIBLIND10/04-6,-1199.2343936561
NCIBLIND10/04-7,-1199.2337896858
NCIBLIND10/04-8,-1199.2334071192
NCIBLIND10/05-A,-598.4412907454
NCIBLIND10/05-B,-598.4414991613
NCIBLIND10/05-1,-1196.8961601706
NCIBLIND10/05-2,-1196.8987218136
NCIBLIND10/05-3,-1196.8933702237
NCIBLIND10/05-4,-1196.8892888246
NCIBLIND10/05-5,-1196.8871713792
NCIBLIND10/05-6,-1196.8858881067
NCIBLIND10/06-A,-226.253834215
NCIBLIND10/06-B,-226.2547650066
NCIBLIND10/06-1,-452.5167346154
NCIBLIND10/06-2,-452.5228482048
NCIBLIND10/06-3,-452.5159479455
NCIBLIND10/06-4,-452.5120737002
NCIBLIND10/06-5,-452.5105896035
NCIBLIND10/06-6,-452.5098494719
NCIBLIND10/06-7,-452.5094372024
NCIBLIND10/07-A,-229.1082224648
NCIBLIND10/07-B,-229.1085958838
NCIBLIND10/07-1,-458.217535842
NCIBLIND10/07-2,-458.2187230033
NCIBLIND10/07-3,-458.2179210219
NCIBLIND10/07-4,-458.217301039
NCIBLIND10/07-5,-458.2170496657
NCIBLIND10/07-6,-458.2169247007
NCIBLIND10/08-A,-436.8173603699
NCIBLIND10/08-B,-436.81736037
NCIBLIND10/08-1,-873.6130093349
NCIBLIND10/08-2,-873.6287571685
NCIBLIND10/08-3,-873.6356393654
NCIBLIND10/08-4,-873.635680361
NCIBLIND10/08-5,-873.6355697201
NCIBLIND10/08-6,-873.6353908463
NCIBLIND10/08-7,-873.635342108
NCIBLIND10/09-A,-245.0631727338
NCIBLIND10/09-B,-245.0630840573
NCIBLIND10/09-1,-490.1228619559
NCIBLIND10/09-2,-490.1297021324
NCIBLIND10/09-3,-490.1295307065
NCIBLIND10/09-4,-490.1281853072
NCIBLIND10/09-5,-490.1274631224
NCIBLIND10/09-6,-490.1270309635
NCIBLIND10/09-7,-490.1267795224
NCIBLIND10/10-A,-76.4506281113
NCIBLIND10/10-B,-76.4506126909
NCIBLIND10/10-1,-152.8891527722
NCIBLIND10/10-2,-152.9063520641
NCIBLIND10/10-3,-152.9088879189
NCIBLIND10/10-4,-152.9077324235
NCIBLIND10/10-5,-152.9061119492
NCIBLIND10/10-6,-152.9041546808
NCIBLIND10/10-7,-152.9031913077
NCIBLIND10/10-8,-152.9026081583
NCIBLIND10/10-9,-152.9022482375
NCIBLIND10/10-10,-152.9020067785
NCIBLIND10/10-11,-152.9018388469
NCIBLIND10/10-12,-152.9017208548
NCIBLIND10/10-13,-152.9016375446
NCIBLIND10/10-14,-152.9015756098
NCIBLIND10/10-15,-152.9015288778
NCIBLIND10/10-16,-152.9014928417
