system,revPBE/def2-QZVP/ORCA
S66x8/66-150,-344.1987386923
S66x8/66-200,-344.198039894
NCIBLIND10/01-A,-232.2807725888
NCIBLIND10/01-B,-40.5221437362
NCIBLIND10/01-1,-272.7956940552
NCIBLIND10/01-2,-272.8013783273
NCIBLIND10/01-3,-272.803055243
NCIBLIND10/01-4,-272.8030226809
NCIBLIND10/01-5,-272.8029526028
NCIBLIND10/01-6,-272.8029288389
NCIBLIND10/01-7,-272.8029217626
NCIBLIND10/02-A,-232.28083731
NCIBLIND10/02-B,-76.4469498665
NCIBLIND10/02-1,-308.7106803807
NCIBLIND10/02-2,-308.7266639759
NCIBLIND10/02-3,-308.7295493544
NCIBLIND10/02-4,-308.7297098521
NCIBLIND10/02-5,-308.7293285924
NCIBLIND10/02-6,-308.7288939469
NCIBLIND10/02-7,-308.7283015505
NCIBLIND10/02-8,-308.7280680694
NCIBLIND10/02-9,-308.727961023
NCIBLIND10/03-A,-155.0664537353
NCIBLIND10/03-B,-155.0664001902
NCIBLIND10/03-1,-310.1253986492
NCIBLIND10/03-2,-310.1306519127
NCIBLIND10/03-3,-310.1336385328
NCIBLIND10/03-4,-310.1333195825
NCIBLIND10/03-5,-310.133055568
NCIBLIND10/03-6,-310.1329554903
NCIBLIND10/03-7,-310.1329180363
NCIBLIND10/04-A,-599.649735344
NCIBLIND10/04-B,-599.649941758
NCIBLIND10/04-1,-1199.28505551
NCIBLIND10/04-2,-1199.297261862
NCIBLIND10/04-3,-1199.305714521
NCIBLIND10/04-4,-1199.30423673
NCIBLIND10/04-5,-1199.302514022
NCIBLIND10/04-6,-1199.301348793
NCIBLIND10/04-7,-1199.300656325
NCIBLIND10/04-8,-1199.300268406
NCIBLIND10/05-A,-598.4810268927
NCIBLIND10/05-B,-598.4813860268
NCIBLIND10/05-1,-1196.970198966
NCIBLIND10/05-2,-1196.974445095
NCIBLIND10/05-3,-1196.972986286
NCIBLIND10/05-4,-1196.968915347
NCIBLIND10/05-5,-1196.966643368
NCIBLIND10/05-6,-1196.965360501
NCIBLIND10/06-A,-226.2619652777
NCIBLIND10/06-B,-226.2624310889
NCIBLIND10/06-1,-452.528804565
NCIBLIND10/06-2,-452.5362180478
NCIBLIND10/06-3,-452.5316554459
NCIBLIND10/06-4,-452.5279530673
NCIBLIND10/06-5,-452.5263559571
NCIBLIND10/06-6,-452.5255926351
NCIBLIND10/06-7,-452.5251904549
NCIBLIND10/07-A,-229.1088341956
NCIBLIND10/07-B,-229.1089525336
NCIBLIND10/07-1,-458.2153710281
NCIBLIND10/07-2,-458.2177094897
NCIBLIND10/07-3,-458.2191270275
NCIBLIND10/07-4,-458.2183739147
NCIBLIND10/07-5,-458.218008272
NCIBLIND10/07-6,-458.2178712585
NCIBLIND10/08-A,-436.8439944487
NCIBLIND10/08-B,-436.8439944487
NCIBLIND10/08-1,-873.6546511732
NCIBLIND10/08-2,-873.6749239501
NCIBLIND10/08-3,-873.6892158338
NCIBLIND10/08-4,-873.6894057272
NCIBLIND10/08-5,-873.6888924999
NCIBLIND10/08-6,-873.6886210894
NCIBLIND10/08-7,-873.6884797064
NCIBLIND10/09-A,-245.0795282603
NCIBLIND10/09-B,-245.079469651
NCIBLIND10/09-1,-490.1481632293
NCIBLIND10/09-2,-490.1584773894
NCIBLIND10/09-3,-490.1625336409
NCIBLIND10/09-4,-490.1610436142
NCIBLIND10/09-5,-490.160136092
NCIBLIND10/09-6,-490.1596988728
NCIBLIND10/09-7,-490.1594680386
NCIBLIND10/10-A,-76.4468867226
NCIBLIND10/10-B,-76.4465749916
NCIBLIND10/10-1,-152.8767037802
NCIBLIND10/10-2,-152.8956568254
NCIBLIND10/10-3,-152.8995406078
NCIBLIND10/10-4,-152.8993232847
NCIBLIND10/10-5,-152.8982574268
NCIBLIND10/10-6,-152.8966083269
NCIBLIND10/10-7,-152.8958351016
NCIBLIND10/10-8,-152.8951457299
NCIBLIND10/10-9,-152.8947127535
NCIBLIND10/10-10,-152.894438684
NCIBLIND10/10-11,-152.8942613926
NCIBLIND10/10-12,-152.8941442162
NCIBLIND10/10-13,-152.8940643168
NCIBLIND10/10-14,-152.8940055032
NCIBLIND10/10-15,-152.8939613983
NCIBLIND10/10-16,-152.8939275416
