system,MN15/def2-QZVP/Turbomole7.5.1
S66x8/66-150,-344.0443496062
S66x8/66-200,-344.0429231134
NCIBLIND10/01-A,-232.172493401
NCIBLIND10/01-B,-40.4941064017
NCIBLIND10/01-1,-272.6670233794
NCIBLIND10/01-2,-272.6694149451
NCIBLIND10/01-3,-272.6674712348
NCIBLIND10/01-4,-272.6667213874
NCIBLIND10/01-5,-272.666625573
NCIBLIND10/01-6,-272.6666118073
NCIBLIND10/01-7,-272.6666063443
NCIBLIND10/02-A,-232.1740527832
NCIBLIND10/02-B,-76.4245578424
NCIBLIND10/02-1,-308.5926728259
NCIBLIND10/02-2,-308.604999465
NCIBLIND10/02-3,-308.6044368435
NCIBLIND10/02-4,-308.6021912345
NCIBLIND10/02-5,-308.6005682886
NCIBLIND10/02-6,-308.5997598162
NCIBLIND10/02-7,-308.5991602474
NCIBLIND10/02-8,-308.5989273306
NCIBLIND10/02-9,-308.5988086477
NCIBLIND10/03-A,-155.0068142298
NCIBLIND10/03-B,-155.0067875772
NCIBLIND10/03-1,-310.0168651091
NCIBLIND10/03-2,-310.0190877439
NCIBLIND10/03-3,-310.0156907961
NCIBLIND10/03-4,-310.0140975637
NCIBLIND10/03-5,-310.013806817
NCIBLIND10/03-6,-310.0137211002
NCIBLIND10/03-7,-310.0136803956
NCIBLIND10/04-A,-599.4211921667
NCIBLIND10/04-B,-599.4228205394
NCIBLIND10/04-1,-1198.8578401415
NCIBLIND10/04-2,-1198.8637782931
NCIBLIND10/04-3,-1198.857011701
NCIBLIND10/04-4,-1198.849695162
NCIBLIND10/04-5,-1198.8468892168
NCIBLIND10/04-6,-1198.8457011282
NCIBLIND10/04-7,-1198.8450271239
NCIBLIND10/04-8,-1198.8446351279
NCIBLIND10/05-A,-598.2606931941
NCIBLIND10/05-B,-598.2608989645
NCIBLIND10/05-1,-1196.5373859367
NCIBLIND10/05-2,-1196.5403579032
NCIBLIND10/05-3,-1196.5336630281
NCIBLIND10/05-4,-1196.5282751845
NCIBLIND10/05-5,-1196.5259798124
NCIBLIND10/05-6,-1196.5246885992
NCIBLIND10/06-A,-226.1677013941
NCIBLIND10/06-B,-226.168678634
NCIBLIND10/06-1,-452.3427933587
NCIBLIND10/06-2,-452.3502909985
NCIBLIND10/06-3,-452.3444885876
NCIBLIND10/06-4,-452.3400259969
NCIBLIND10/06-5,-452.3383792655
NCIBLIND10/06-6,-452.3376260235
NCIBLIND10/06-7,-452.3372164892
NCIBLIND10/07-A,-229.0351047904
NCIBLIND10/07-B,-229.0354398358
NCIBLIND10/07-1,-458.0748210176
NCIBLIND10/07-2,-458.0758486645
NCIBLIND10/07-3,-458.0727726747
NCIBLIND10/07-4,-458.0712163646
NCIBLIND10/07-5,-458.0708161089
NCIBLIND10/07-6,-458.070668331
NCIBLIND10/08-A,-436.6663520202
NCIBLIND10/08-B,-436.6663520202
NCIBLIND10/08-1,-873.3333164142
NCIBLIND10/08-2,-873.3443768642
NCIBLIND10/08-3,-873.3390955202
NCIBLIND10/08-4,-873.3345390215
NCIBLIND10/08-5,-873.3336805282
NCIBLIND10/08-6,-873.3334077968
NCIBLIND10/08-7,-873.3333087773
NCIBLIND10/09-A,-244.9803728795
NCIBLIND10/09-B,-244.9802907875
NCIBLIND10/09-1,-489.9665403452
NCIBLIND10/09-2,-489.971333053
NCIBLIND10/09-3,-489.9659811567
NCIBLIND10/09-4,-489.962940704
NCIBLIND10/09-5,-489.9619533821
NCIBLIND10/09-6,-489.9614818671
NCIBLIND10/09-7,-489.9612161772
NCIBLIND10/10-A,-76.4246843253
NCIBLIND10/10-B,-76.4246012629
NCIBLIND10/10-1,-152.8356990405
NCIBLIND10/10-2,-152.8541847234
NCIBLIND10/10-3,-152.8575059381
NCIBLIND10/10-4,-152.8566926643
NCIBLIND10/10-5,-152.855077197
NCIBLIND10/10-6,-152.8527728998
NCIBLIND10/10-7,-152.851566094
NCIBLIND10/10-8,-152.8508183305
NCIBLIND10/10-9,-152.8503982308
NCIBLIND10/10-10,-152.8501364416
NCIBLIND10/10-11,-152.8499624258
NCIBLIND10/10-12,-152.8498418827
NCIBLIND10/10-13,-152.8497561692
NCIBLIND10/10-14,-152.8496924238
NCIBLIND10/10-15,-152.8496442885
NCIBLIND10/10-16,-152.8496071056
