system,PBE/def2-QZVP/TM
S66x8/66-200,-343.8501941033
NCIBLIND10/01-A,-232.0359959106
NCIBLIND10/01-B,-40.4675775151
NCIBLIND10/01-1,-272.5000423352
NCIBLIND10/01-2,-272.5039036236
NCIBLIND10/01-3,-272.5040296414
NCIBLIND10/01-4,-272.5037078228
NCIBLIND10/01-5,-272.5036108597
NCIBLIND10/01-6,-272.5035866316
NCIBLIND10/01-7,-272.5035794183
NCIBLIND10/02-A,-232.0364823628
NCIBLIND10/02-B,-76.3870054943
NCIBLIND10/02-1,-308.4127064117
NCIBLIND10/02-2,-308.4259719626
NCIBLIND10/02-3,-308.4270158058
NCIBLIND10/02-4,-308.4261470792
NCIBLIND10/02-5,-308.4252915984
NCIBLIND10/02-6,-308.4246756389
NCIBLIND10/02-7,-308.4240177684
NCIBLIND10/02-8,-308.423778182
NCIBLIND10/02-9,-308.4236678949
NCIBLIND10/03-A,-154.9196265572
NCIBLIND10/03-B,-154.9195865644
NCIBLIND10/03-1,-309.8375640576
NCIBLIND10/03-2,-309.8408168743
NCIBLIND10/03-3,-309.8406428213
NCIBLIND10/03-4,-309.8397380565
NCIBLIND10/03-5,-309.8394185711
NCIBLIND10/03-6,-309.8393168538
NCIBLIND10/03-7,-309.8392788363
NCIBLIND10/04-A,-599.1839638378
NCIBLIND10/04-B,-599.1843366176
NCIBLIND10/04-1,-1198.367485463
NCIBLIND10/04-2,-1198.376129942
NCIBLIND10/04-3,-1198.377355734
NCIBLIND10/04-4,-1198.373521678
NCIBLIND10/04-5,-1198.37124209
NCIBLIND10/04-6,-1198.369980129
NCIBLIND10/04-7,-1198.369280739
NCIBLIND10/04-8,-1198.368892956
NCIBLIND10/05-A,-598.0256492711
NCIBLIND10/05-B,-598.0260435151
NCIBLIND10/05-1,-1196.065798786
NCIBLIND10/05-2,-1196.068574952
NCIBLIND10/05-3,-1196.063129381
NCIBLIND10/05-4,-1196.058295894
NCIBLIND10/05-5,-1196.055956062
NCIBLIND10/05-6,-1196.05466716
NCIBLIND10/06-A,-226.0494446966
NCIBLIND10/06-B,-226.04997956
NCIBLIND10/06-1,-452.1081720697
NCIBLIND10/06-2,-452.1143436156
NCIBLIND10/06-3,-452.1074113476
NCIBLIND10/06-4,-452.1030864424
NCIBLIND10/06-5,-452.101406403
NCIBLIND10/06-6,-452.1006352734
NCIBLIND10/06-7,-452.1002292865
NCIBLIND10/07-A,-228.9176908443
NCIBLIND10/07-B,-228.9178417862
NCIBLIND10/07-1,-457.8370096338
NCIBLIND10/07-2,-457.8383789156
NCIBLIND10/07-3,-457.8373241684
NCIBLIND10/07-4,-457.8361617496
NCIBLIND10/07-5,-457.8357608357
NCIBLIND10/07-6,-457.8356211613
NCIBLIND10/08-A,-436.4606889089
NCIBLIND10/08-B,-436.4606889089
NCIBLIND10/08-1,-872.9018876012
NCIBLIND10/08-2,-872.9176064586
NCIBLIND10/08-3,-872.9242698053
NCIBLIND10/08-4,-872.9229616824
NCIBLIND10/08-5,-872.9222988733
NCIBLIND10/08-6,-872.9220203606
NCIBLIND10/08-7,-872.9219278848
NCIBLIND10/09-A,-244.8848780843
NCIBLIND10/09-B,-244.884810941
NCIBLIND10/09-1,-489.766720734
NCIBLIND10/09-2,-489.774171938
NCIBLIND10/09-3,-489.7739722062
NCIBLIND10/09-4,-489.7717949298
NCIBLIND10/09-5,-489.7708406346
NCIBLIND10/09-6,-489.7704008197
NCIBLIND10/09-7,-489.7701669329
NCIBLIND10/10-A,-76.3869508918
NCIBLIND10/10-B,-76.3866410338
NCIBLIND10/10-1,-152.7618924041
NCIBLIND10/10-2,-152.7794121822
NCIBLIND10/10-3,-152.7821219947
NCIBLIND10/10-4,-152.7810054063
NCIBLIND10/10-5,-152.7793056313
NCIBLIND10/10-6,-152.77706799
NCIBLIND10/10-7,-152.7760651415
NCIBLIND10/10-8,-152.7753035671
NCIBLIND10/10-9,-152.7748543447
NCIBLIND10/10-10,-152.774578024
NCIBLIND10/10-11,-152.774400041
NCIBLIND10/10-12,-152.7742817801
NCIBLIND10/10-13,-152.7742006444
NCIBLIND10/10-14,-152.7741408515
NCIBLIND10/10-15,-152.7740959803
NCIBLIND10/10-16,-152.774061509
