system,PBE0-DH/def2-QZVP/ORCA
S66x8/66-150,-343.895748279
S66x8/66-200,-343.8946634761
NCIBLIND10/01-A,-232.0692861096
NCIBLIND10/01-B,-40.4836503291
NCIBLIND10/01-1,-272.5508702489
NCIBLIND10/01-2,-272.5538309953
NCIBLIND10/01-3,-272.5534448583
NCIBLIND10/01-4,-272.5530988872
NCIBLIND10/01-5,-272.5529940092
NCIBLIND10/01-6,-272.5529611913
NCIBLIND10/01-7,-272.552948625
NCIBLIND10/02-A,-232.0713872948
NCIBLIND10/02-B,-76.3882680274
NCIBLIND10/02-1,-308.4509281966
NCIBLIND10/02-2,-308.4631660613
NCIBLIND10/02-3,-308.4635316096
NCIBLIND10/02-4,-308.4624235092
NCIBLIND10/02-5,-308.4615226823
NCIBLIND10/02-6,-308.4609195614
NCIBLIND10/02-7,-308.46027395
NCIBLIND10/02-8,-308.4600048223
NCIBLIND10/02-9,-308.4598716272
NCIBLIND10/03-A,-154.9420205581
NCIBLIND10/03-B,-154.9419909502
NCIBLIND10/03-1,-309.8836689347
NCIBLIND10/03-2,-309.8862457317
NCIBLIND10/03-3,-309.8853974392
NCIBLIND10/03-4,-309.8845337762
NCIBLIND10/03-5,-309.8842428311
NCIBLIND10/03-6,-309.884136515
NCIBLIND10/03-7,-309.8840902723
NCIBLIND10/04-A,-599.1323891101
NCIBLIND10/04-B,-599.1335977075
NCIBLIND10/04-1,-1198.2708936951
NCIBLIND10/04-2,-1198.2778337732
NCIBLIND10/04-3,-1198.2760467263
NCIBLIND10/04-4,-1198.2714961639
NCIBLIND10/04-5,-1198.2690784782
NCIBLIND10/04-6,-1198.2677757122
NCIBLIND10/04-7,-1198.2670407063
NCIBLIND10/04-8,-1198.2666224546
NCIBLIND10/05-A,-597.9609235287
NCIBLIND10/05-B,-597.9609202724
NCIBLIND10/05-1,-1195.9379690572
NCIBLIND10/05-2,-1195.9401996436
NCIBLIND10/05-3,-1195.9335795638
NCIBLIND10/05-4,-1195.9286803395
NCIBLIND10/05-5,-1195.9263018569
NCIBLIND10/05-6,-1195.9249670031
NCIBLIND10/06-A,-226.0598665079
NCIBLIND10/06-B,-226.0610291112
NCIBLIND10/06-1,-452.1310380438
NCIBLIND10/06-2,-452.1366447931
NCIBLIND10/06-3,-452.1290211878
NCIBLIND10/06-4,-452.1246748186
NCIBLIND10/06-5,-452.1229784157
NCIBLIND10/06-6,-452.1221824214
NCIBLIND10/06-7,-452.1217549758
NCIBLIND10/07-A,-228.9198737259
NCIBLIND10/07-B,-228.9203845148
NCIBLIND10/07-1,-457.8431889757
NCIBLIND10/07-2,-457.8441160184
NCIBLIND10/07-3,-457.8422184219
NCIBLIND10/07-4,-457.8409799393
NCIBLIND10/07-5,-457.8405517045
NCIBLIND10/07-6,-457.8403883081
NCIBLIND10/08-A,-436.4536618397
NCIBLIND10/08-B,-436.4536618393
NCIBLIND10/08-1,-872.895979678
NCIBLIND10/08-2,-872.9090029349
NCIBLIND10/08-3,-872.9111983117
NCIBLIND10/08-4,-872.9092149144
NCIBLIND10/08-5,-872.9084076619
NCIBLIND10/08-6,-872.9080588665
NCIBLIND10/08-7,-872.9079882474
NCIBLIND10/09-A,-244.862007381
NCIBLIND10/09-B,-244.8619053133
NCIBLIND10/09-1,-489.7248953803
NCIBLIND10/09-2,-489.7307143671
NCIBLIND10/09-3,-489.7285842325
NCIBLIND10/09-4,-489.7262258663
NCIBLIND10/09-5,-489.7252127253
NCIBLIND10/09-6,-489.724723283
NCIBLIND10/09-7,-489.7244560189
NCIBLIND10/10-A,-76.3885590931
NCIBLIND10/10-B,-76.3888241631
NCIBLIND10/10-1,-152.7664483409
NCIBLIND10/10-2,-152.7833206918
NCIBLIND10/10-3,-152.7857483812
NCIBLIND10/10-4,-152.7845464419
NCIBLIND10/10-5,-152.7828624408
NCIBLIND10/10-6,-152.7807429127
NCIBLIND10/10-7,-152.7793678895
NCIBLIND10/10-8,-152.7786539507
NCIBLIND10/10-9,-152.7782263686
NCIBLIND10/10-10,-152.7779565803
NCIBLIND10/10-11,-152.7777782011
NCIBLIND10/10-12,-152.7776559689
NCIBLIND10/10-13,-152.7775700596
NCIBLIND10/10-14,-152.7775063386
NCIBLIND10/10-15,-152.7774582903
NCIBLIND10/10-16,-152.7774212719
