system,mPW2PLYP/def2-QZVP/ORCA
S66x8/66-150,-344.0145737998
S66x8/66-200,-344.0132695741
NCIBLIND10/01-A,-232.1466898521
NCIBLIND10/01-B,-40.4917870903
NCIBLIND10/01-1,-272.6363717368
NCIBLIND10/01-2,-272.6397118472
NCIBLIND10/01-3,-272.6391527382
NCIBLIND10/01-4,-272.63870508
NCIBLIND10/01-5,-272.6385595469
NCIBLIND10/01-6,-272.6385084023
NCIBLIND10/01-7,-272.638491659
NCIBLIND10/02-A,-232.1483195308
NCIBLIND10/02-B,-76.4223280812
NCIBLIND10/02-1,-308.5604437368
NCIBLIND10/02-2,-308.5741530257
NCIBLIND10/02-3,-308.5747910505
NCIBLIND10/02-4,-308.5736079718
NCIBLIND10/02-5,-308.5726292715
NCIBLIND10/02-6,-308.571978305
NCIBLIND10/02-7,-308.5712681411
NCIBLIND10/02-8,-308.5709848091
NCIBLIND10/02-9,-308.5708542165
NCIBLIND10/03-A,-154.9952737382
NCIBLIND10/03-B,-154.9952647594
NCIBLIND10/03-1,-309.9909655032
NCIBLIND10/03-2,-309.9936597656
NCIBLIND10/03-3,-309.9922695685
NCIBLIND10/03-4,-309.9911918761
NCIBLIND10/03-5,-309.9908159553
NCIBLIND10/03-6,-309.9906773908
NCIBLIND10/03-7,-309.9906232138
NCIBLIND10/04-A,-599.3906648398
NCIBLIND10/04-B,-599.3917646085
NCIBLIND10/04-1,-1198.7891694615
NCIBLIND10/04-2,-1198.7966187431
NCIBLIND10/04-3,-1198.7939646256
NCIBLIND10/04-4,-1198.7885568123
NCIBLIND10/04-5,-1198.7857914869
NCIBLIND10/04-6,-1198.784327866
NCIBLIND10/04-7,-1198.7835232288
NCIBLIND10/04-8,-1198.7830812289
NCIBLIND10/05-A,-598.2278771181
NCIBLIND10/05-B,-598.2278842895
NCIBLIND10/05-1,-1196.4728203777
NCIBLIND10/05-2,-1196.4752259723
NCIBLIND10/05-3,-1196.467927567
NCIBLIND10/05-4,-1196.4626711555
NCIBLIND10/05-5,-1196.4602003168
NCIBLIND10/05-6,-1196.4588432787
NCIBLIND10/06-A,-226.1437962994
NCIBLIND10/06-B,-226.1448489162
NCIBLIND10/06-1,-452.2982031547
NCIBLIND10/06-2,-452.3046032299
NCIBLIND10/06-3,-452.2971442071
NCIBLIND10/06-4,-452.292551322
NCIBLIND10/06-5,-452.2907743794
NCIBLIND10/06-6,-452.2899441463
NCIBLIND10/06-7,-452.2895075464
NCIBLIND10/07-A,-229.0184026094
NCIBLIND10/07-B,-229.0187835568
NCIBLIND10/07-1,-458.0408228464
NCIBLIND10/07-2,-458.0417580772
NCIBLIND10/07-3,-458.0393727858
NCIBLIND10/07-4,-458.0379796326
NCIBLIND10/07-5,-458.0374961793
NCIBLIND10/07-6,-458.0373167854
NCIBLIND10/08-A,-436.6325669598
NCIBLIND10/08-B,-436.6325669587
NCIBLIND10/08-1,-873.2545142135
NCIBLIND10/08-2,-873.2687121841
NCIBLIND10/08-3,-873.2701835941
NCIBLIND10/08-4,-873.267443067
NCIBLIND10/08-5,-873.2663686704
NCIBLIND10/08-6,-873.2659116861
NCIBLIND10/08-7,-873.2657266479
NCIBLIND10/09-A,-244.9716334713
NCIBLIND10/09-B,-244.9715775709
NCIBLIND10/09-1,-489.945146199
NCIBLIND10/09-2,-489.9513121378
NCIBLIND10/09-3,-489.948335243
NCIBLIND10/09-4,-489.9456340993
NCIBLIND10/09-5,-489.9445242532
NCIBLIND10/09-6,-489.9440114037
NCIBLIND10/09-7,-489.9437437062
NCIBLIND10/10-A,-76.4225250248
NCIBLIND10/10-B,-76.422624176
NCIBLIND10/10-1,-152.8333555913
NCIBLIND10/10-2,-152.8512014588
NCIBLIND10/10-3,-152.8539834808
NCIBLIND10/10-4,-152.8527937809
NCIBLIND10/10-5,-152.8510011428
NCIBLIND10/10-6,-152.8486884849
NCIBLIND10/10-7,-152.8473509672
NCIBLIND10/10-8,-152.8465932766
NCIBLIND10/10-9,-152.8461413254
NCIBLIND10/10-10,-152.8458577167
NCIBLIND10/10-11,-152.8456734019
NCIBLIND10/10-12,-152.8455496907
NCIBLIND10/10-13,-152.8454636127
NCIBLIND10/10-14,-152.8454000537
NCIBLIND10/10-15,-152.8453522111
NCIBLIND10/10-16,-152.8453153834
