system,mPWPW/def2-QZVP/ORCA
S66x8/66-150,-344.248480662
S66x8/66-200,-344.2477474466
NCIBLIND10/01-A,-232.3104923118
NCIBLIND10/01-B,-40.5246485348
NCIBLIND10/01-1,-272.8301147846
NCIBLIND10/01-2,-272.8344402056
NCIBLIND10/01-3,-272.8353687246
NCIBLIND10/01-4,-272.8353065256
NCIBLIND10/01-5,-272.835202018
NCIBLIND10/01-6,-272.8351580792
NCIBLIND10/01-7,-272.8351479124
NCIBLIND10/02-A,-232.3110914283
NCIBLIND10/02-B,-76.4625664672
NCIBLIND10/02-1,-308.7610578769
NCIBLIND10/02-2,-308.7746430708
NCIBLIND10/02-3,-308.7761621333
NCIBLIND10/02-4,-308.7758047215
NCIBLIND10/02-5,-308.775308882
NCIBLIND10/02-6,-308.7748616877
NCIBLIND10/02-7,-308.7742185618
NCIBLIND10/02-8,-308.773952602
NCIBLIND10/02-9,-308.7738393642
NCIBLIND10/03-A,-155.0928980572
NCIBLIND10/03-B,-155.0928596
NCIBLIND10/03-1,-310.1816768839
NCIBLIND10/03-2,-310.1853582248
NCIBLIND10/03-3,-310.1866712066
NCIBLIND10/03-4,-310.1862971677
NCIBLIND10/03-5,-310.1859936203
NCIBLIND10/03-6,-310.1858646472
NCIBLIND10/03-7,-310.1858220325
NCIBLIND10/04-A,-599.7719744868
NCIBLIND10/04-B,-599.7722431214
NCIBLIND10/04-1,-1199.5384752493
NCIBLIND10/04-2,-1199.5476620707
NCIBLIND10/04-3,0
NCIBLIND10/04-4,-1199.5489435356
NCIBLIND10/04-5,-1199.5471636407
NCIBLIND10/04-6,-1199.5459500504
NCIBLIND10/04-7,-1199.5452126992
NCIBLIND10/04-8,-1199.5448106024
NCIBLIND10/05-A,-598.6071412295
NCIBLIND10/05-B,-598.6075319007
NCIBLIND10/05-1,-1197.2265861681
NCIBLIND10/05-2,-1197.2295920298
NCIBLIND10/05-3,-1197.2255401295
NCIBLIND10/05-4,-1197.221308268
NCIBLIND10/05-5,-1197.2189785969
NCIBLIND10/05-6,-1197.2176553741
NCIBLIND10/06-A,-226.2977579611
NCIBLIND10/06-B,-226.2983472736
NCIBLIND10/06-1,-452.603598502
NCIBLIND10/06-2,-452.6099646436
NCIBLIND10/06-3,-452.6036533366
NCIBLIND10/06-4,-452.5997450157
NCIBLIND10/06-5,-452.5981158959
NCIBLIND10/06-6,-452.59732176
NCIBLIND10/06-7,-452.5969098376
NCIBLIND10/07-A,-229.1526905725
NCIBLIND10/07-B,-229.1528541654
NCIBLIND10/07-1,-458.3052953639
NCIBLIND10/07-2,-458.3068961535
NCIBLIND10/07-3,-458.3070160189
NCIBLIND10/07-4,-458.3062067437
NCIBLIND10/07-5,-458.3057944519
NCIBLIND10/07-6,-458.3056346957
NCIBLIND10/08-A,-436.9197245258
NCIBLIND10/08-B,-436.9197245257
NCIBLIND10/08-1,-873.8152077104
NCIBLIND10/08-2,-873.8316488032
NCIBLIND10/08-3,-873.8410401573
NCIBLIND10/08-4,-873.8410088854
NCIBLIND10/08-5,-873.8404346978
NCIBLIND10/08-6,-873.8401056246
NCIBLIND10/08-7,-873.839993861
NCIBLIND10/09-A,-245.1268930322
NCIBLIND10/09-B,-245.1268316558
NCIBLIND10/09-1,-490.2478431212
NCIBLIND10/09-2,-490.2557938482
NCIBLIND10/09-3,-490.2574324505
NCIBLIND10/09-4,-490.255873826
NCIBLIND10/09-5,-490.2549043842
NCIBLIND10/09-6,-490.2544380141
NCIBLIND10/09-7,-490.2542022681
NCIBLIND10/10-A,-76.462533384
NCIBLIND10/10-B,-76.4622590267
NCIBLIND10/10-1,-152.9119131134
NCIBLIND10/10-2,-152.9295710715
NCIBLIND10/10-3,-152.9324219292
NCIBLIND10/10-4,-152.9314835338
NCIBLIND10/10-5,-152.929984288
NCIBLIND10/10-6,-152.9280552906
NCIBLIND10/10-7,-152.9272016274
NCIBLIND10/10-8,-152.9265027627
NCIBLIND10/10-9,-152.9260540776
NCIBLIND10/10-10,-152.9257627148
NCIBLIND10/10-11,-152.9255758552
NCIBLIND10/10-12,-152.9254552784
NCIBLIND10/10-13,-152.9253735248
NCIBLIND10/10-14,-152.9253137657
NCIBLIND10/10-15,-152.9252688759
NCIBLIND10/10-16,-152.9252343205
