system,B2GPPLYP/def2-QZVP/ORCA
S66x8/66-150,-343.9565236006
S66x8/66-200,-343.9553688221
NCIBLIND10/01-A,-232.1051072219
NCIBLIND10/01-B,-40.485542662
NCIBLIND10/01-1,-272.5885917414
NCIBLIND10/01-2,-272.5917258521
NCIBLIND10/01-3,-272.5911696093
NCIBLIND10/01-4,-272.5908154969
NCIBLIND10/01-5,-272.5907212706
NCIBLIND10/01-6,-272.5906839996
NCIBLIND10/01-7,-272.5906673041
NCIBLIND10/02-A,-232.1067558912
NCIBLIND10/02-B,-76.4130181699
NCIBLIND10/02-1,-308.5097018451
NCIBLIND10/02-2,-308.523082088
NCIBLIND10/02-3,-308.5236343565
NCIBLIND10/02-4,-308.5224853051
NCIBLIND10/02-5,-308.5215751024
NCIBLIND10/02-6,-308.520994483
NCIBLIND10/02-7,-308.5203791191
NCIBLIND10/02-8,-308.5201165101
NCIBLIND10/02-9,-308.5199846222
NCIBLIND10/03-A,-154.9718474451
NCIBLIND10/03-B,-154.971842833
NCIBLIND10/03-1,-309.9437365212
NCIBLIND10/03-2,-309.9463783037
NCIBLIND10/03-3,-309.9451264384
NCIBLIND10/03-4,-309.9442319326
NCIBLIND10/03-5,-309.9439488463
NCIBLIND10/03-6,-309.9438321288
NCIBLIND10/03-7,-309.9437782522
NCIBLIND10/04-A,-599.2996805766
NCIBLIND10/04-B,-599.300885258
NCIBLIND10/04-1,-1198.607787241
NCIBLIND10/04-2,-1198.6147946905
NCIBLIND10/04-3,-1198.611685132
NCIBLIND10/04-4,-1198.6063761626
NCIBLIND10/04-5,0
NCIBLIND10/04-6,-1198.6024149359
NCIBLIND10/04-7,-1198.6016559256
NCIBLIND10/04-8,-1198.6012215405
NCIBLIND10/05-A,-598.1359671921
NCIBLIND10/05-B,-598.1359286632
NCIBLIND10/05-1,-1196.2885772307
NCIBLIND10/05-2,-1196.290905798
NCIBLIND10/05-3,-1196.2837014757
NCIBLIND10/05-4,-1196.2786612683
NCIBLIND10/05-5,-1196.2762946107
NCIBLIND10/05-6,-1196.2749635175
NCIBLIND10/06-A,-226.1065326271
NCIBLIND10/06-B,-226.1075763702
NCIBLIND10/06-1,-452.2235662897
NCIBLIND10/06-2,-452.2298548472
NCIBLIND10/06-3,-452.2224133157
NCIBLIND10/06-4,-452.217942646
NCIBLIND10/06-5,-452.2162302351
NCIBLIND10/06-6,-452.2154178386
NCIBLIND10/06-7,-452.2149796693
NCIBLIND10/07-A,-228.983601521
NCIBLIND10/07-B,-228.9839873555
NCIBLIND10/07-1,-457.9707683455
NCIBLIND10/07-2,-457.9717171255
NCIBLIND10/07-3,-457.9695332998
NCIBLIND10/07-4,-457.9683041453
NCIBLIND10/07-5,-457.9678894915
NCIBLIND10/07-6,-457.9677228281
NCIBLIND10/08-A,-436.5607219047
NCIBLIND10/08-B,-436.5607219043
NCIBLIND10/08-1,-873.1135388997
NCIBLIND10/08-2,-873.1265188215
NCIBLIND10/08-3,-873.1265148304
NCIBLIND10/08-4,-873.123670759
NCIBLIND10/08-5,-873.1226637423
NCIBLIND10/08-6,-873.1222304757
NCIBLIND10/08-7,-873.1220361293
NCIBLIND10/09-A,-244.9350669061
NCIBLIND10/09-B,-244.9350137958
NCIBLIND10/09-1,-489.8719744524
NCIBLIND10/09-2,-489.8778610994
NCIBLIND10/09-3,-489.874858189
NCIBLIND10/09-4,-489.8723717254
NCIBLIND10/09-5,-489.8713705144
NCIBLIND10/09-6,-489.8708791451
NCIBLIND10/09-7,-489.870611779
NCIBLIND10/10-A,-76.4132285057
NCIBLIND10/10-B,-76.4133577933
NCIBLIND10/10-1,-152.8141935208
NCIBLIND10/10-2,-152.8320506352
NCIBLIND10/10-3,-152.8348921084
NCIBLIND10/10-4,-152.8337865417
NCIBLIND10/10-5,-152.8320825624
NCIBLIND10/10-6,-152.8299008675
NCIBLIND10/10-7,-152.8286335701
NCIBLIND10/10-8,-152.8279396224
NCIBLIND10/10-9,-152.8275263272
NCIBLIND10/10-10,-152.8272622591
NCIBLIND10/10-11,-152.8270851298
NCIBLIND10/10-12,-152.8269628593
NCIBLIND10/10-13,-152.8268769023
NCIBLIND10/10-14,-152.8268131847
NCIBLIND10/10-15,-152.8267651985
NCIBLIND10/10-16,-152.8267282631
