system,B97/def2-QZVP/ORCA
S66x8/66-200,-344.1767439554
NCIBLIND10/01-A,-232.2645499679
NCIBLIND10/01-B,-40.5215443321
NCIBLIND10/01-1,-272.7811245841
NCIBLIND10/01-2,-272.7859715984
NCIBLIND10/01-3,-272.7864914354
NCIBLIND10/01-4,-272.7862060878
NCIBLIND10/01-5,-272.7861247071
NCIBLIND10/01-6,-272.7861055782
NCIBLIND10/01-7,-272.786099483
NCIBLIND10/02-A,-232.2655580892
NCIBLIND10/02-B,-76.4434787494
NCIBLIND10/02-1,-308.6947739865
NCIBLIND10/02-2,-308.7103040179
NCIBLIND10/02-3,-308.7121727936
NCIBLIND10/02-4,-308.7115578891
NCIBLIND10/02-5,-308.7107755623
NCIBLIND10/02-6,-308.7102071543
NCIBLIND10/02-7,-308.709585418
NCIBLIND10/02-8,-308.7093435014
NCIBLIND10/02-9,-308.7092277465
NCIBLIND10/03-A,-155.0622227292
NCIBLIND10/03-B,-155.0621573657
NCIBLIND10/03-1,-310.1207966094
NCIBLIND10/03-2,-310.1249705955
NCIBLIND10/03-3,-310.1256595931
NCIBLIND10/03-4,-310.1248713642
NCIBLIND10/03-5,-310.1245874759
NCIBLIND10/03-6,-310.1244910567
NCIBLIND10/03-7,-310.1244517523
NCIBLIND10/04-A,-599.5801981806
NCIBLIND10/04-B,-599.5808655331
NCIBLIND10/04-1,-1199.1552299025
NCIBLIND10/04-2,-1199.1659868558
NCIBLIND10/04-3,-1199.1697774073
NCIBLIND10/04-4,-1199.1662752816
NCIBLIND10/04-5,-1199.1640498157
NCIBLIND10/04-6,-1199.162797867
NCIBLIND10/04-7,-1199.1620881997
NCIBLIND10/04-8,-1199.1616854135
NCIBLIND10/05-A,-598.4085595904
NCIBLIND10/05-B,-598.4086762939
NCIBLIND10/05-1,-1196.8292361189
NCIBLIND10/05-2,-1196.8328558715
NCIBLIND10/05-3,-1196.8287362045
NCIBLIND10/05-4,-1196.8239891271
NCIBLIND10/05-5,-1196.8216391842
NCIBLIND10/05-6,-1196.820324706
NCIBLIND10/06-A,-226.2410672028
NCIBLIND10/06-B,-226.2419350734
NCIBLIND10/06-1,-452.4897272757
NCIBLIND10/06-2,-452.4966721229
NCIBLIND10/06-3,-452.4908660004
NCIBLIND10/06-4,-452.4866723836
NCIBLIND10/06-5,-452.4850113971
NCIBLIND10/06-6,-452.4842411235
NCIBLIND10/06-7,-452.4838298297
NCIBLIND10/07-A,-229.0948819224
NCIBLIND10/07-B,-229.095213809
NCIBLIND10/07-1,-458.1908991763
NCIBLIND10/07-2,-458.192584792
NCIBLIND10/07-3,-458.1919089274
NCIBLIND10/07-4,-458.1907553204
NCIBLIND10/07-5,-458.1903512081
NCIBLIND10/07-6,-458.1902043011
NCIBLIND10/08-A,-436.7975483597
NCIBLIND10/08-B,-436.7975489761
NCIBLIND10/08-1,-873.5691561247
NCIBLIND10/08-2,-873.5883607795
NCIBLIND10/08-3,-873.597930952
NCIBLIND10/08-4,-873.5967040609
NCIBLIND10/08-5,-873.5960645053
NCIBLIND10/08-6,-873.5957818906
NCIBLIND10/08-7,-873.5956555787
NCIBLIND10/09-A,-245.0492671183
NCIBLIND10/09-B,-245.0492047733
NCIBLIND10/09-1,-490.0933042948
NCIBLIND10/09-2,-490.102166681
NCIBLIND10/09-3,-490.1028563837
NCIBLIND10/09-4,-490.100686056
NCIBLIND10/09-5,-490.0997095256
NCIBLIND10/09-6,-490.0992447911
NCIBLIND10/09-7,-490.0989919148
NCIBLIND10/10-A,-76.4435999399
NCIBLIND10/10-B,-76.4436393517
NCIBLIND10/10-1,-152.8729320618
NCIBLIND10/10-2,-152.891277131
NCIBLIND10/10-3,-152.8946911531
NCIBLIND10/10-4,-152.8940404868
NCIBLIND10/10-5,-152.8926138935
NCIBLIND10/10-6,-152.8906021401
NCIBLIND10/10-7,-152.8894249351
NCIBLIND10/10-8,-152.8886946872
NCIBLIND10/10-9,-152.8882611686
NCIBLIND10/10-10,-152.8879919931
NCIBLIND10/10-11,-152.8878162329
NCIBLIND10/10-12,-152.8876973785
NCIBLIND10/10-13,-152.8876142398
NCIBLIND10/10-14,-152.8875531892
NCIBLIND10/10-15,-152.8875068449
NCIBLIND10/10-16,-152.8874711904
