system,LC-DFTB2/ob2-1-1-base/dftb+
S66x8/66-150,-22.6939879627
S66x8/66-200,-22.6938357771
NCIBLIND10/01-A,-15.2215761656
NCIBLIND10/01-B,-3.8873523924
NCIBLIND10/01-1,-19.111018216
NCIBLIND10/01-2,-19.1094068146
NCIBLIND10/01-3,-19.1089696796
NCIBLIND10/01-4,-19.1089460295
NCIBLIND10/01-5,-19.1089363938
NCIBLIND10/01-6,-19.1089323157
NCIBLIND10/01-7,-19.1089304836
NCIBLIND10/02-A,-15.2216344805
NCIBLIND10/02-B,-4.7594883584
NCIBLIND10/02-1,-19.9860296041
NCIBLIND10/02-2,-19.984684887
NCIBLIND10/02-3,-19.9824300101
NCIBLIND10/02-4,-19.981948539
NCIBLIND10/02-5,-19.9817278135
NCIBLIND10/02-6,-19.9815704777
NCIBLIND10/02-7,-19.981374035
NCIBLIND10/02-8,-19.9812708861
NCIBLIND10/02-9,-19.9812146617
NCIBLIND10/03-A,-10.7363053877
NCIBLIND10/03-B,-10.7360849347
NCIBLIND10/03-1,-21.4766769199
NCIBLIND10/03-2,-21.4748612238
NCIBLIND10/03-3,-21.4728706882
NCIBLIND10/03-4,-21.4726252285
NCIBLIND10/03-5,-21.4725253763
NCIBLIND10/03-6,-21.4724761863
NCIBLIND10/03-7,-21.4724487253
NCIBLIND10/04-A,-33.5459470333
NCIBLIND10/04-B,-33.5466284277
NCIBLIND10/04-1,-67.1032400263
NCIBLIND10/04-2,-67.1047572278
NCIBLIND10/04-3,-67.0997729036
NCIBLIND10/04-4,-67.0973189823
NCIBLIND10/04-5,-67.0957588704
NCIBLIND10/04-6,-67.0946530869
NCIBLIND10/04-7,-67.0938985471
NCIBLIND10/04-8,-67.0934107507
NCIBLIND10/05-A,-32.6538486601
NCIBLIND10/05-B,-32.6547808131
NCIBLIND10/05-1,-65.3287559457
NCIBLIND10/05-2,-65.3299600648
NCIBLIND10/05-3,-65.3202916096
NCIBLIND10/05-4,-65.316282466
NCIBLIND10/05-5,-65.3139209119
NCIBLIND10/05-6,-65.3124469597
NCIBLIND10/06-A,-13.733761489
NCIBLIND10/06-B,-13.7347149701
NCIBLIND10/06-1,-27.4638338932
NCIBLIND10/06-2,-27.4785406327
NCIBLIND10/06-3,-27.4721196119
NCIBLIND10/06-4,-27.470418837
NCIBLIND10/06-5,-27.4696691437
NCIBLIND10/06-6,-27.4692632671
NCIBLIND10/06-7,-27.4690247298
NCIBLIND10/07-A,-13.7049731304
NCIBLIND10/07-B,-13.7049478593
NCIBLIND10/07-1,-27.4134242426
NCIBLIND10/07-2,-27.4131604277
NCIBLIND10/07-3,-27.4108200798
NCIBLIND10/07-4,-27.4102705802
NCIBLIND10/07-5,-27.4100646377
NCIBLIND10/07-6,-27.4099800351
NCIBLIND10/08-A,-25.2639007932
NCIBLIND10/08-B,-25.2639007932
NCIBLIND10/08-1,-50.5298145988
NCIBLIND10/08-2,-50.5315046524
NCIBLIND10/08-3,-50.529789166
NCIBLIND10/08-4,-50.5291321486
NCIBLIND10/08-5,-50.5287754035
NCIBLIND10/08-6,-50.5285443665
NCIBLIND10/08-7,-50.5284271729
NCIBLIND10/09-A,-13.91942206
NCIBLIND10/09-B,-13.919455497
NCIBLIND10/09-1,-27.8467177215
NCIBLIND10/09-2,-27.8482179998
NCIBLIND10/09-3,-27.8435579231
NCIBLIND10/09-4,-27.8414254945
NCIBLIND10/09-5,-27.8403887216
NCIBLIND10/09-6,-27.8398398364
NCIBLIND10/09-7,-27.8395257638
NCIBLIND10/10-A,-4.759502425
NCIBLIND10/10-B,-4.7591804814
NCIBLIND10/10-1,-9.4882546062
NCIBLIND10/10-2,-9.5200994792
NCIBLIND10/10-3,-9.525195539
NCIBLIND10/10-4,-9.5234205771
NCIBLIND10/10-5,-9.521649518
NCIBLIND10/10-6,-9.5203340477
NCIBLIND10/10-7,-9.5201454997
NCIBLIND10/10-8,-9.5198230278
NCIBLIND10/10-9,-9.5196092494
NCIBLIND10/10-10,-9.5194637767
NCIBLIND10/10-11,-9.5193620595
NCIBLIND10/10-12,-9.5192889821
NCIBLIND10/10-13,-9.5192356225
NCIBLIND10/10-14,-9.5191949839
NCIBLIND10/10-15,-9.519163792
NCIBLIND10/10-16,-9.5191394437
