system,r2SCAN/def2-QZVP/Turbomole
S66x8/66-150,-344.0873718553
S66x8/66-200,-344.0862139907
NCIBLIND10/01-A,-232.2027404261
NCIBLIND10/01-B,-40.503330903
NCIBLIND10/01-1,-272.7043901613
NCIBLIND10/01-2,-272.7073048164
NCIBLIND10/01-3,-272.7065477849
NCIBLIND10/01-4,-272.7061740716
NCIBLIND10/01-5,-272.70610244
NCIBLIND10/01-6,-272.7060846479
NCIBLIND10/01-7,-272.7060778998
NCIBLIND10/02-A,-232.2040704945
NCIBLIND10/02-B,-76.4286036066
NCIBLIND10/02-1,-308.6249784101
NCIBLIND10/02-2,-308.6374442178
NCIBLIND10/02-3,-308.6373184005
NCIBLIND10/02-4,-308.6357153965
NCIBLIND10/02-5,-308.6345551733
NCIBLIND10/02-6,-308.6338636516
NCIBLIND10/02-7,-308.6332203769
NCIBLIND10/02-8,-308.6329801798
NCIBLIND10/02-9,-308.6328646374
NCIBLIND10/03-A,-155.0230872257
NCIBLIND10/03-B,-155.0230777868
NCIBLIND10/03-1,-310.0468524777
NCIBLIND10/03-2,-310.0492273341
NCIBLIND10/03-3,-310.0475833613
NCIBLIND10/03-4,-310.0466195236
NCIBLIND10/03-5,-310.0463591029
NCIBLIND10/03-6,-310.0462713708
NCIBLIND10/03-7,-310.0462336427
NCIBLIND10/04-A,-599.4999446381
NCIBLIND10/04-B,-599.50118759
NCIBLIND10/04-1,-1199.0101149219
NCIBLIND10/04-2,-1199.0165500658
NCIBLIND10/04-3,-1199.0123636892
NCIBLIND10/04-4,-1199.0067378496
NCIBLIND10/04-5,-1199.0041203961
NCIBLIND10/04-6,-1199.0028348721
NCIBLIND10/04-7,-1199.0021352697
NCIBLIND10/04-8,-1199.0017409604
NCIBLIND10/05-A,-598.3371122969
NCIBLIND10/05-B,-598.3373765323
NCIBLIND10/05-1,-1196.6914918115
NCIBLIND10/05-2,-1196.6936374733
NCIBLIND10/05-3,-1196.6862924867
NCIBLIND10/05-4,-1196.6812415107
NCIBLIND10/05-5,-1196.6788931736
NCIBLIND10/05-6,-1196.6775807171
NCIBLIND10/06-A,-226.1903769994
NCIBLIND10/06-B,-226.1912639563
NCIBLIND10/06-1,-452.3908476712
NCIBLIND10/06-2,-452.3966274165
NCIBLIND10/06-3,-452.3894428336
NCIBLIND10/06-4,-452.3852492773
NCIBLIND10/06-5,-452.383643887
NCIBLIND10/06-6,-452.3828822403
NCIBLIND10/06-7,-452.3824710174
NCIBLIND10/07-A,-229.0522209733
NCIBLIND10/07-B,-229.0525013703
NCIBLIND10/07-1,-458.1075641903
NCIBLIND10/07-2,-458.1085838058
NCIBLIND10/07-3,-458.1065499813
NCIBLIND10/07-4,-458.1053380309
NCIBLIND10/07-5,-458.1049592407
NCIBLIND10/07-6,-458.1048208931
NCIBLIND10/08-A,-436.7210871604
NCIBLIND10/08-B,-436.7210871604
NCIBLIND10/08-1,-873.4353711479
NCIBLIND10/08-2,-873.4477003344
NCIBLIND10/08-3,-873.446701367
NCIBLIND10/08-4,-873.4439110786
NCIBLIND10/08-5,-873.443146239
NCIBLIND10/08-6,-873.4428584679
NCIBLIND10/08-7,-873.4427656538
NCIBLIND10/09-A,-245.0128880576
NCIBLIND10/09-B,-245.0128006726
NCIBLIND10/09-1,-490.0291801541
NCIBLIND10/09-2,-490.0343536493
NCIBLIND10/09-3,-490.0304196645
NCIBLIND10/09-4,-490.0278405584
NCIBLIND10/09-5,-490.0268867916
NCIBLIND10/09-6,-490.0264392462
NCIBLIND10/09-7,-490.0261941383
NCIBLIND10/10-A,-76.4287350636
NCIBLIND10/10-B,-76.4287514681
NCIBLIND10/10-1,-152.8464847654
NCIBLIND10/10-2,-152.8635612778
NCIBLIND10/10-3,-152.8660774075
NCIBLIND10/10-4,-152.8648337108
NCIBLIND10/10-5,-152.8630683112
NCIBLIND10/10-6,-152.8608360464
NCIBLIND10/10-7,-152.8596256751
NCIBLIND10/10-8,-152.858913362
NCIBLIND10/10-9,-152.8584916253
NCIBLIND10/10-10,-152.8582266192
NCIBLIND10/10-11,-152.8580520084
NCIBLIND10/10-12,-152.8579333882
NCIBLIND10/10-13,-152.8578504697
NCIBLIND10/10-14,-152.8577890266
NCIBLIND10/10-15,-152.8577427744
NCIBLIND10/10-16,-152.8577071596
