system,PWP1/def2-QZVP/ORCA
S66x8/66-200,-344.1840974181
NCIBLIND10/01-A,-232.2674471047
NCIBLIND10/01-B,-40.520238872
NCIBLIND10/01-1,-272.7862965026
NCIBLIND10/01-2,-272.7891581692
NCIBLIND10/01-3,-272.7884063025
NCIBLIND10/01-4,-272.7878811846
NCIBLIND10/01-5,-272.7877275907
NCIBLIND10/01-6,-272.7876983652
NCIBLIND10/01-7,-272.7876917564
NCIBLIND10/02-A,-232.2691527795
NCIBLIND10/02-B,-76.4457684623
NCIBLIND10/02-1,-308.707305735
NCIBLIND10/02-2,-308.7194799667
NCIBLIND10/02-3,-308.7194976695
NCIBLIND10/02-4,-308.7180793507
NCIBLIND10/02-5,-308.7169745909
NCIBLIND10/02-6,-308.7162604165
NCIBLIND10/02-7,-308.7155114849
NCIBLIND10/02-8,-308.7152458029
NCIBLIND10/02-9,-308.7151232622
NCIBLIND10/03-A,-155.0688086961
NCIBLIND10/03-B,-155.0687501134
NCIBLIND10/03-1,-310.1392768252
NCIBLIND10/03-2,-310.1412944212
NCIBLIND10/03-3,-310.139390682
NCIBLIND10/03-4,-310.1381824064
NCIBLIND10/03-5,-310.1377859236
NCIBLIND10/03-6,-310.1376726352
NCIBLIND10/03-7,-310.1376321841
NCIBLIND10/04-A,-599.6116611768
NCIBLIND10/04-B,-599.6126547057
NCIBLIND10/04-1,-1199.231972589
NCIBLIND10/04-2,-1199.2384800151
NCIBLIND10/04-3,-1199.2353601052
NCIBLIND10/04-4,-1199.2301928306
NCIBLIND10/04-5,-1199.2275108391
NCIBLIND10/04-6,-1199.2260979259
NCIBLIND10/04-7,-1199.225344677
NCIBLIND10/04-8,-1199.2249373795
NCIBLIND10/05-A,-598.4405669419
NCIBLIND10/05-B,-598.4406936786
NCIBLIND10/05-1,-1196.8994329688
NCIBLIND10/05-2,-1196.9013209216
NCIBLIND10/05-3,-1196.8934962469
NCIBLIND10/05-4,-1196.8881996192
NCIBLIND10/05-5,-1196.8857219771
NCIBLIND10/05-6,-1196.884384272
NCIBLIND10/06-A,-226.2471573483
NCIBLIND10/06-B,-226.2481785108
NCIBLIND10/06-1,-452.5066389528
NCIBLIND10/06-2,-452.5120930351
NCIBLIND10/06-3,-452.5038225958
NCIBLIND10/06-4,-452.499166718
NCIBLIND10/06-5,-452.4973956963
NCIBLIND10/06-6,-452.4965977025
NCIBLIND10/06-7,-452.4961793942
NCIBLIND10/07-A,-229.1014667564
NCIBLIND10/07-B,-229.1018680599
NCIBLIND10/07-1,-458.2076467978
NCIBLIND10/07-2,-458.2083158678
NCIBLIND10/07-3,-458.2055892525
NCIBLIND10/07-4,-458.2041017008
NCIBLIND10/07-5,-458.2036112417
NCIBLIND10/07-6,-458.2034516365
NCIBLIND10/08-A,-436.8105641202
NCIBLIND10/08-B,-436.8105651737
NCIBLIND10/08-1,-873.6092238638
NCIBLIND10/08-2,-873.6229191121
NCIBLIND10/08-3,-873.6253249026
NCIBLIND10/08-4,-873.6230527763
NCIBLIND10/08-5,-873.62215648
NCIBLIND10/08-6,-873.6218238655
NCIBLIND10/08-7,-873.6217759039
NCIBLIND10/09-A,-245.056718052
NCIBLIND10/09-B,-245.0566382445
NCIBLIND10/09-1,-490.1161112849
NCIBLIND10/09-2,-490.1215872812
NCIBLIND10/09-3,-490.1184556083
NCIBLIND10/09-4,-490.1157405857
NCIBLIND10/09-5,-490.1146319221
NCIBLIND10/09-6,-490.1141489534
NCIBLIND10/09-7,-490.1138900788
NCIBLIND10/10-A,-76.445925792
NCIBLIND10/10-B,-76.4460171489
NCIBLIND10/10-1,-152.8831481431
NCIBLIND10/10-2,-152.8996760879
NCIBLIND10/10-3,-152.9016592642
NCIBLIND10/10-4,-152.9000554921
NCIBLIND10/10-5,-152.8980565531
NCIBLIND10/10-6,-152.89560913
NCIBLIND10/10-7,-152.8942353771
NCIBLIND10/10-8,-152.8934313121
NCIBLIND10/10-9,-152.8929597614
NCIBLIND10/10-10,-152.8926756058
NCIBLIND10/10-11,-152.8924951587
NCIBLIND10/10-12,-152.8923741935
NCIBLIND10/10-13,-152.892289246
NCIBLIND10/10-14,-152.8922268546
NCIBLIND10/10-15,-152.8921793635
NCIBLIND10/10-16,-152.8921428313
