system,revM11/def2-QZVP/Turbomole7.5.1
S66x8/66-150,-344.0584092596
S66x8/66-200,-344.0571238815
NCIBLIND10/01-A,-232.1582008574
NCIBLIND10/01-B,-40.5051100951
NCIBLIND10/01-1,-272.663362724
NCIBLIND10/01-2,-272.6658686594
NCIBLIND10/01-3,-272.6639785837
NCIBLIND10/01-4,-272.6634330002
NCIBLIND10/01-5,-272.6633458712
NCIBLIND10/01-6,-272.66332544
NCIBLIND10/01-7,-272.6633181127
NCIBLIND10/02-A,-232.1599988537
NCIBLIND10/02-B,-76.4390247836
NCIBLIND10/02-1,-308.5923421284
NCIBLIND10/02-2,-308.6054045462
NCIBLIND10/02-3,-308.6047490549
NCIBLIND10/02-4,-308.6024644895
NCIBLIND10/02-5,-308.6009968577
NCIBLIND10/02-6,-308.6002695324
NCIBLIND10/02-7,-308.5996290342
NCIBLIND10/02-8,-308.5993670899
NCIBLIND10/02-9,-308.599237435
NCIBLIND10/03-A,-155.0307084841
NCIBLIND10/03-B,-155.0306811427
NCIBLIND10/03-1,-310.0650329865
NCIBLIND10/03-2,-310.0671458909
NCIBLIND10/03-3,-310.0633110242
NCIBLIND10/03-4,-310.0619344868
NCIBLIND10/03-5,-310.0616226448
NCIBLIND10/03-6,-310.0615198899
NCIBLIND10/03-7,-310.0614744245
NCIBLIND10/04-A,-599.4987308621
NCIBLIND10/04-B,-599.5003768076
NCIBLIND10/04-1,-1199.0131184767
NCIBLIND10/04-2,-1199.0200402275
NCIBLIND10/04-3,-1199.0124644441
NCIBLIND10/04-4,-1199.0049186436
NCIBLIND10/04-5,-1199.0021338361
NCIBLIND10/04-6,-1199.0008853593
NCIBLIND10/04-7,-1199.0001664679
NCIBLIND10/04-8,-1198.9997533001
NCIBLIND10/05-A,-598.3202334829
NCIBLIND10/05-B,-598.3204508455
NCIBLIND10/05-1,-1196.6573529569
NCIBLIND10/05-2,-1196.6603357794
NCIBLIND10/05-3,-1196.6527889853
NCIBLIND10/05-4,-1196.6475050601
NCIBLIND10/05-5,-1196.645160741
NCIBLIND10/05-6,-1196.6438320183
NCIBLIND10/06-A,-226.177513894
NCIBLIND10/06-B,-226.17850583
NCIBLIND10/06-1,-452.364233753
NCIBLIND10/06-2,-452.3710148745
NCIBLIND10/06-3,-452.3643578569
NCIBLIND10/06-4,-452.3598413207
NCIBLIND10/06-5,-452.358140461
NCIBLIND10/06-6,-452.357333022
NCIBLIND10/06-7,-452.3568983573
NCIBLIND10/07-A,-229.0593852577
NCIBLIND10/07-B,-229.059752476
NCIBLIND10/07-1,-458.124313866
NCIBLIND10/07-2,-458.1250763525
NCIBLIND10/07-3,-458.1213638215
NCIBLIND10/07-4,-458.1198797427
NCIBLIND10/07-5,-458.1194407494
NCIBLIND10/07-6,-458.119274514
NCIBLIND10/08-A,-436.6711708044
NCIBLIND10/08-B,-436.6711708044
NCIBLIND10/08-1,-873.3409227934
NCIBLIND10/08-2,-873.3536046904
NCIBLIND10/08-3,-873.3478866141
NCIBLIND10/08-4,-873.3440728498
NCIBLIND10/08-5,-873.3433292132
NCIBLIND10/08-6,-873.3430457712
NCIBLIND10/08-7,-873.3430132931
NCIBLIND10/09-A,-245.0135437991
NCIBLIND10/09-B,-245.0134500408
NCIBLIND10/09-1,-490.0333893925
NCIBLIND10/09-2,-490.0389133091
NCIBLIND10/09-3,-490.0324554981
NCIBLIND10/09-4,-490.0294198968
NCIBLIND10/09-5,-490.0283620658
NCIBLIND10/09-6,-490.0278543655
NCIBLIND10/09-7,-490.0275740852
NCIBLIND10/10-A,-76.4391653358
NCIBLIND10/10-B,-76.4390973328
NCIBLIND10/10-1,-152.8661649233
NCIBLIND10/10-2,-152.8840764522
NCIBLIND10/10-3,-152.8871266055
NCIBLIND10/10-4,-152.8860637792
NCIBLIND10/10-5,-152.8842501172
NCIBLIND10/10-6,-152.8818217684
NCIBLIND10/10-7,-152.8806128495
NCIBLIND10/10-8,-152.8798622587
NCIBLIND10/10-9,-152.8794192401
NCIBLIND10/10-10,-152.8791376813
NCIBLIND10/10-11,-152.8789515657
NCIBLIND10/10-12,-152.8788241816
NCIBLIND10/10-13,-152.8787349507
NCIBLIND10/10-14,-152.8786686585
NCIBLIND10/10-15,-152.8786186238
NCIBLIND10/10-16,-152.8785800649
