system,B1B95/def2-QZVP/ORCA
NCIBLIND10/01-A,-232.2282137517
NCIBLIND10/01-B,-40.5012333756
NCIBLIND10/01-1,-272.7255800706
NCIBLIND10/01-2,-272.729250672
NCIBLIND10/01-3,-272.7294267807
NCIBLIND10/01-4,-272.7294879057
NCIBLIND10/01-5,-272.7294574524
NCIBLIND10/01-6,-272.7294583496
NCIBLIND10/01-7,-272.7294541355
NCIBLIND10/02-A,-232.2300948086
NCIBLIND10/02-B,-76.440618791
NCIBLIND10/02-1,-308.6598411676
NCIBLIND10/02-2,-308.6725578485
NCIBLIND10/02-3,-308.6734561667
NCIBLIND10/02-4,-308.6726838229
NCIBLIND10/02-5,-308.6719826602
NCIBLIND10/02-6,-308.6716723457
NCIBLIND10/02-7,-308.6712503677
NCIBLIND10/02-8,-308.6710260182
NCIBLIND10/02-9,-308.6709097627
NCIBLIND10/03-A,-155.0368376266
NCIBLIND10/03-B,-155.0368118028
NCIBLIND10/03-1,-310.0703862584
NCIBLIND10/03-2,-310.0736912184
NCIBLIND10/03-3,-310.0742734172
NCIBLIND10/03-4,-310.0739149693
NCIBLIND10/03-5,-310.0738147963
NCIBLIND10/03-6,-310.0737542997
NCIBLIND10/03-7,-310.0737196789
NCIBLIND10/04-A,-599.5789876464
NCIBLIND10/04-B,-599.5798216196
NCIBLIND10/04-1,-1199.1586757999
NCIBLIND10/04-2,-1199.1663140467
NCIBLIND10/04-3,-1199.1661540821
NCIBLIND10/04-4,-1199.1629835543
NCIBLIND10/04-5,-1199.1613925555
NCIBLIND10/04-6,-1199.1604354937
NCIBLIND10/04-7,-1199.1598068492
NCIBLIND10/04-8,-1199.1594235638
NCIBLIND10/05-A,-598.4190850625
NCIBLIND10/05-B,-598.419097606
NCIBLIND10/05-1,-1196.8498995762
NCIBLIND10/05-2,-1196.8530077861
NCIBLIND10/05-3,-1196.8487816288
NCIBLIND10/05-4,-1196.844714747
NCIBLIND10/05-5,-1196.8425696899
NCIBLIND10/05-6,-1196.8412822987
NCIBLIND10/06-A,-226.2246780321
NCIBLIND10/06-B,-226.2257159051
NCIBLIND10/06-1,-452.4558332749
NCIBLIND10/06-2,-452.4628736729
NCIBLIND10/06-3,-452.4574638471
NCIBLIND10/06-4,-452.4538463169
NCIBLIND10/06-5,-452.4523603385
NCIBLIND10/06-6,-452.4516268304
NCIBLIND10/06-7,-452.4512200595
NCIBLIND10/07-A,-229.0848840333
NCIBLIND10/07-B,-229.0852812865
NCIBLIND10/07-1,-458.1703633866
NCIBLIND10/07-2,-458.1716572311
NCIBLIND10/07-3,-458.1713776879
NCIBLIND10/07-4,-458.1706849361
NCIBLIND10/07-5,-458.1704014271
NCIBLIND10/07-6,-458.17027188
NCIBLIND10/08-A,-436.7798198354
NCIBLIND10/08-B,-436.7798198444
NCIBLIND10/08-1,-873.5440347862
NCIBLIND10/08-2,-873.5569769132
NCIBLIND10/08-3,-873.5610211904
NCIBLIND10/08-4,-873.5608280187
NCIBLIND10/08-5,-873.5605262388
NCIBLIND10/08-6,-873.5603147222
NCIBLIND10/08-7,-873.5602746499
NCIBLIND10/09-A,-245.0462515052
NCIBLIND10/09-B,-245.046161502
NCIBLIND10/09-1,-490.0901175195
NCIBLIND10/09-2,-490.096604673
NCIBLIND10/09-3,-490.0959911174
NCIBLIND10/09-4,-490.0944513878
NCIBLIND10/09-5,-490.093629981
NCIBLIND10/09-6,-490.0931916713
NCIBLIND10/09-7,-490.0929389304
NCIBLIND10/10-A,-76.4408082787
NCIBLIND10/10-B,-76.4408998524
NCIBLIND10/10-1,-152.8667123515
NCIBLIND10/10-2,-152.8849026636
NCIBLIND10/10-3,-152.8882228495
NCIBLIND10/10-4,-152.8875979833
NCIBLIND10/10-5,-152.8862910503
NCIBLIND10/10-6,-152.8846216054
NCIBLIND10/10-7,-152.883595669
NCIBLIND10/10-8,-152.8830050273
NCIBLIND10/10-9,-152.8826341047
NCIBLIND10/10-10,-152.8823887983
NCIBLIND10/10-11,-152.8822206249
NCIBLIND10/10-12,-152.882103034
NCIBLIND10/10-13,-152.8820200294
NCIBLIND10/10-14,-152.8819583206
NCIBLIND10/10-15,-152.8819117527
NCIBLIND10/10-16,-152.8818758384
