system,OLYP/def2-QZVP/ORCA
S66x8/66-200,-344.1651908882
NCIBLIND10/01-A,-232.2528602466
NCIBLIND10/01-B,-40.5136102101
NCIBLIND10/01-1,-272.7558416398
NCIBLIND10/01-2,-272.7634554598
NCIBLIND10/01-3,-272.7664621972
NCIBLIND10/01-4,-272.7665815587
NCIBLIND10/01-5,-272.7665156164
NCIBLIND10/01-6,-272.7664857457
NCIBLIND10/01-7,-272.766477068
NCIBLIND10/02-A,-232.2535021821
NCIBLIND10/02-B,-76.4484637482
NCIBLIND10/02-1,-308.6794146161
NCIBLIND10/02-2,-308.6976702963
NCIBLIND10/02-3,-308.7024703011
NCIBLIND10/02-4,-308.7035305633
NCIBLIND10/02-5,-308.7034696059
NCIBLIND10/02-6,-308.7031106662
NCIBLIND10/02-7,-308.7024910377
NCIBLIND10/02-8,-308.702249452
NCIBLIND10/02-9,-308.7021405957
NCIBLIND10/03-A,-155.0538870241
NCIBLIND10/03-B,-155.0538244665
NCIBLIND10/03-1,-310.0955552086
NCIBLIND10/03-2,-310.1027524138
NCIBLIND10/03-3,-310.1082605789
NCIBLIND10/03-4,-310.1081950222
NCIBLIND10/03-5,-310.1079223904
NCIBLIND10/03-6,-310.107812919
NCIBLIND10/03-7,-310.1077738495
NCIBLIND10/04-A,-599.6414918218
NCIBLIND10/04-B,-599.6416817925
NCIBLIND10/04-1,-1199.2571766169
NCIBLIND10/04-2,-1199.2729288945
NCIBLIND10/04-3,0
NCIBLIND10/04-4,-1199.2877329337
NCIBLIND10/04-5,-1199.2861218279
NCIBLIND10/04-6,-1199.284898586
NCIBLIND10/04-7,-1199.2841699973
NCIBLIND10/04-8,-1199.2837710666
NCIBLIND10/05-A,-598.4742728738
NCIBLIND10/05-B,-598.4744724579
NCIBLIND10/05-1,-1196.9523845627
NCIBLIND10/05-2,-1196.9577312055
NCIBLIND10/05-3,-1196.9592383622
NCIBLIND10/05-4,-1196.9553618214
NCIBLIND10/05-5,-1196.9530270092
NCIBLIND10/05-6,-1196.9517152469
NCIBLIND10/06-A,-226.2471259516
NCIBLIND10/06-B,-226.2477742507
NCIBLIND10/06-1,-452.4970221882
NCIBLIND10/06-2,-452.504607687
NCIBLIND10/06-3,-452.5018305261
NCIBLIND10/06-4,-452.4984629926
NCIBLIND10/06-5,-452.496863766
NCIBLIND10/06-6,-452.4960882995
NCIBLIND10/06-7,-452.4956848756
NCIBLIND10/07-A,-229.103240081
NCIBLIND10/07-B,-229.1034998273
NCIBLIND10/07-1,-458.2016869575
NCIBLIND10/07-2,-458.2048322969
NCIBLIND10/07-3,-458.2079726724
NCIBLIND10/07-4,-458.2073447489
NCIBLIND10/07-5,-458.2069668461
NCIBLIND10/07-6,-458.206823
NCIBLIND10/08-A,-436.8218010722
NCIBLIND10/08-B,-436.8218010723
NCIBLIND10/08-1,-873.5966193046
NCIBLIND10/08-2,-873.6218162092
NCIBLIND10/08-3,-873.6438983181
NCIBLIND10/08-4,-873.6450054748
NCIBLIND10/08-5,-873.6445253219
NCIBLIND10/08-6,-873.644242075
NCIBLIND10/08-7,-873.6441307364
NCIBLIND10/09-A,-245.0779856036
NCIBLIND10/09-B,-245.0779141455
NCIBLIND10/09-1,-490.1390778671
NCIBLIND10/09-2,-490.1520205609
NCIBLIND10/09-3,-490.159323974
NCIBLIND10/09-4,-490.1579959956
NCIBLIND10/09-5,-490.1570490512
NCIBLIND10/09-6,-490.1565997354
NCIBLIND10/09-7,-490.1563679456
NCIBLIND10/10-A,-76.448518319
NCIBLIND10/10-B,-76.448419621
NCIBLIND10/10-1,-152.8784145039
NCIBLIND10/10-2,-152.8971591763
NCIBLIND10/10-3,-152.9016005915
NCIBLIND10/10-4,-152.9020402967
NCIBLIND10/10-5,-152.9014289593
NCIBLIND10/10-6,-152.9001058041
NCIBLIND10/10-7,-152.8992073633
NCIBLIND10/10-8,-152.8984995197
NCIBLIND10/10-9,-152.8980445322
NCIBLIND10/10-10,-152.8977569807
NCIBLIND10/10-11,-152.8975733964
NCIBLIND10/10-12,-152.8974539186
NCIBLIND10/10-13,-152.8973731603
NCIBLIND10/10-14,-152.8973143348
NCIBLIND10/10-15,-152.8972702486
NCIBLIND10/10-16,-152.8972363301
