system,B1PW/def2-QZVP/ORCA
S66x8/66-200,-344.2130580142
NCIBLIND10/01-A,-232.2890509815
NCIBLIND10/01-B,-40.5280127838
NCIBLIND10/01-1,-272.8112576647
NCIBLIND10/01-2,-272.8155926724
NCIBLIND10/01-3,-272.8168134189
NCIBLIND10/01-4,-272.8170387082
NCIBLIND10/01-5,-272.817077159
NCIBLIND10/01-6,-272.8170760854
NCIBLIND10/01-7,-272.8170712258
NCIBLIND10/02-A,-232.2907486623
NCIBLIND10/02-B,-76.4502306767
NCIBLIND10/02-1,-308.7274148075
NCIBLIND10/02-2,-308.7410747652
NCIBLIND10/02-3,-308.7426596475
NCIBLIND10/02-4,-308.7424771773
NCIBLIND10/02-5,-308.7421832801
NCIBLIND10/02-6,-308.7419222256
NCIBLIND10/02-7,-308.7415176691
NCIBLIND10/02-8,-308.7413001503
NCIBLIND10/02-9,-308.7411807242
NCIBLIND10/03-A,-155.0792544584
NCIBLIND10/03-B,-155.0792099083
NCIBLIND10/03-1,-310.1529726794
NCIBLIND10/03-2,-310.1567276037
NCIBLIND10/03-3,-310.1585835712
NCIBLIND10/03-4,-310.1586898361
NCIBLIND10/03-5,-310.1586277504
NCIBLIND10/03-6,-310.158569282
NCIBLIND10/03-7,-310.1585345662
NCIBLIND10/04-A,-599.6269443463
NCIBLIND10/04-B,-599.6276949231
NCIBLIND10/04-1,-1199.2471536672
NCIBLIND10/04-2,-1199.2562958355
NCIBLIND10/04-3,-1199.2600885733
NCIBLIND10/04-4,-1199.2584577392
NCIBLIND10/04-5,-1199.2571769972
NCIBLIND10/04-6,-1199.2562607928
NCIBLIND10/04-7,-1199.2556433144
NCIBLIND10/04-8,-1199.2552576198
NCIBLIND10/05-A,-598.4528003643
NCIBLIND10/05-B,-598.4529254566
NCIBLIND10/05-1,-1196.9165994749
NCIBLIND10/05-2,-1196.9196554261
NCIBLIND10/05-3,-1196.9160418886
NCIBLIND10/05-4,0
NCIBLIND10/05-5,-1196.9101269463
NCIBLIND10/05-6,-1196.9088367299
NCIBLIND10/06-A,-226.2625213134
NCIBLIND10/06-B,-226.2635579095
NCIBLIND10/06-1,-452.5328496773
NCIBLIND10/06-2,-452.5391779345
NCIBLIND10/06-3,-452.5331322838
NCIBLIND10/06-4,-452.5295453936
NCIBLIND10/06-5,-452.5280694687
NCIBLIND10/06-6,-452.5273281018
NCIBLIND10/06-7,-452.5269168347
NCIBLIND10/07-A,-229.1123562939
NCIBLIND10/07-B,-229.1127922788
NCIBLIND10/07-1,-458.2242852025
NCIBLIND10/07-2,-458.2258305602
NCIBLIND10/07-3,-458.2261574768
NCIBLIND10/07-4,-458.2256528736
NCIBLIND10/07-5,-458.2253861204
NCIBLIND10/07-6,-458.2252578211
NCIBLIND10/08-A,-436.8335702908
NCIBLIND10/08-B,-436.8335702908
NCIBLIND10/08-1,-873.6411754278
NCIBLIND10/08-2,-873.6577332344
NCIBLIND10/08-3,-873.6673931427
NCIBLIND10/08-4,-873.6681285135
NCIBLIND10/08-5,-873.6680069343
NCIBLIND10/08-6,-873.6678149346
NCIBLIND10/08-7,-873.6677712116
NCIBLIND10/09-A,-245.0670821303
NCIBLIND10/09-B,-245.0669863814
NCIBLIND10/09-1,-490.1277073804
NCIBLIND10/09-2,-490.1354158159
NCIBLIND10/09-3,-490.1371409549
NCIBLIND10/09-4,-490.1360370266
NCIBLIND10/09-5,-490.1352883752
NCIBLIND10/09-6,-490.1348497708
NCIBLIND10/09-7,-490.1345961549
NCIBLIND10/10-A,-76.4504340889
NCIBLIND10/10-B,-76.4505486172
NCIBLIND10/10-1,-152.8871382301
NCIBLIND10/10-2,-152.904632061
NCIBLIND10/10-3,-152.9075402613
NCIBLIND10/10-4,-152.9067545955
NCIBLIND10/10-5,-152.9054389993
NCIBLIND10/10-6,-152.9037934255
NCIBLIND10/10-7,-152.902826244
NCIBLIND10/10-8,-152.9022571342
NCIBLIND10/10-9,-152.9018928039
NCIBLIND10/10-10,-152.9016484038
NCIBLIND10/10-11,-152.9014798943
NCIBLIND10/10-12,-152.9013619464
NCIBLIND10/10-13,-152.9012785823
NCIBLIND10/10-14,-152.9012165407
NCIBLIND10/10-15,-152.9011697001
NCIBLIND10/10-16,-152.9011335721
