system,XLYP/def2-QZVP/ORCA
S66x8/66-150,-344.4561294306
S66x8/66-200,-344.45542071
NCIBLIND10/01-A,-232.452925476
NCIBLIND10/01-B,-40.5460869816
NCIBLIND10/01-1,-272.9923378538
NCIBLIND10/01-2,-272.9978745333
NCIBLIND10/01-3,-272.9990438732
NCIBLIND10/01-4,-272.9990407869
NCIBLIND10/01-5,-272.99902707
NCIBLIND10/01-6,-272.9990206877
NCIBLIND10/01-7,-272.9990177242
NCIBLIND10/02-A,-232.4531638034
NCIBLIND10/02-B,-76.5095425592
NCIBLIND10/02-1,-308.9457685224
NCIBLIND10/02-2,-308.9624100542
NCIBLIND10/02-3,-308.9648540546
NCIBLIND10/02-4,-308.9646302391
NCIBLIND10/02-5,-308.9641364829
NCIBLIND10/02-6,-308.9637169222
NCIBLIND10/02-7,-308.9631820332
NCIBLIND10/02-8,-308.9629763337
NCIBLIND10/02-9,-308.9628757575
NCIBLIND10/03-A,-155.1822827585
NCIBLIND10/03-B,-155.1822498573
NCIBLIND10/03-1,-310.359481499
NCIBLIND10/03-2,-310.3639756677
NCIBLIND10/03-3,-310.365327005
NCIBLIND10/03-4,-310.3649121659
NCIBLIND10/03-5,-310.364710269
NCIBLIND10/03-6,-310.3646317682
NCIBLIND10/03-7,-310.3645982901
NCIBLIND10/04-A,-600.1336639122
NCIBLIND10/04-B,-600.1337979916
NCIBLIND10/04-1,-1200.2582493416
NCIBLIND10/04-2,-1200.269774919
NCIBLIND10/04-3,0
NCIBLIND10/04-4,-1200.2720914779
NCIBLIND10/04-5,-1200.2702642441
NCIBLIND10/04-6,-1200.2691326461
NCIBLIND10/04-7,-1200.2684602123
NCIBLIND10/04-8,-1200.2680730014
NCIBLIND10/05-A,-598.9744662561
NCIBLIND10/05-B,-598.974849006
NCIBLIND10/05-1,-1197.9603446025
NCIBLIND10/05-2,-1197.9641456942
NCIBLIND10/05-3,-1197.9603449762
NCIBLIND10/05-4,-1197.9558688039
NCIBLIND10/05-5,-1197.9535999654
NCIBLIND10/05-6,-1197.9523143182
NCIBLIND10/06-A,-226.4342877637
NCIBLIND10/06-B,-226.4348837894
NCIBLIND10/06-1,-452.8741910977
NCIBLIND10/06-2,-452.8820613851
NCIBLIND10/06-3,-452.8767699341
NCIBLIND10/06-4,-452.8727342581
NCIBLIND10/06-5,-452.8711361774
NCIBLIND10/06-6,-452.8703780347
NCIBLIND10/06-7,-452.8699742984
NCIBLIND10/07-A,-229.2977015011
NCIBLIND10/07-B,-229.2978000851
NCIBLIND10/07-1,-458.5951274747
NCIBLIND10/07-2,-458.5969722086
NCIBLIND10/07-3,-458.596879786
NCIBLIND10/07-4,-458.5960370995
NCIBLIND10/07-5,-458.595710475
NCIBLIND10/07-6,-458.5955862332
NCIBLIND10/08-A,-437.1917318227
NCIBLIND10/08-B,-437.1917318228
NCIBLIND10/08-1,-874.351554862
NCIBLIND10/08-2,-874.3724070208
NCIBLIND10/08-3,-874.3847112137
NCIBLIND10/08-4,-874.3847072405
NCIBLIND10/08-5,-874.3843392424
NCIBLIND10/08-6,-874.3841130495
NCIBLIND10/08-7,-874.3839463626
NCIBLIND10/09-A,-245.2789548539
NCIBLIND10/09-B,-245.2789223949
NCIBLIND10/09-1,-490.5505361635
NCIBLIND10/09-2,-490.5600246258
NCIBLIND10/09-3,-490.5616391797
NCIBLIND10/09-4,-490.5598983004
NCIBLIND10/09-5,-490.5590300538
NCIBLIND10/09-6,-490.5585997673
NCIBLIND10/09-7,-490.5583637244
NCIBLIND10/10-A,-76.5094621449
NCIBLIND10/10-B,-76.5090897151
NCIBLIND10/10-1,-153.0033194619
NCIBLIND10/10-2,-153.0225489136
NCIBLIND10/10-3,-153.0261659477
NCIBLIND10/10-4,-153.025461255
NCIBLIND10/10-5,-153.0239437986
NCIBLIND10/10-6,-153.0218422481
NCIBLIND10/10-7,-153.0209814779
NCIBLIND10/10-8,-153.0202749438
NCIBLIND10/10-9,-153.01984988
NCIBLIND10/10-10,-153.0195830618
NCIBLIND10/10-11,-153.0194092042
NCIBLIND10/10-12,-153.0192923056
NCIBLIND10/10-13,-153.0192115104
NCIBLIND10/10-14,-153.0191519979
NCIBLIND10/10-15,-153.0191072361
NCIBLIND10/10-16,-153.0190727368
