system,BHLYP/def2-QZVP/TM
S66x8/66-200,-344.0774286184
NCIBLIND10/01-A,-232.1952742272
NCIBLIND10/01-B,-40.5046334398
NCIBLIND10/01-1,-272.6952894729
NCIBLIND10/01-2,-272.699662829
NCIBLIND10/01-3,-272.6999879804
NCIBLIND10/01-4,-272.6999165926
NCIBLIND10/01-5,-272.6999216309
NCIBLIND10/01-6,-272.699918167
NCIBLIND10/01-7,-272.699913913
NCIBLIND10/02-A,-232.1978870644
NCIBLIND10/02-B,-76.427793936
NCIBLIND10/02-1,-308.6122138922
NCIBLIND10/02-2,-308.6273663629
NCIBLIND10/02-3,-308.6286838121
NCIBLIND10/02-4,-308.6278897674
NCIBLIND10/02-5,-308.6271854892
NCIBLIND10/02-6,-308.626737459
NCIBLIND10/02-7,-308.6262490867
NCIBLIND10/02-8,-308.6260172553
NCIBLIND10/02-9,-308.625892018
NCIBLIND10/03-A,-155.022179284
NCIBLIND10/03-B,-155.0221443456
NCIBLIND10/03-1,-310.0422018952
NCIBLIND10/03-2,-310.0454660537
NCIBLIND10/03-3,-310.045183364
NCIBLIND10/03-4,-310.0446675661
NCIBLIND10/03-5,-310.044520527
NCIBLIND10/03-6,-310.0444456044
NCIBLIND10/03-7,-310.0444053022
NCIBLIND10/04-A,-599.4177328898
NCIBLIND10/04-B,-599.4189387488
NCIBLIND10/04-1,-1198.836020865
NCIBLIND10/04-2,-1198.845173513
NCIBLIND10/04-3,-1198.845582989
NCIBLIND10/04-4,-1198.841601853
NCIBLIND10/04-5,-1198.839576818
NCIBLIND10/04-6,-1198.838443083
NCIBLIND10/04-7,-1198.837755769
NCIBLIND10/04-8,-1198.837338278
NCIBLIND10/05-A,-598.2485477521
NCIBLIND10/05-B,-598.2484633604
NCIBLIND10/05-1,-1196.511898369
NCIBLIND10/05-2,-1196.514766344
NCIBLIND10/05-3,-1196.508654587
NCIBLIND10/05-4,-1196.503909772
NCIBLIND10/05-5,-1196.501608052
NCIBLIND10/05-6,-1196.500261847
NCIBLIND10/06-A,-226.1738723927
NCIBLIND10/06-B,-226.1753794883
NCIBLIND10/06-1,-452.3568395681
NCIBLIND10/06-2,-452.3637460929
NCIBLIND10/06-3,-452.3571056987
NCIBLIND10/06-4,-452.3529044469
NCIBLIND10/06-5,-452.3513044535
NCIBLIND10/06-6,-452.350536734
NCIBLIND10/06-7,-452.3501144827
NCIBLIND10/07-A,-229.0436337229
NCIBLIND10/07-B,-229.0442709541
NCIBLIND10/07-1,-458.0904652134
NCIBLIND10/07-2,-458.0914984561
NCIBLIND10/07-3,-458.0896072686
NCIBLIND10/07-4,-458.0885520463
NCIBLIND10/07-5,-458.0881974827
NCIBLIND10/07-6,-458.0880438028
NCIBLIND10/08-A,-436.6761020283
NCIBLIND10/08-B,-436.6761020283
NCIBLIND10/08-1,-873.3280696125
NCIBLIND10/08-2,-873.3465463928
NCIBLIND10/08-3,-873.354232566
NCIBLIND10/08-4,-873.3535292095
NCIBLIND10/08-5,-873.3531932237
NCIBLIND10/08-6,-873.3529580185
NCIBLIND10/08-7,-873.3528998482
NCIBLIND10/09-A,-244.9813514386
NCIBLIND10/09-B,-244.981242832
NCIBLIND10/09-1,-489.9616088916
NCIBLIND10/09-2,-489.968726706
NCIBLIND10/09-3,-489.9670519694
NCIBLIND10/09-4,-489.9648985335
NCIBLIND10/09-5,-489.9639683554
NCIBLIND10/09-6,-489.963470998
NCIBLIND10/09-7,-489.9631866973
NCIBLIND10/10-A,-76.4281786992
NCIBLIND10/10-B,-76.4285658015
NCIBLIND10/10-1,-152.8442067658
NCIBLIND10/10-2,-152.8620892765
NCIBLIND10/10-3,-152.8649556715
NCIBLIND10/10-4,-152.8638571321
NCIBLIND10/10-5,-152.8621631821
NCIBLIND10/10-6,-152.8600200013
NCIBLIND10/10-7,-152.8585757891
NCIBLIND10/10-8,-152.8578983431
NCIBLIND10/10-9,-152.8574956955
NCIBLIND10/10-10,-152.8572366417
NCIBLIND10/10-11,-152.8570608214
NCIBLIND10/10-12,-152.8569379729
NCIBLIND10/10-13,-152.8568510247
NCIBLIND10/10-14,-152.8567860387
NCIBLIND10/10-15,-152.8567368589
NCIBLIND10/10-16,-152.8566989733
