system,MN15-L/def2-QZVP/Turbomole7.5.1
S66x8/66-150,-344.1046963437
S66x8/66-200,-344.1031431098
NCIBLIND10/01-A,-232.2408768658
NCIBLIND10/01-B,-40.4962725711
NCIBLIND10/01-1,-272.7367770605
NCIBLIND10/01-2,-272.7406456664
NCIBLIND10/01-3,-272.7382199947
NCIBLIND10/01-4,-272.7373219313
NCIBLIND10/01-5,-272.7371852073
NCIBLIND10/01-6,-272.7371612022
NCIBLIND10/01-7,-272.7371543366
NCIBLIND10/02-A,-232.2408884115
NCIBLIND10/02-B,-76.4069905789
NCIBLIND10/02-1,-308.6379331875
NCIBLIND10/02-2,-308.6543654835
NCIBLIND10/02-3,-308.654622001
NCIBLIND10/02-4,-308.6519981973
NCIBLIND10/02-5,-308.6499573925
NCIBLIND10/02-6,-308.64902083
NCIBLIND10/02-7,-308.6483966148
NCIBLIND10/02-8,-308.6481651316
NCIBLIND10/02-9,-308.6480561574
NCIBLIND10/03-A,-155.0034340142
NCIBLIND10/03-B,-155.0033762127
NCIBLIND10/03-1,-310.010051929
NCIBLIND10/03-2,-310.0135600673
NCIBLIND10/03-3,-310.0092202384
NCIBLIND10/03-4,-310.007342667
NCIBLIND10/03-5,-310.0070053275
NCIBLIND10/03-6,-310.0069099258
NCIBLIND10/03-7,-310.0068728607
NCIBLIND10/04-A,-599.4292629477
NCIBLIND10/04-B,-599.4315398781
NCIBLIND10/04-1,-1198.8760264495
NCIBLIND10/04-2,-1198.8847737666
NCIBLIND10/04-3,-1198.8764788569
NCIBLIND10/04-4,-1198.8667583436
NCIBLIND10/04-5,-1198.8636601893
NCIBLIND10/04-6,-1198.8624780273
NCIBLIND10/04-7,-1198.8617869363
NCIBLIND10/04-8,-1198.8613988838
NCIBLIND10/05-A,-598.2717273338
NCIBLIND10/05-B,-598.2718737984
NCIBLIND10/05-1,-1196.5578421884
NCIBLIND10/05-2,-1196.562122422
NCIBLIND10/05-3,-1196.5558938494
NCIBLIND10/05-4,-1196.5502669006
NCIBLIND10/05-5,-1196.5479590169
NCIBLIND10/05-6,-1196.5466568219
NCIBLIND10/06-A,-226.2064676008
NCIBLIND10/06-B,-226.2069748355
NCIBLIND10/06-1,-452.4155938865
NCIBLIND10/06-2,-452.4248417794
NCIBLIND10/06-3,-452.4213564287
NCIBLIND10/06-4,-452.4170350903
NCIBLIND10/06-5,-452.4154134272
NCIBLIND10/06-6,-452.4146515623
NCIBLIND10/06-7,-452.4142468409
NCIBLIND10/07-A,-229.0334094702
NCIBLIND10/07-B,-229.0336707803
NCIBLIND10/07-1,-458.0707317302
NCIBLIND10/07-2,-458.072383656
NCIBLIND10/07-3,-458.0692630266
NCIBLIND10/07-4,-458.0677276128
NCIBLIND10/07-5,-458.067325556
NCIBLIND10/07-6,-458.0671818944
NCIBLIND10/08-A,-436.7353820782
NCIBLIND10/08-B,-436.7353820782
NCIBLIND10/08-1,-873.474090613
NCIBLIND10/08-2,-873.4879643923
NCIBLIND10/08-3,-873.4796157055
NCIBLIND10/08-4,-873.4728556885
NCIBLIND10/08-5,-873.4717591769
NCIBLIND10/08-6,-873.4714485556
NCIBLIND10/08-7,-873.4712859325
NCIBLIND10/09-A,-244.9803143179
NCIBLIND10/09-B,-244.9802007061
NCIBLIND10/09-1,-489.9667576382
NCIBLIND10/09-2,-489.9730502835
NCIBLIND10/09-3,-489.9659994395
NCIBLIND10/09-4,-489.9627128244
NCIBLIND10/09-5,-489.9617212807
NCIBLIND10/09-6,-489.9612652422
NCIBLIND10/09-7,-489.9610189675
NCIBLIND10/10-A,-76.4070673667
NCIBLIND10/10-B,-76.4070018807
NCIBLIND10/10-1,-152.7950171236
NCIBLIND10/10-2,-152.8157187444
NCIBLIND10/10-3,-152.8207501359
NCIBLIND10/10-4,-152.8208517582
NCIBLIND10/10-5,-152.8195939834
NCIBLIND10/10-6,-152.8174182017
NCIBLIND10/10-7,-152.8162468386
NCIBLIND10/10-8,-152.8155281319
NCIBLIND10/10-9,-152.8151156532
NCIBLIND10/10-10,-152.8148534101
NCIBLIND10/10-11,-152.8146815135
NCIBLIND10/10-12,-152.8145646805
NCIBLIND10/10-13,-152.8144839381
NCIBLIND10/10-14,-152.8144241137
NCIBLIND10/10-15,-152.8143791179
NCIBLIND10/10-16,-152.8143446042
