system,LC-BPW91/def2-QZVP/Gaussian
NCIBLIND10/04-2,-1197.13016811
NCIBLIND10/04-3,-1197.12539946
NCIBLIND10/04-4,-1197.12095029
NCIBLIND10/04-5,-1197.11885669
NCIBLIND10/04-6,-1197.11770179
NCIBLIND10/04-7,-1197.11700789
NCIBLIND10/04-8,-1197.11659454
NCIBLIND10/05-A,-597.383480094
NCIBLIND10/05-B,-597.383669819
NCIBLIND10/05-1,-1194.78463655
NCIBLIND10/05-2,-1194.78620644
NCIBLIND10/05-3,-1194.77867999
NCIBLIND10/05-4,-1194.77401489
NCIBLIND10/05-5,-1194.77169458
NCIBLIND10/05-6,-1194.77035309
NCIBLIND10/06-A,-225.754788804
NCIBLIND10/06-B,-225.756048814
NCIBLIND10/06-1,-451.522204701
NCIBLIND10/06-2,-451.527326556
NCIBLIND10/06-3,-451.519022758
NCIBLIND10/06-4,-451.514702871
NCIBLIND10/06-5,-451.513008903
NCIBLIND10/06-6,-451.512191337
NCIBLIND10/06-7,-451.511745792
NCIBLIND10/07-A,-228.684381875
NCIBLIND10/07-B,-228.68493024
NCIBLIND10/07-1,-457.373204149
NCIBLIND10/07-2,-457.37367092
NCIBLIND10/07-3,-457.371170137
NCIBLIND10/07-4,-457.37002421
NCIBLIND10/07-5,-457.369617071
NCIBLIND10/07-6,-457.369451804
NCIBLIND10/08-A,-435.898324052
NCIBLIND10/08-B,-435.898324052
NCIBLIND10/08-1,-871.789514489
NCIBLIND10/08-2,-871.79960508
NCIBLIND10/08-3,-871.79940661
NCIBLIND10/08-4,-871.798076579
NCIBLIND10/08-5,-871.797598587
NCIBLIND10/08-6,-871.79734431
NCIBLIND10/08-7,-871.797484875
NCIBLIND10/09-A,-244.627427338
NCIBLIND10/09-B,-244.627302856
NCIBLIND10/09-1,-489.259192276
NCIBLIND10/09-2,-489.262997799
NCIBLIND10/09-3,-489.259287483
NCIBLIND10/09-4,-489.257083548
NCIBLIND10/09-5,-489.256105882
NCIBLIND10/09-6,-489.255601267
NCIBLIND10/09-7,-489.255317739
NCIBLIND10/10-A,-76.3312179184
NCIBLIND10/10-B,-76.3312772753
NCIBLIND10/10-1,-152.654615366
NCIBLIND10/10-2,-152.670281087
NCIBLIND10/10-3,-152.671816093
NCIBLIND10/10-4,-152.670093255
NCIBLIND10/10-5,-152.668155106
NCIBLIND10/10-6,-152.665905966
NCIBLIND10/10-7,-152.664710351
NCIBLIND10/10-8,-152.664001565
NCIBLIND10/10-9,-152.663568148
NCIBLIND10/10-10,-152.663288319
NCIBLIND10/10-11,-152.66310061
NCIBLIND10/10-12,-152.662970881
NCIBLIND10/10-13,-152.662879212
NCIBLIND10/10-14,-152.662810991
NCIBLIND10/10-15,-152.662759441
NCIBLIND10/10-16,-152.662719663
