system,PBE0-2/def2-QZVP/ORCA
NCIBLIND10/01-A,-231.9884708777
NCIBLIND10/01-B,-40.4673923171
NCIBLIND10/01-1,-272.4557125033
NCIBLIND10/01-2,-272.4577945273
NCIBLIND10/01-3,-272.4566699682
NCIBLIND10/01-4,-272.45613115
NCIBLIND10/01-5,-272.4559633634
NCIBLIND10/01-6,-272.4559065935
NCIBLIND10/01-7,-272.4558843822
NCIBLIND10/02-A,-231.9904356913
NCIBLIND10/02-B,-76.3776583733
NCIBLIND10/02-1,-308.361406005
NCIBLIND10/02-2,-308.3728482519
NCIBLIND10/02-3,-308.3726488203
NCIBLIND10/02-4,-308.3712226916
NCIBLIND10/02-5,-308.3701587873
NCIBLIND10/02-6,-308.3694704876
NCIBLIND10/02-7,-308.3687551229
NCIBLIND10/02-8,-308.3684607255
NCIBLIND10/02-9,-308.3683179255
NCIBLIND10/03-A,-154.9006412764
NCIBLIND10/03-B,-154.9006382158
NCIBLIND10/03-1,-309.8028044988
NCIBLIND10/03-2,-309.8048536617
NCIBLIND10/03-3,-309.8030626929
NCIBLIND10/03-4,-309.8019439935
NCIBLIND10/03-5,-309.8015700004
NCIBLIND10/03-6,-309.801430623
NCIBLIND10/03-7,-309.8013709247
NCIBLIND10/04-A,-599.009296566
NCIBLIND10/04-B,-599.0107922537
NCIBLIND10/04-1,-1198.0321638034
NCIBLIND10/04-2,-1198.0374324489
NCIBLIND10/04-3,-1198.0322567689
NCIBLIND10/04-4,-1198.0263910913
NCIBLIND10/04-5,-1198.0234868655
NCIBLIND10/04-6,-1198.0219983017
NCIBLIND10/04-7,-1198.0211917166
NCIBLIND10/04-8,-1198.020745098
NCIBLIND10/05-A,-597.8408011824
NCIBLIND10/05-B,-597.8406866649
NCIBLIND10/05-1,-1195.6996089495
NCIBLIND10/05-2,-1195.7013896873
NCIBLIND10/05-3,-1195.6935341503
NCIBLIND10/05-4,-1195.6883510749
NCIBLIND10/05-5,-1195.685903685
NCIBLIND10/05-6,-1195.684555076
NCIBLIND10/06-A,-225.9959132915
NCIBLIND10/06-B,-225.99699837
NCIBLIND10/06-1,-452.0043442292
NCIBLIND10/06-2,-452.0096770351
NCIBLIND10/06-3,-452.0014396248
NCIBLIND10/06-4,-451.9968611458
NCIBLIND10/06-5,-451.9950776023
NCIBLIND10/06-6,-451.9942412346
NCIBLIND10/06-7,-451.9937951439
NCIBLIND10/07-A,-228.8700737673
NCIBLIND10/07-B,-228.8705320852
NCIBLIND10/07-1,-457.7445345632
NCIBLIND10/07-2,-457.7452758649
NCIBLIND10/07-3,-457.7428054644
NCIBLIND10/07-4,-457.7414132378
NCIBLIND10/07-5,-457.7409329649
NCIBLIND10/07-6,-457.7407498271
NCIBLIND10/08-A,-436.3412933225
NCIBLIND10/08-B,-436.3412933218
NCIBLIND10/08-1,-872.6842034452
NCIBLIND10/08-2,-872.6934376186
NCIBLIND10/08-3,-872.6891035645
NCIBLIND10/08-4,-872.6852820022
NCIBLIND10/08-5,-872.6839358108
NCIBLIND10/08-6,-872.6834076464
NCIBLIND10/08-7,-872.6832262831
NCIBLIND10/09-A,-244.8135313677
NCIBLIND10/09-B,-244.8134565648
NCIBLIND10/09-1,-489.6313696026
NCIBLIND10/09-2,-489.6360039161
NCIBLIND10/09-3,-489.6321200358
NCIBLIND10/09-4,-489.6294012985
NCIBLIND10/09-5,-489.628303856
NCIBLIND10/09-6,-489.6277926765
NCIBLIND10/09-7,-489.6275210655
NCIBLIND10/10-A,-76.3779395929
NCIBLIND10/10-B,-76.3782042368
NCIBLIND10/10-1,-152.7450910522
NCIBLIND10/10-2,-152.7621002178
NCIBLIND10/10-3,-152.7645693268
NCIBLIND10/10-4,-152.7633624532
NCIBLIND10/10-5,-152.7616632715
NCIBLIND10/10-6,-152.7595243402
NCIBLIND10/10-7,-152.7581424192
NCIBLIND10/10-8,-152.7574259498
NCIBLIND10/10-9,-152.7569949999
NCIBLIND10/10-10,-152.756721961
NCIBLIND10/10-11,-152.7565412062
NCIBLIND10/10-12,-152.7564173449
NCIBLIND10/10-13,-152.7563303569
NCIBLIND10/10-14,-152.7562659277
NCIBLIND10/10-15,-152.7562174266
NCIBLIND10/10-16,-152.7561801165
