system,MN12-sx/def2-QZVP/Turbomole7.5.1
S66x8/66-150,-344.0027612213
S66x8/66-200,-344.0021929512
NCIBLIND10/01-A,-232.1515691297
NCIBLIND10/01-B,-40.4853991078
NCIBLIND10/01-1,-272.6359846702
NCIBLIND10/01-2,-272.6385828184
NCIBLIND10/01-3,-272.6370837547
NCIBLIND10/01-4,-272.6371003336
NCIBLIND10/01-5,-272.6370285204
NCIBLIND10/01-6,-272.6369858814
NCIBLIND10/01-7,-272.6369745519
NCIBLIND10/02-A,-232.1532788386
NCIBLIND10/02-B,-76.4107124683
NCIBLIND10/02-1,-308.5542906916
NCIBLIND10/02-2,-308.5685762683
NCIBLIND10/02-3,-308.568246579
NCIBLIND10/02-4,-308.5664157819
NCIBLIND10/02-5,-308.5655617895
NCIBLIND10/02-6,-308.5651538522
NCIBLIND10/02-7,-308.5645881494
NCIBLIND10/02-8,-308.5643065515
NCIBLIND10/02-9,-308.5641836947
NCIBLIND10/03-A,-154.9802828791
NCIBLIND10/03-B,-154.9802190565
NCIBLIND10/03-1,-309.9614146252
NCIBLIND10/03-2,-309.9637764815
NCIBLIND10/03-3,-309.9611833037
NCIBLIND10/03-4,-309.9609433127
NCIBLIND10/03-5,-309.9607427087
NCIBLIND10/03-6,-309.9606167914
NCIBLIND10/03-7,-309.9605706623
NCIBLIND10/04-A,-599.3157125103
NCIBLIND10/04-B,-599.3174194877
NCIBLIND10/04-1,-1198.641681255
NCIBLIND10/04-2,-1198.6486984831
NCIBLIND10/04-3,-1198.6428031435
NCIBLIND10/04-4,-1198.6378476356
NCIBLIND10/04-5,-1198.6360600573
NCIBLIND10/04-6,-1198.6349243465
NCIBLIND10/04-7,-1198.6341742698
NCIBLIND10/04-8,-1198.6337526834
NCIBLIND10/05-A,-598.1621116762
NCIBLIND10/05-B,-598.1620822565
NCIBLIND10/05-1,-1196.3395604318
NCIBLIND10/05-2,-1196.3425117182
NCIBLIND10/05-3,-1196.3352945063
NCIBLIND10/05-4,-1196.331053402
NCIBLIND10/05-5,-1196.3287452801
NCIBLIND10/05-6,-1196.3273469466
NCIBLIND10/06-A,-226.1398312439
NCIBLIND10/06-B,-226.1407997951
NCIBLIND10/06-1,-452.2867346934
NCIBLIND10/06-2,-452.2938445613
NCIBLIND10/06-3,-452.2880677246
NCIBLIND10/06-4,-452.2842165385
NCIBLIND10/06-5,-452.282684842
NCIBLIND10/06-6,-452.2818771722
NCIBLIND10/06-7,-452.2814507309
NCIBLIND10/07-A,-228.9972136171
NCIBLIND10/07-B,-228.9976592253
NCIBLIND10/07-1,-457.9978619616
NCIBLIND10/07-2,-457.9987604575
NCIBLIND10/07-3,-457.9962868632
NCIBLIND10/07-4,-457.9955914535
NCIBLIND10/07-5,-457.9951795838
NCIBLIND10/07-6,-457.9949969387
NCIBLIND10/08-A,-436.6103661148
NCIBLIND10/08-B,-436.6103661148
NCIBLIND10/08-1,-873.216728396
NCIBLIND10/08-2,-873.2292565363
NCIBLIND10/08-3,-873.2242535557
NCIBLIND10/08-4,-873.2223045231
NCIBLIND10/08-5,-873.2218395633
NCIBLIND10/08-6,-873.2214731872
NCIBLIND10/08-7,-873.2214010921
NCIBLIND10/09-A,-244.936530797
NCIBLIND10/09-B,-244.936429151
NCIBLIND10/09-1,-489.8768076255
NCIBLIND10/09-2,-489.8817850018
NCIBLIND10/09-3,-489.8769922885
NCIBLIND10/09-4,-489.8752969766
NCIBLIND10/09-5,-489.8742978859
NCIBLIND10/09-6,-489.8737720214
NCIBLIND10/09-7,-489.8735032298
NCIBLIND10/10-A,-76.4108952911
NCIBLIND10/10-B,-76.4109458573
NCIBLIND10/10-1,-152.8069351415
NCIBLIND10/10-2,-152.8255823185
NCIBLIND10/10-3,-152.8293042558
NCIBLIND10/10-4,-152.8285968097
NCIBLIND10/10-5,-152.8269612148
NCIBLIND10/10-6,-152.8249139963
NCIBLIND10/10-7,-152.8239300771
NCIBLIND10/10-8,-152.8233308121
NCIBLIND10/10-9,-152.8229120674
NCIBLIND10/10-10,-152.8226166393
NCIBLIND10/10-11,-152.8224188738
NCIBLIND10/10-12,-152.8222886069
NCIBLIND10/10-13,-152.8222017182
NCIBLIND10/10-14,-152.8221375506
NCIBLIND10/10-15,-152.8220892461
NCIBLIND10/10-16,-152.8220523408
