system,X3LYP/def2-QZVP/ORCA
S66x8/66-200,-343.9887743352
NCIBLIND10/01-A,-232.129682873
NCIBLIND10/01-B,-40.4894381497
NCIBLIND10/01-1,-272.6142428158
NCIBLIND10/01-2,-272.6187890676
NCIBLIND10/01-3,-272.6192652615
NCIBLIND10/01-4,-272.6191599866
NCIBLIND10/01-5,-272.6191403565
NCIBLIND10/01-6,-272.6191322337
NCIBLIND10/01-7,-272.6191275584
NCIBLIND10/02-A,-232.1311134951
NCIBLIND10/02-B,-76.4178036875
NCIBLIND10/02-1,-308.5352084259
NCIBLIND10/02-2,-308.5502874763
NCIBLIND10/02-3,-308.5518017742
NCIBLIND10/02-4,-308.5511313266
NCIBLIND10/02-5,-308.5504554104
NCIBLIND10/02-6,-308.5499835684
NCIBLIND10/02-7,-308.5494477287
NCIBLIND10/02-8,-308.5492240062
NCIBLIND10/02-9,-308.5491093801
NCIBLIND10/03-A,-154.98478833
NCIBLIND10/03-B,-154.9847537292
NCIBLIND10/03-1,-309.9669308825
NCIBLIND10/03-2,-309.9704402337
NCIBLIND10/03-3,-309.9705012101
NCIBLIND10/03-4,-309.9699244734
NCIBLIND10/03-5,-309.9697299659
NCIBLIND10/03-6,-309.9696518874
NCIBLIND10/03-7,-309.9696146093
NCIBLIND10/04-A,-599.3593417546
NCIBLIND10/04-B,-599.3600367287
NCIBLIND10/04-1,-1198.7168647439
NCIBLIND10/04-2,-1198.7264382966
NCIBLIND10/04-3,-1198.7279456016
NCIBLIND10/04-4,-1198.7242831784
NCIBLIND10/04-5,-1198.7222516638
NCIBLIND10/04-6,-1198.7210966894
NCIBLIND10/04-7,-1198.7204148071
NCIBLIND10/04-8,-1198.7200132084
NCIBLIND10/05-A,-598.1978689388
NCIBLIND10/05-B,-598.1980394156
NCIBLIND10/05-1,-1196.4099641097
NCIBLIND10/05-2,-1196.4129854232
NCIBLIND10/05-3,-1196.4073913917
NCIBLIND10/05-4,-1196.402659056
NCIBLIND10/05-5,-1196.4003548011
NCIBLIND10/05-6,-1196.3990374083
NCIBLIND10/06-A,-226.1281221618
NCIBLIND10/06-B,-226.1291277659
NCIBLIND10/06-1,-452.264643363
NCIBLIND10/06-2,-452.2716126097
NCIBLIND10/06-3,-452.2651179612
NCIBLIND10/06-4,-452.2608938365
NCIBLIND10/06-5,-452.2592715128
NCIBLIND10/06-6,-452.2585038869
NCIBLIND10/06-7,-452.2580882962
NCIBLIND10/07-A,-229.0055843978
NCIBLIND10/07-B,-229.0059497593
NCIBLIND10/07-1,-458.0131900903
NCIBLIND10/07-2,-458.0144772789
NCIBLIND10/07-3,-458.0131519718
NCIBLIND10/07-4,-458.0121306356
NCIBLIND10/07-5,-458.0117814825
NCIBLIND10/07-6,-458.011643486
NCIBLIND10/08-A,-436.6056993748
NCIBLIND10/08-B,-436.6056993748
NCIBLIND10/08-1,-873.1862903851
NCIBLIND10/08-2,-873.2047872191
NCIBLIND10/08-3,-873.2133723449
NCIBLIND10/08-4,-873.2127415494
NCIBLIND10/08-5,-873.2123314915
NCIBLIND10/08-6,-873.212094401
NCIBLIND10/08-7,-873.2120004837
NCIBLIND10/09-A,-244.9598949808
NCIBLIND10/09-B,-244.9598224985
NCIBLIND10/09-1,-489.9167518837
NCIBLIND10/09-2,-489.9245134299
NCIBLIND10/09-3,-489.9239198251
NCIBLIND10/09-4,-489.9218758375
NCIBLIND10/09-5,-489.9209693344
NCIBLIND10/09-6,-489.920508908
NCIBLIND10/09-7,-489.9202510083
NCIBLIND10/10-A,-76.4179332709
NCIBLIND10/10-B,-76.4179003648
NCIBLIND10/10-1,-152.8231198669
NCIBLIND10/10-2,-152.8412162573
NCIBLIND10/10-3,-152.8441627609
NCIBLIND10/10-4,-152.8430865119
NCIBLIND10/10-5,-152.8413777106
NCIBLIND10/10-6,-152.8391666817
NCIBLIND10/10-7,-152.8380130758
NCIBLIND10/10-8,-152.8373084676
NCIBLIND10/10-9,-152.8368913261
NCIBLIND10/10-10,-152.8366281497
NCIBLIND10/10-11,-152.8364532793
NCIBLIND10/10-12,-152.8363332016
NCIBLIND10/10-13,-152.8362490031
NCIBLIND10/10-14,-152.8361865752
NCIBLIND10/10-15,-152.8361394974
NCIBLIND10/10-16,-152.8361031942
