system,HSE06/def2-QZVP/Turbomole
S66x8/66-150,-343.9095996133
S66x8/66-200,-343.9085680206
NCIBLIND10/01-A,-232.078599482
NCIBLIND10/01-B,-40.4815998024
NCIBLIND10/01-1,-272.557189716
NCIBLIND10/01-2,-272.5606299032
NCIBLIND10/01-3,-272.5606281806
NCIBLIND10/01-4,-272.5603224542
NCIBLIND10/01-5,-272.5602371967
NCIBLIND10/01-6,-272.5602139539
NCIBLIND10/01-7,-272.5602062222
NCIBLIND10/02-A,-232.0802625113
NCIBLIND10/02-B,-76.3933879386
NCIBLIND10/02-1,-308.4636580577
NCIBLIND10/02-2,-308.4765142961
NCIBLIND10/02-3,-308.4772167773
NCIBLIND10/02-4,-308.4762917206
NCIBLIND10/02-5,-308.4754401577
NCIBLIND10/02-6,-308.4748486285
NCIBLIND10/02-7,-308.4742221792
NCIBLIND10/02-8,-308.4739723592
NCIBLIND10/02-9,-308.4738508141
NCIBLIND10/03-A,-154.9467357045
NCIBLIND10/03-B,-154.9466959022
NCIBLIND10/03-1,-309.8922439146
NCIBLIND10/03-2,-309.8950847225
NCIBLIND10/03-3,-309.8947596681
NCIBLIND10/03-4,-309.8939209616
NCIBLIND10/03-5,-309.8936412015
NCIBLIND10/03-6,-309.8935447106
NCIBLIND10/03-7,-309.8935044672
NCIBLIND10/04-A,-599.194354495
NCIBLIND10/04-B,-599.1952357171
NCIBLIND10/04-1,-1198.3909530082
NCIBLIND10/04-2,-1198.3986225396
NCIBLIND10/04-3,-1198.3987882715
NCIBLIND10/04-4,-1198.3948279836
NCIBLIND10/04-5,-1198.3925640433
NCIBLIND10/04-6,-1198.3913207627
NCIBLIND10/04-7,-1198.3906149288
NCIBLIND10/04-8,-1198.3902120348
NCIBLIND10/05-A,-598.0280337588
NCIBLIND10/05-B,-598.0281658787
NCIBLIND10/05-1,-1196.0714180526
NCIBLIND10/05-2,-1196.0738311972
NCIBLIND10/05-3,-1196.0678458417
NCIBLIND10/05-4,-1196.0629987057
NCIBLIND10/05-5,-1196.0606395085
NCIBLIND10/05-6,-1196.059316947
NCIBLIND10/06-A,-226.0740284088
NCIBLIND10/06-B,-226.0750496928
NCIBLIND10/06-1,-452.1584184948
NCIBLIND10/06-2,-452.1644122452
NCIBLIND10/06-3,-452.1570822387
NCIBLIND10/06-4,-452.1527818931
NCIBLIND10/06-5,-452.1511083075
NCIBLIND10/06-6,-452.1503320236
NCIBLIND10/06-7,-452.149916406
NCIBLIND10/07-A,-228.9369527165
NCIBLIND10/07-B,-228.9373810808
NCIBLIND10/07-1,-457.8765821032
NCIBLIND10/07-2,-457.8776693084
NCIBLIND10/07-3,-457.8762018462
NCIBLIND10/07-4,-457.8750052819
NCIBLIND10/07-5,-457.8745989405
NCIBLIND10/07-6,-457.8744475053
NCIBLIND10/08-A,-436.4911071684
NCIBLIND10/08-B,-436.4911071683
NCIBLIND10/08-1,-872.9648680175
NCIBLIND10/08-2,-872.9796895054
NCIBLIND10/08-3,-872.9851561393
NCIBLIND10/08-4,-872.9838231093
NCIBLIND10/08-5,-872.983192297
NCIBLIND10/08-6,-872.9829090679
NCIBLIND10/08-7,-872.9828590558
NCIBLIND10/09-A,-244.887811931
NCIBLIND10/09-B,-244.8877128557
NCIBLIND10/09-1,-489.774525012
NCIBLIND10/09-2,-489.7809993824
NCIBLIND10/09-3,-489.7800004404
NCIBLIND10/09-4,-489.7777554046
NCIBLIND10/09-5,-489.7767802169
NCIBLIND10/09-6,-489.7763102989
NCIBLIND10/09-7,-489.7760537821
NCIBLIND10/10-A,-76.3935774638
NCIBLIND10/10-B,-76.393664521
NCIBLIND10/10-1,-152.7760236216
NCIBLIND10/10-2,-152.7932532096
NCIBLIND10/10-3,-152.7957207112
NCIBLIND10/10-4,-152.7944830099
NCIBLIND10/10-5,-152.7927919778
NCIBLIND10/10-6,-152.7906492842
NCIBLIND10/10-7,-152.7893822253
NCIBLIND10/10-8,-152.7886479917
NCIBLIND10/10-9,-152.7882134746
NCIBLIND10/10-10,-152.7879424636
NCIBLIND10/10-11,-152.7877647
NCIBLIND10/10-12,-152.7876441222
NCIBLIND10/10-13,-152.7875600337
NCIBLIND10/10-14,-152.7874975829
NCIBLIND10/10-15,-152.7874505409
NCIBLIND10/10-16,-152.7874143423
