system,B3LYP/def2-QZVP/TM
S66x8/66-150,-344.0883486269
S66x8/66-200,-344.0877970459
NCIBLIND10/01-A,-232.1982266996
NCIBLIND10/01-B,-40.506107236
NCIBLIND10/01-1,-272.6985107123
NCIBLIND10/01-2,-272.7033752099
NCIBLIND10/01-3,-272.7042354733
NCIBLIND10/01-4,-272.7043019796
NCIBLIND10/01-5,-272.704337698
NCIBLIND10/01-6,-272.7043416061
NCIBLIND10/01-7,-272.7043391701
NCIBLIND10/02-A,-232.1995698574
NCIBLIND10/02-B,-76.4357524399
NCIBLIND10/02-1,-308.6203033575
NCIBLIND10/02-2,-308.6357808423
NCIBLIND10/02-3,-308.6376022092
NCIBLIND10/02-4,-308.637146473
NCIBLIND10/02-5,-308.6366235386
NCIBLIND10/02-6,-308.6362576772
NCIBLIND10/02-7,-308.6358252089
NCIBLIND10/02-8,-308.635620772
NCIBLIND10/02-9,-308.635510063
NCIBLIND10/03-A,-155.0279974621
NCIBLIND10/03-B,-155.0279601994
NCIBLIND10/03-1,-310.0519622699
NCIBLIND10/03-2,-310.0557854136
NCIBLIND10/03-3,-310.0565193137
NCIBLIND10/03-4,-310.0562309818
NCIBLIND10/03-5,-310.0561293653
NCIBLIND10/03-6,-310.0560665898
NCIBLIND10/03-7,-310.056031436
NCIBLIND10/04-A,-599.494105099
NCIBLIND10/04-B,-599.4947306074
NCIBLIND10/04-1,-1198.983405471
NCIBLIND10/04-2,-1198.993451533
NCIBLIND10/04-3,-1198.996204275
NCIBLIND10/04-4,-1198.993225943
NCIBLIND10/04-5,-1198.991527235
NCIBLIND10/04-6,-1198.990504899
NCIBLIND10/04-7,-1198.989864516
NCIBLIND10/04-8,-1198.989470563
NCIBLIND10/05-A,-598.329456891
NCIBLIND10/05-B,-598.3296251906
NCIBLIND10/05-1,-1196.671643042
NCIBLIND10/05-2,-1196.674889324
NCIBLIND10/05-3,-1196.670089182
NCIBLIND10/05-4,-1196.665699079
NCIBLIND10/05-5,-1196.66349902
NCIBLIND10/05-6,-1196.662200263
NCIBLIND10/06-A,-226.1881712151
NCIBLIND10/06-B,-226.189155636
NCIBLIND10/06-1,-452.3837423807
NCIBLIND10/06-2,-452.3909099917
NCIBLIND10/06-3,-452.3848676833
NCIBLIND10/06-4,-452.3808626904
NCIBLIND10/06-5,-452.3793205362
NCIBLIND10/06-6,-452.3785730562
NCIBLIND10/06-7,-452.3781614403
NCIBLIND10/07-A,-229.0603848641
NCIBLIND10/07-B,-229.0607345036
NCIBLIND10/07-1,-458.1217192557
NCIBLIND10/07-2,-458.1231667674
NCIBLIND10/07-3,-458.1224280116
NCIBLIND10/07-4,-458.121638867
NCIBLIND10/07-5,-458.1213546066
NCIBLIND10/07-6,-458.1212267119
NCIBLIND10/08-A,-436.7136646853
NCIBLIND10/08-B,-436.7136646853
NCIBLIND10/08-1,-873.3994376679
NCIBLIND10/08-2,-873.4185345667
NCIBLIND10/08-3,-873.4284551509
NCIBLIND10/08-4,-873.4284155304
NCIBLIND10/08-5,-873.4282130696
NCIBLIND10/08-6,-873.4280170868
NCIBLIND10/08-7,-873.4278623192
NCIBLIND10/09-A,-245.0161977231
NCIBLIND10/09-B,-245.0161285318
NCIBLIND10/09-1,-490.0275346339
NCIBLIND10/09-2,-490.0357434012
NCIBLIND10/09-3,-490.0360347962
NCIBLIND10/09-4,-490.0343607909
NCIBLIND10/09-5,-490.0335573026
NCIBLIND10/09-6,-490.0331122281
NCIBLIND10/09-7,-490.0328571603
NCIBLIND10/10-A,-76.4358718111
NCIBLIND10/10-B,-76.4358243991
NCIBLIND10/10-1,-152.8578948482
NCIBLIND10/10-2,-152.8762130755
NCIBLIND10/10-3,-152.8793456212
NCIBLIND10/10-4,-152.8784299923
NCIBLIND10/10-5,-152.8768585977
NCIBLIND10/10-6,-152.8748200842
NCIBLIND10/10-7,-152.8737788351
NCIBLIND10/10-8,-152.8731328636
NCIBLIND10/10-9,-152.8727452282
NCIBLIND10/10-10,-152.8724940397
NCIBLIND10/10-11,-152.8723231068
NCIBLIND10/10-12,-152.872204281
NCIBLIND10/10-13,-152.8721209916
NCIBLIND10/10-14,-152.8720588851
NCIBLIND10/10-15,-152.8720119431
NCIBLIND10/10-16,-152.8719758516
