system,mPW1PW/def2-QZVP/ORCA
S66x8/66-200,-344.2079694673
NCIBLIND10/01-A,-232.2858664472
NCIBLIND10/01-B,-40.5252972416
NCIBLIND10/01-1,-272.8068583942
NCIBLIND10/01-2,-272.8107889127
NCIBLIND10/01-3,-272.8114110528
NCIBLIND10/01-4,-272.8113113043
NCIBLIND10/01-5,-272.811217612
NCIBLIND10/01-6,-272.8111813334
NCIBLIND10/01-7,-272.8111716685
NCIBLIND10/02-A,-232.2876152181
NCIBLIND10/02-B,-76.4488471978
NCIBLIND10/02-1,-308.7248165072
NCIBLIND10/02-2,-308.7380627895
NCIBLIND10/02-3,-308.7392490789
NCIBLIND10/02-4,-308.7387164107
NCIBLIND10/02-5,-308.7381451597
NCIBLIND10/02-6,-308.737680355
NCIBLIND10/02-7,-308.7370575169
NCIBLIND10/02-8,-308.7367891392
NCIBLIND10/02-9,-308.7366649119
NCIBLIND10/03-A,-155.076708713
NCIBLIND10/03-B,-155.0766686574
NCIBLIND10/03-1,-310.1501074607
NCIBLIND10/03-2,-310.1534730887
NCIBLIND10/03-3,-310.1543182168
NCIBLIND10/03-4,-310.1538827453
NCIBLIND10/03-5,-310.1536041252
NCIBLIND10/03-6,-310.1534907948
NCIBLIND10/03-7,-310.1534485188
NCIBLIND10/04-A,-599.6274952595
NCIBLIND10/04-B,-599.6283037634
NCIBLIND10/04-1,-1199.2526494712
NCIBLIND10/04-2,-1199.2612335677
NCIBLIND10/04-3,-1199.2634058672
NCIBLIND10/04-4,-1199.2606763438
NCIBLIND10/04-5,-1199.2587785581
NCIBLIND10/04-6,-1199.2575626414
NCIBLIND10/04-7,-1199.2568307567
NCIBLIND10/04-8,-1199.2564194171
NCIBLIND10/05-A,-598.4546983522
NCIBLIND10/05-B,-598.4548230263
NCIBLIND10/05-1,-1196.922658655
NCIBLIND10/05-2,-1196.9254434949
NCIBLIND10/05-3,-1196.9207257068
NCIBLIND10/05-4,-1196.9163411139
NCIBLIND10/05-5,-1196.9139819375
NCIBLIND10/05-6,-1196.9126391728
NCIBLIND10/06-A,-226.2605558544
NCIBLIND10/06-B,-226.2616026333
NCIBLIND10/06-1,-452.5304236196
NCIBLIND10/06-2,-452.5365010629
NCIBLIND10/06-3,-452.5298247842
NCIBLIND10/06-4,-452.5258515007
NCIBLIND10/06-5,-452.5242080589
NCIBLIND10/06-6,-452.5234152958
NCIBLIND10/06-7,-452.5229965782
NCIBLIND10/07-A,-229.1108219095
NCIBLIND10/07-B,-229.111260037
NCIBLIND10/07-1,-458.2229119255
NCIBLIND10/07-2,-458.2242462931
NCIBLIND10/07-3,-458.223715759
NCIBLIND10/07-4,-458.2227795313
NCIBLIND10/07-5,-458.2223577074
NCIBLIND10/07-6,-458.2221959568
NCIBLIND10/08-A,-436.8322217362
NCIBLIND10/08-B,-436.8322217362
NCIBLIND10/08-1,-873.6426785376
NCIBLIND10/08-2,-873.658539397
NCIBLIND10/08-3,-873.6663336657
NCIBLIND10/08-4,-873.6660227205
NCIBLIND10/08-5,-873.6654589882
NCIBLIND10/08-6,-873.6651422377
NCIBLIND10/08-7,-873.6650817177
NCIBLIND10/09-A,-245.0658733422
NCIBLIND10/09-B,-245.0657770073
NCIBLIND10/09-1,-490.1279935562
NCIBLIND10/09-2,-490.1352059412
NCIBLIND10/09-3,-490.135683239
NCIBLIND10/09-4,-490.1339155785
NCIBLIND10/09-5,-490.1329222238
NCIBLIND10/09-6,-490.1324360867
NCIBLIND10/09-7,-490.1321785014
NCIBLIND10/10-A,-76.4490518582
NCIBLIND10/10-B,-76.4491662431
NCIBLIND10/10-1,-152.8859739742
NCIBLIND10/10-2,-152.9032035562
NCIBLIND10/10-3,-152.9058756802
NCIBLIND10/10-4,-152.9048765265
NCIBLIND10/10-5,-152.9033707939
NCIBLIND10/10-6,-152.901465297
NCIBLIND10/10-7,-152.9003131958
NCIBLIND10/10-8,-152.8996223471
NCIBLIND10/10-9,-152.8991856106
NCIBLIND10/10-10,-152.898904505
NCIBLIND10/10-11,-152.898721823
NCIBLIND10/10-12,-152.8986001332
NCIBLIND10/10-13,-152.8985156694
NCIBLIND10/10-14,-152.898453275
NCIBLIND10/10-15,-152.8984062431
NCIBLIND10/10-16,-152.8983699976
