system,DSDPBE/def2-QZVP/ORCA
S66x8/66-150,-343.6967495437
S66x8/66-200,-343.6954948067
NCIBLIND10/01-A,-231.9221151275
NCIBLIND10/01-B,-40.4569765558
NCIBLIND10/01-1,-272.3773127246
NCIBLIND10/01-2,-272.3803155061
NCIBLIND10/01-3,-272.3797553598
NCIBLIND10/01-4,-272.3793143823
NCIBLIND10/01-5,-272.3791733562
NCIBLIND10/01-6,-272.3791266031
NCIBLIND10/01-7,-272.3791087088
NCIBLIND10/02-A,-231.9234353377
NCIBLIND10/02-B,-76.3636597616
NCIBLIND10/02-1,-308.2774506646
NCIBLIND10/02-2,-308.2904883478
NCIBLIND10/02-3,-308.2910668509
NCIBLIND10/02-4,-308.2899646283
NCIBLIND10/02-5,-308.2890273131
NCIBLIND10/02-6,-308.2883907125
NCIBLIND10/02-7,-308.2877135873
NCIBLIND10/02-8,-308.2874381985
NCIBLIND10/02-9,-308.2873052815
NCIBLIND10/03-A,-154.8644203613
NCIBLIND10/03-B,-154.8644081954
NCIBLIND10/03-1,-309.7284164496
NCIBLIND10/03-2,-309.7312883996
NCIBLIND10/03-3,-309.730425532
NCIBLIND10/03-4,-309.7294387779
NCIBLIND10/03-5,-309.7290947584
NCIBLIND10/03-6,-309.7289675501
NCIBLIND10/03-7,-309.7289135539
NCIBLIND10/04-A,-598.891339811
NCIBLIND10/04-B,-598.8926426905
NCIBLIND10/04-1,-1197.7897051454
NCIBLIND10/04-2,-1197.7969129355
NCIBLIND10/04-3,-1197.7948316772
NCIBLIND10/04-4,-1197.7898247675
NCIBLIND10/04-5,-1197.7871852257
NCIBLIND10/04-6,-1197.7857978568
NCIBLIND10/04-7,-1197.785037174
NCIBLIND10/04-8,-1197.7846132583
NCIBLIND10/05-A,-597.7225054561
NCIBLIND10/05-B,-597.722445785
NCIBLIND10/05-1,-1195.460263981
NCIBLIND10/05-2,-1195.4628268601
NCIBLIND10/05-3,-1195.4565244014
NCIBLIND10/05-4,-1195.4516047934
NCIBLIND10/05-5,-1195.4492412982
NCIBLIND10/05-6,-1195.4479348395
NCIBLIND10/06-A,-225.9383677476
NCIBLIND10/06-B,-225.9392662123
NCIBLIND10/06-1,-451.8867298287
NCIBLIND10/06-2,-451.893036842
NCIBLIND10/06-3,-451.8859139875
NCIBLIND10/06-4,-451.8815017028
NCIBLIND10/06-5,-451.8797582365
NCIBLIND10/06-6,-451.8789386643
NCIBLIND10/06-7,-451.8785015291
NCIBLIND10/07-A,-228.8235693977
NCIBLIND10/07-B,-228.8239192706
NCIBLIND10/07-1,-457.6501340814
NCIBLIND10/07-2,-457.6512567952
NCIBLIND10/07-3,-457.6495168336
NCIBLIND10/07-4,-457.648236306
NCIBLIND10/07-5,-457.6477879166
NCIBLIND10/07-6,-457.6476183692
NCIBLIND10/08-A,-436.240449177
NCIBLIND10/08-B,-436.2404491768
NCIBLIND10/08-1,-872.4738080726
NCIBLIND10/08-2,-872.4862143444
NCIBLIND10/08-3,-872.4861910275
NCIBLIND10/08-4,-872.4832143301
NCIBLIND10/08-5,-872.4820852737
NCIBLIND10/08-6,-872.4816373671
NCIBLIND10/08-7,-872.4814510589
NCIBLIND10/09-A,-244.7695596376
NCIBLIND10/09-B,-244.7695049761
NCIBLIND10/09-1,-489.5398675081
NCIBLIND10/09-2,-489.5460304998
NCIBLIND10/09-3,-489.5438065862
NCIBLIND10/09-4,-489.5413420426
NCIBLIND10/09-5,-489.5403127591
NCIBLIND10/09-6,-489.5398307483
NCIBLIND10/09-7,-489.5395737562
NCIBLIND10/10-A,-76.3638335215
NCIBLIND10/10-B,-76.3639175465
NCIBLIND10/10-1,-152.7145820202
NCIBLIND10/10-2,-152.7325519177
NCIBLIND10/10-3,-152.7355822531
NCIBLIND10/10-4,-152.7346764455
NCIBLIND10/10-5,-152.7331252951
NCIBLIND10/10-6,-152.7310698953
NCIBLIND10/10-7,-152.7298547301
NCIBLIND10/10-8,-152.729147839
NCIBLIND10/10-9,-152.7287222786
NCIBLIND10/10-10,-152.7284531128
NCIBLIND10/10-11,-152.7282754838
NCIBLIND10/10-12,-152.72815418
NCIBLIND10/10-13,-152.7280692153
NCIBLIND10/10-14,-152.7280063583
NCIBLIND10/10-15,-152.7279590463
NCIBLIND10/10-16,-152.7279226409
