system,mPW1LYP/def2-QZVP/ORCA
S66x8/66-150,-344.1083164468
S66x8/66-200,-344.1072790774
NCIBLIND10/01-A,-232.2132078445
NCIBLIND10/01-B,-40.5015836003
NCIBLIND10/01-1,-272.7103724597
NCIBLIND10/01-2,-272.714911294
NCIBLIND10/01-3,-272.7152043127
NCIBLIND10/01-4,-272.7149506978
NCIBLIND10/01-5,-272.7148475822
NCIBLIND10/01-6,-272.7148081007
NCIBLIND10/01-7,-272.7147984277
NCIBLIND10/02-A,-232.2147263584
NCIBLIND10/02-B,-76.4397333823
NCIBLIND10/02-1,-308.6410247155
NCIBLIND10/02-2,-308.6563327304
NCIBLIND10/02-3,-308.6578234378
NCIBLIND10/02-4,-308.6570533684
NCIBLIND10/02-5,-308.6562717916
NCIBLIND10/02-6,-308.6557079917
NCIBLIND10/02-7,-308.6550414899
NCIBLIND10/02-8,-308.6547730461
NCIBLIND10/02-9,-308.6546532876
NCIBLIND10/03-A,-155.0338866615
NCIBLIND10/03-B,-155.0338552975
NCIBLIND10/03-1,-310.0658849685
NCIBLIND10/03-2,-310.0693750494
NCIBLIND10/03-3,-310.0691323941
NCIBLIND10/03-4,-310.0683146294
NCIBLIND10/03-5,-310.0679862739
NCIBLIND10/03-6,-310.0678611464
NCIBLIND10/03-7,-310.0678160516
NCIBLIND10/04-A,-599.5478929723
NCIBLIND10/04-B,-599.5486521111
NCIBLIND10/04-1,-1199.0952386362
NCIBLIND10/04-2,-1199.104923512
NCIBLIND10/04-3,-1199.1061473818
NCIBLIND10/04-4,-1199.1020580099
NCIBLIND10/04-5,-1199.0997252644
NCIBLIND10/04-6,-1199.0983846002
NCIBLIND10/04-7,-1199.0976129798
NCIBLIND10/04-8,-1199.0971856609
NCIBLIND10/05-A,-598.3870342622
NCIBLIND10/05-B,-598.3871671705
NCIBLIND10/05-1,-1196.7890330375
NCIBLIND10/05-2,-1196.7920777242
NCIBLIND10/05-3,-1196.7861850289
NCIBLIND10/05-4,-1196.7811639542
NCIBLIND10/05-5,-1196.77871236
NCIBLIND10/05-6,-1196.7773464152
NCIBLIND10/06-A,-226.2053300008
NCIBLIND10/06-B,-226.2063927853
NCIBLIND10/06-1,-452.4194110397
NCIBLIND10/06-2,-452.4264747696
NCIBLIND10/06-3,-452.4199052125
NCIBLIND10/06-4,-452.4155157628
NCIBLIND10/06-5,-452.4137950201
NCIBLIND10/06-6,-452.4129855487
NCIBLIND10/06-7,-452.4125623912
NCIBLIND10/07-A,-229.0789796049
NCIBLIND10/07-B,-229.0793664198
NCIBLIND10/07-1,-458.1607385927
NCIBLIND10/07-2,-458.1619796601
NCIBLIND10/07-3,-458.1603252579
NCIBLIND10/07-4,-458.1590878117
NCIBLIND10/07-5,-458.1586321013
NCIBLIND10/07-6,-458.1584625216
NCIBLIND10/08-A,-436.7529145402
NCIBLIND10/08-B,-436.7529145402
NCIBLIND10/08-1,-873.4814209494
NCIBLIND10/08-2,-873.5002206235
NCIBLIND10/08-3,-873.5085791892
NCIBLIND10/08-4,-873.5075487944
NCIBLIND10/08-5,-873.5068954721
NCIBLIND10/08-6,-873.5065553131
NCIBLIND10/08-7,-873.5064314889
NCIBLIND10/09-A,-245.0359388513
NCIBLIND10/09-B,-245.0358662172
NCIBLIND10/09-1,-490.0698076685
NCIBLIND10/09-2,-490.0775783137
NCIBLIND10/09-3,-490.0765653719
NCIBLIND10/09-4,-490.0741916946
NCIBLIND10/09-5,-490.0731169298
NCIBLIND10/09-6,-490.0726088988
NCIBLIND10/09-7,-490.0723444536
NCIBLIND10/10-A,-76.439888991
NCIBLIND10/10-B,-76.4398986578
NCIBLIND10/10-1,-152.8673430452
NCIBLIND10/10-2,-152.8855501941
NCIBLIND10/10-3,-152.8885307329
NCIBLIND10/10-4,-152.8874322074
NCIBLIND10/10-5,-152.8856733247
NCIBLIND10/10-6,-152.8833652636
NCIBLIND10/10-7,-152.8820919087
NCIBLIND10/10-8,-152.8813217785
NCIBLIND10/10-9,-152.8808586047
NCIBLIND10/10-10,-152.8805674601
NCIBLIND10/10-11,-152.8803802036
NCIBLIND10/10-12,-152.880256663
NCIBLIND10/10-13,-152.8801714708
NCIBLIND10/10-14,-152.8801087119
NCIBLIND10/10-15,-152.8800614454
NCIBLIND10/10-16,-152.8800250219
