system,HSE03/def2-QZVP/ORCA5.0.1
S66x8/66-150,-344.5537940525
S66x8/66-200,-344.5527455611
NCIBLIND10/01-A,-232.5281686578
NCIBLIND10/01-B,-40.5872973351
NCIBLIND10/01-1,-273.1125295261
NCIBLIND10/01-2,-273.1159407834
NCIBLIND10/01-3,-273.1159075464
NCIBLIND10/01-4,-273.1155917083
NCIBLIND10/01-5,-273.1155036349
NCIBLIND10/01-6,-273.1154802
NCIBLIND10/01-7,-273.1154730861
NCIBLIND10/02-A,-232.5299658023
NCIBLIND10/02-B,-76.5024642811
NCIBLIND10/02-1,-309.0225777888
NCIBLIND10/02-2,-309.0353542588
NCIBLIND10/02-3,-309.0360125396
NCIBLIND10/02-4,-309.035073506
NCIBLIND10/02-5,-309.0342162925
NCIBLIND10/02-6,-309.0336195544
NCIBLIND10/02-7,-309.0329993936
NCIBLIND10/02-8,-309.0327513841
NCIBLIND10/02-9,-309.032630121
NCIBLIND10/03-A,-155.226425268
NCIBLIND10/03-B,-155.226387524
NCIBLIND10/03-1,-310.4517616629
NCIBLIND10/03-2,-310.4545563117
NCIBLIND10/03-3,-310.4541616334
NCIBLIND10/03-4,-310.4533023684
NCIBLIND10/03-5,-310.4530220716
NCIBLIND10/03-6,-310.4529263673
NCIBLIND10/03-7,-310.4528860057
NCIBLIND10/04-A,-600.045425278
NCIBLIND10/04-B,-600.0462903329
NCIBLIND10/04-1,-1200.0932695335
NCIBLIND10/04-2,-1200.1008912803
NCIBLIND10/04-3,-1200.1009795848
NCIBLIND10/04-4,-1200.0969878737
NCIBLIND10/04-5,-1200.0947009542
NCIBLIND10/04-6,-1200.0934500633
NCIBLIND10/04-7,-1200.09274215
NCIBLIND10/04-8,-1200.0923391602
NCIBLIND10/05-A,-598.8586730292
NCIBLIND10/05-B,-598.8588016887
NCIBLIND10/05-1,-1197.7329153218
NCIBLIND10/05-2,-1197.7352802941
NCIBLIND10/05-3,-1197.7291637377
NCIBLIND10/05-4,-1197.7242805486
NCIBLIND10/05-5,-1197.7219193029
NCIBLIND10/05-6,-1197.7205967024
NCIBLIND10/06-A,-226.4619971337
NCIBLIND10/06-B,-226.4630605335
NCIBLIND10/06-1,-452.9346213477
NCIBLIND10/06-2,-452.9405376166
NCIBLIND10/06-3,-452.9330813909
NCIBLIND10/06-4,-452.9287552649
NCIBLIND10/06-5,-452.92708201
NCIBLIND10/06-6,-452.92630931
NCIBLIND10/06-7,-452.9258952898
NCIBLIND10/07-A,-229.2847072502
NCIBLIND10/07-B,-229.2851421056
NCIBLIND10/07-1,-458.5722481014
NCIBLIND10/07-2,-458.5732998288
NCIBLIND10/07-3,-458.571740586
NCIBLIND10/07-4,-458.5705215943
NCIBLIND10/07-5,-458.5701142736
NCIBLIND10/07-6,-458.5699636467
NCIBLIND10/08-A,-437.1839523639
NCIBLIND10/08-B,-437.1839523657
NCIBLIND10/08-1,-874.3506202462
NCIBLIND10/08-2,-874.3654285552
NCIBLIND10/08-3,-874.3708882172
NCIBLIND10/08-4,-874.3695212217
NCIBLIND10/08-5,-874.3688908557
NCIBLIND10/08-6,-874.3686023844
NCIBLIND10/08-7,-874.3685554988
NCIBLIND10/09-A,-245.2367842019
NCIBLIND10/09-B,-245.2366831834
NCIBLIND10/09-1,-490.4725922659
NCIBLIND10/09-2,-490.4790367789
NCIBLIND10/09-3,-490.4779727821
NCIBLIND10/09-4,-490.4757037716
NCIBLIND10/09-5,-490.4747248676
NCIBLIND10/09-6,-490.4742550495
NCIBLIND10/09-7,-490.473997769
NCIBLIND10/10-A,-76.5026688141
NCIBLIND10/10-B,-76.5027847642
NCIBLIND10/10-1,-152.9944348488
NCIBLIND10/10-2,-153.0116045194
NCIBLIND10/10-3,-153.0140237533
NCIBLIND10/10-4,-153.0127487253
NCIBLIND10/10-5,-153.0110337379
NCIBLIND10/10-6,-153.0088695692
NCIBLIND10/10-7,-153.0075726799
NCIBLIND10/10-8,-153.0068348111
NCIBLIND10/10-9,-153.0064024913
NCIBLIND10/10-10,-153.0061317549
NCIBLIND10/10-11,-153.0059537867
NCIBLIND10/10-12,-153.0058338568
NCIBLIND10/10-13,-153.0057499628
NCIBLIND10/10-14,-153.0056878073
NCIBLIND10/10-15,-153.0056408658
NCIBLIND10/10-16,-153.0056046678
