system,PWPB95/def2-QZVP/ORCA
S66x8/66-200,-344.0425385812
NCIBLIND10/01-A,-232.1680251284
NCIBLIND10/01-B,-40.4948245659
NCIBLIND10/01-1,-272.661275952
NCIBLIND10/01-2,-272.6642683758
NCIBLIND10/01-3,-272.6635503288
NCIBLIND10/01-4,-272.6631167007
NCIBLIND10/01-5,-272.6629175456
NCIBLIND10/01-6,-272.662874238
NCIBLIND10/01-7,-272.6628611698
NCIBLIND10/02-A,-232.169739467
NCIBLIND10/02-B,-76.4261790181
NCIBLIND10/02-1,-308.5872263447
NCIBLIND10/02-2,-308.5998451675
NCIBLIND10/02-3,-308.600206218
NCIBLIND10/02-4,-308.5989831759
NCIBLIND10/02-5,-308.5979176935
NCIBLIND10/02-6,-308.5972266542
NCIBLIND10/02-7,-308.5965293235
NCIBLIND10/02-8,-308.5962470154
NCIBLIND10/02-9,-308.5961219437
NCIBLIND10/03-A,-155.0064730242
NCIBLIND10/03-B,-155.0064651709
NCIBLIND10/03-1,-310.0128944177
NCIBLIND10/03-2,-310.0156762849
NCIBLIND10/03-3,-310.0146758197
NCIBLIND10/03-4,-310.0135771458
NCIBLIND10/03-5,-310.0131920576
NCIBLIND10/03-6,-310.0130648507
NCIBLIND10/03-7,-310.0130166364
NCIBLIND10/04-A,-599.4376454953
NCIBLIND10/04-B,-599.4388414349
NCIBLIND10/04-1,-1198.8834836627
NCIBLIND10/04-2,-1198.8903050275
NCIBLIND10/04-3,-1198.8873175112
NCIBLIND10/04-4,-1198.8821864586
NCIBLIND10/04-5,-1198.8796442481
NCIBLIND10/04-6,-1198.8782875484
NCIBLIND10/04-7,-1198.8775229432
NCIBLIND10/04-8,-1198.8771072859
NCIBLIND10/05-A,-598.2736602115
NCIBLIND10/05-B,-598.273575418
NCIBLIND10/05-1,-1196.5619618218
NCIBLIND10/05-2,-1196.5647479645
NCIBLIND10/05-3,-1196.5588515624
NCIBLIND10/05-4,-1196.553975697
NCIBLIND10/05-5,-1196.5515863066
NCIBLIND10/05-6,-1196.5502661164
NCIBLIND10/06-A,-226.166074995
NCIBLIND10/06-B,-226.1670902696
NCIBLIND10/06-1,-452.3405621566
NCIBLIND10/06-2,-452.3474658522
NCIBLIND10/06-3,-452.3411656191
NCIBLIND10/06-4,-452.3369570306
NCIBLIND10/06-5,-452.3352411424
NCIBLIND10/06-6,-452.3344350929
NCIBLIND10/06-7,-452.3340104587
NCIBLIND10/07-A,-229.0350375381
NCIBLIND10/07-B,-229.0354044889
NCIBLIND10/07-1,-458.0731178772
NCIBLIND10/07-2,-458.0741470621
NCIBLIND10/07-3,-458.0725077861
NCIBLIND10/07-4,-458.0712040604
NCIBLIND10/07-5,-458.0707351807
NCIBLIND10/07-6,-458.0705644501
NCIBLIND10/08-A,-436.6698963716
NCIBLIND10/08-B,-436.6698963794
NCIBLIND10/08-1,-873.3330884902
NCIBLIND10/08-2,-873.3447246881
NCIBLIND10/08-3,-873.3443515651
NCIBLIND10/08-4,-873.3419646592
NCIBLIND10/08-5,-873.3409068663
NCIBLIND10/08-6,-873.3405037141
NCIBLIND10/08-7,-873.3403733932
NCIBLIND10/09-A,-244.9904210679
NCIBLIND10/09-B,-244.9903561737
NCIBLIND10/09-1,-489.9826203222
NCIBLIND10/09-2,-489.9883299917
NCIBLIND10/09-3,-489.9856354906
NCIBLIND10/09-4,-489.9831439398
NCIBLIND10/09-5,-489.9820423178
NCIBLIND10/09-6,-489.9815538388
NCIBLIND10/09-7,-489.9812966975
NCIBLIND10/10-A,-76.4263711247
NCIBLIND10/10-B,-76.4264733374
NCIBLIND10/10-1,-152.8390404934
NCIBLIND10/10-2,-152.8573065412
NCIBLIND10/10-3,-152.8605320628
NCIBLIND10/10-4,-152.859726144
NCIBLIND10/10-5,-152.8582148011
NCIBLIND10/10-6,-152.8562301463
NCIBLIND10/10-7,-152.8549824423
NCIBLIND10/10-8,-152.8542591696
NCIBLIND10/10-9,-152.8538153702
NCIBLIND10/10-10,-152.8535360739
NCIBLIND10/10-11,-152.8533555232
NCIBLIND10/10-12,-152.8532343279
NCIBLIND10/10-13,-152.8531498137
NCIBLIND10/10-14,-152.8530873456
NCIBLIND10/10-15,-152.8530402851
NCIBLIND10/10-16,-152.8530040399
