system,DODPBE/def2-QZVP/ORCA
NCIBLIND10/01-A,-231.9297899415
NCIBLIND10/01-B,-40.4600906838
NCIBLIND10/01-1,-272.3875508558
NCIBLIND10/01-2,-272.3908258384
NCIBLIND10/01-3,-272.3904688399
NCIBLIND10/01-4,-272.3900782815
NCIBLIND10/01-5,-272.3899524915
NCIBLIND10/01-6,-272.3899112884
NCIBLIND10/01-7,-272.3898956288
NCIBLIND10/02-A,-231.9310946936
NCIBLIND10/02-B,-76.3644563603
NCIBLIND10/02-1,-308.2851169464
NCIBLIND10/02-2,-308.2985374932
NCIBLIND10/02-3,-308.2993193964
NCIBLIND10/02-4,-308.2983174524
NCIBLIND10/02-5,-308.2974284424
NCIBLIND10/02-6,-308.2968161134
NCIBLIND10/02-7,-308.2961585425
NCIBLIND10/02-8,-308.2958896161
NCIBLIND10/02-9,-308.2957591375
NCIBLIND10/03-A,-154.8695124208
NCIBLIND10/03-B,-154.8694947892
NCIBLIND10/03-1,-309.737990927
NCIBLIND10/03-2,-309.7410683767
NCIBLIND10/03-3,-309.7404998497
NCIBLIND10/03-4,-309.7395834917
NCIBLIND10/03-5,-309.7392603003
NCIBLIND10/03-6,-309.7391406218
NCIBLIND10/03-7,-309.739089566
NCIBLIND10/04-A,-598.8977806139
NCIBLIND10/04-B,-598.8990492639
NCIBLIND10/04-1,-1197.8004358958
NCIBLIND10/04-2,-1197.8081978
NCIBLIND10/04-3,-1197.8071114971
NCIBLIND10/04-4,-1197.802456447
NCIBLIND10/04-5,-1197.7999471795
NCIBLIND10/04-6,-1197.7986102542
NCIBLIND10/04-7,-1197.7978696564
NCIBLIND10/04-8,-1197.7974539622
NCIBLIND10/05-A,-597.7271293387
NCIBLIND10/05-B,-597.727075149
NCIBLIND10/05-1,-1195.4687342707
NCIBLIND10/05-2,-1195.4714925112
NCIBLIND10/05-3,-1195.4656363914
NCIBLIND10/05-4,-1195.4608167191
NCIBLIND10/05-5,-1195.4584820176
NCIBLIND10/05-6,-1195.4571853558
NCIBLIND10/06-A,-225.9432029116
NCIBLIND10/06-B,-225.944111483
NCIBLIND10/06-1,-451.895812005
NCIBLIND10/06-2,-451.9023282008
NCIBLIND10/06-3,-451.8954863037
NCIBLIND10/06-4,-451.8911431555
NCIBLIND10/06-5,-451.8894211893
NCIBLIND10/06-6,-451.8886105195
NCIBLIND10/06-7,-451.8881773202
NCIBLIND10/07-A,-228.8278668971
NCIBLIND10/07-B,-228.8282243861
NCIBLIND10/07-1,-457.6584059141
NCIBLIND10/07-2,-457.6596068407
NCIBLIND10/07-3,-457.6580551209
NCIBLIND10/07-4,-457.656818231
NCIBLIND10/07-5,-457.6563829944
NCIBLIND10/07-6,-457.6562180596
NCIBLIND10/08-A,-436.2477589017
NCIBLIND10/08-B,-436.2477589023
NCIBLIND10/08-1,-872.4850386188
NCIBLIND10/08-2,-872.4985422848
NCIBLIND10/08-3,-872.5001823771
NCIBLIND10/08-4,-872.4976390801
NCIBLIND10/08-5,-872.4966354592
NCIBLIND10/08-6,-872.4962299345
NCIBLIND10/08-7,-872.4960626693
NCIBLIND10/09-A,-244.7727259758
NCIBLIND10/09-B,-244.7726687286
NCIBLIND10/09-1,-489.5451552155
NCIBLIND10/09-2,-489.5517172247
NCIBLIND10/09-3,-489.5500000658
NCIBLIND10/09-4,-489.5476381507
NCIBLIND10/09-5,-489.5466337857
NCIBLIND10/09-6,-489.5461588862
NCIBLIND10/09-7,-489.5459039745
NCIBLIND10/10-A,-76.3646289059
NCIBLIND10/10-B,-76.3647082889
NCIBLIND10/10-1,-152.7158314093
NCIBLIND10/10-2,-152.7339302669
NCIBLIND10/10-3,-152.737044682
NCIBLIND10/10-4,-152.7361902328
NCIBLIND10/10-5,-152.7346688232
NCIBLIND10/10-6,-152.732637173
NCIBLIND10/10-7,-152.7314348598
NCIBLIND10/10-8,-152.7307318926
NCIBLIND10/10-9,-152.7303085008
NCIBLIND10/10-10,-152.7300408014
NCIBLIND10/10-11,-152.7298640314
NCIBLIND10/10-12,-152.7297432712
NCIBLIND10/10-13,-152.729658651
NCIBLIND10/10-14,-152.7295960203
NCIBLIND10/10-15,-152.7295488587
NCIBLIND10/10-16,-152.7295125558
