system,Lh12ct-SsifPW92/def2-QZVP/TM
S66x8/66-125,-342.7869655679
S66x8/66-150,-342.7876992097
S66x8/66-200,-342.7879195658
NCIBLIND10/01-A,-231.2968892208
NCIBLIND10/01-B,-40.3456820271
NCIBLIND10/01-1,-271.6321286148
NCIBLIND10/01-2,-271.6388338342
NCIBLIND10/01-3,-271.6417805995
NCIBLIND10/01-4,-271.6424050802
NCIBLIND10/01-5,-271.6425495726
NCIBLIND10/01-6,-271.6425753639
NCIBLIND10/01-7,-271.6425765641
NCIBLIND10/02-A,-231.2975733047
NCIBLIND10/02-B,-76.1938699088
NCIBLIND10/02-1,-307.4706745483
NCIBLIND10/02-2,-307.4878502746
NCIBLIND10/02-3,-307.4914354701
NCIBLIND10/02-4,-307.4921770405
NCIBLIND10/02-5,-307.4922950765
NCIBLIND10/02-6,-307.4922250902
NCIBLIND10/02-7,-307.4919603004
NCIBLIND10/02-8,-307.4917655482
NCIBLIND10/02-9,-307.4916476108
NCIBLIND10/03-A,-154.4711262752
NCIBLIND10/03-B,-154.4710749848
NCIBLIND10/03-1,-308.9295927725
NCIBLIND10/03-2,-308.9360363022
NCIBLIND10/03-3,-308.9414419637
NCIBLIND10/03-4,-308.9422584252
NCIBLIND10/03-5,-308.9423413859
NCIBLIND10/03-6,-308.9423077596
NCIBLIND10/03-7,-308.9422764018
NCIBLIND10/04-A,-597.4359833451
NCIBLIND10/04-B,-597.4368945523
NCIBLIND10/04-1,-1194.851382472
NCIBLIND10/04-2,-1194.864902393
NCIBLIND10/04-3,-1194.875831215
NCIBLIND10/04-4,-1194.87602808
NCIBLIND10/04-5,-1194.875270438
NCIBLIND10/04-6,-1194.874516314
NCIBLIND10/04-7,-1194.873932066
NCIBLIND10/04-8,-1194.873537756
NCIBLIND10/05-A,-596.2774561154
NCIBLIND10/05-B,-596.277695939
NCIBLIND10/05-1,-1192.559202321
NCIBLIND10/05-2,-1192.564153296
NCIBLIND10/05-3,-1192.564782318
NCIBLIND10/05-4,-1192.561713034
NCIBLIND10/05-5,-1192.559671462
NCIBLIND10/05-6,-1192.55836619
NCIBLIND10/06-A,-225.3554103934
NCIBLIND10/06-B,-225.356311718
NCIBLIND10/06-1,-450.7131540461
NCIBLIND10/06-2,-450.7212221201
NCIBLIND10/06-3,-450.7181559574
NCIBLIND10/06-4,-450.7151836842
NCIBLIND10/06-5,-450.7137920783
NCIBLIND10/06-6,-450.7130372621
NCIBLIND10/06-7,-450.7126067021
NCIBLIND10/07-A,-228.2654377699
NCIBLIND10/07-B,-228.2658470881
NCIBLIND10/07-1,-456.5256754127
NCIBLIND10/07-2,-456.5285384878
NCIBLIND10/07-3,-456.5317157958
NCIBLIND10/07-4,-456.5317041083
NCIBLIND10/07-5,-456.5315207745
NCIBLIND10/07-6,-456.5314022017
NCIBLIND10/08-A,-435.1354086329
NCIBLIND10/08-B,-435.1354086331
NCIBLIND10/08-1,-870.2314004979
NCIBLIND10/08-2,-870.2530441452
NCIBLIND10/08-3,-870.2695288264
NCIBLIND10/08-4,-870.2714633115
NCIBLIND10/08-5,-870.2716254747
NCIBLIND10/08-6,-870.2714958739
NCIBLIND10/08-7,-870.2713663067
NCIBLIND10/09-A,-244.1799042213
NCIBLIND10/09-B,-244.1797986244
NCIBLIND10/09-1,-488.3449728217
NCIBLIND10/09-2,-488.3562373075
NCIBLIND10/09-3,-488.3620214527
NCIBLIND10/09-4,-488.3615953631
NCIBLIND10/09-5,-488.3609567114
NCIBLIND10/09-6,-488.3605207663
NCIBLIND10/09-7,-488.3602572756
NCIBLIND10/10-A,-76.1941251038
NCIBLIND10/10-B,-76.1942589483
NCIBLIND10/10-1,-152.3680846128
NCIBLIND10/10-2,-152.3876514214
NCIBLIND10/10-3,-152.3921505754
NCIBLIND10/10-4,-152.3924866538
NCIBLIND10/10-5,-152.3918966994
NCIBLIND10/10-6,-152.3908667988
NCIBLIND10/10-7,-152.3901384803
NCIBLIND10/10-8,-152.3896615439
NCIBLIND10/10-9,-152.3893272626
NCIBLIND10/10-10,-152.3890871974
NCIBLIND10/10-11,-152.3889141015
NCIBLIND10/10-12,-152.3887901288
NCIBLIND10/10-13,-152.3887015819
NCIBLIND10/10-14,-152.3886349224
NCIBLIND10/10-15,-152.3885844027
NCIBLIND10/10-16,-152.3885455116
